date,ni_per_employee_annual
"Dec. 31, 2019",52966.67
"Dec. 31, 2018",44826.96
"Dec. 31, 2017",37581.20
"Dec. 31, 2016",50254.87
"Dec. 31, 2015",55551.12
"Dec. 31, 2014",8341.77
"Dec. 31, 2013",138684.2
"Dec. 31, 2012",13241.47
"Dec. 31, 2011",10782.83
"Dec. 31, 2010",7361.61
"Dec. 31, 2009",-14956.59
"Dec. 31, 2008",-128051.7
"Dec. 31, 2007",30316.71
"Dec. 31, 2006",-115943.9
"Dec. 31, 2005",-61161.39
"Dec. 31, 2004",-74389.98
"Dec. 31, 2003",-10610.84
"Dec. 31, 2002",-16806.17
"Dec. 31, 2001",-15019.76
"Dec. 31, 2000",9937.17
"June 30, 2000",15587.10
"June 30, 1999",15202.35
"June 30, 1998",14908.37
"June 30, 1997",13804.25
"June 30, 1996",2599.87
"June 30, 1995",6775.10
"June 30, 1994",-6368.34
"June 30, 1993",-14332.01
"June 30, 1992",-7306.60
"June 30, 1991",-5061.36
