date,accruals
"Dec. 31, 2019",141.00M
"Sept. 30, 2019",-750.00M
"June 30, 2019",-1.829B
"March 31, 2019",-1.221B
"Dec. 31, 2018",-226.00M
"Sept. 30, 2018",-177.00M
"June 30, 2018",-1.862B
"March 31, 2018",-815.00M
"Dec. 31, 2017",-1.593B
"Sept. 30, 2017",-434.00M
"June 30, 2017",-1.183B
"March 31, 2017",1.391B
"Dec. 31, 2016",-691.00M
"Sept. 30, 2016",-595.00M
"June 30, 2016",-1.669B
"March 31, 2016",-65.00M
"Dec. 31, 2015",-499.00M
"Sept. 30, 2015",-752.00M
"June 30, 2015",-1.26B
"March 31, 2015",-890.00M
"Dec. 31, 2014",-1.294B
"Sept. 30, 2014",-1.001B
"June 30, 2014",-1.255B
"March 31, 2014",-738.00M
"Dec. 31, 2013",7.348B
"Sept. 30, 2013",208.00M
"June 30, 2013",-523.00M
"March 31, 2013",-997.00M
"Dec. 31, 2012",-544.00M
"Sept. 30, 2012",584.00M
"June 30, 2012",-800.00M
"March 31, 2012",-707.00M
"Dec. 31, 2011",-733.00M
"Sept. 30, 2011",647.00M
"June 30, 2011",-788.00M
"March 31, 2011",-1.106B
"Dec. 31, 2010",-299.00M
"Sept. 30, 2010",-151.00M
"June 30, 2010",-567.00M
"March 31, 2010",-1.222B
"Dec. 31, 2009",48.00M
"Sept. 30, 2009",-136.00M
"June 30, 2009",-1.091B
"March 31, 2009",-1.437B
"Dec. 31, 2008",551.00M
"Sept. 30, 2008",940.00M
"June 30, 2008",-2.033B
"March 31, 2008",-6.673B
"Dec. 31, 2007",-602.00M
"Sept. 30, 2007",208.00M
"June 30, 2007",1.137B
"March 31, 2007",-490.00M
"Dec. 31, 2006",-1.982B
"Sept. 30, 2006",-170.00M
"June 30, 2006",-2.344B
"March 31, 2006",-2.70B
"Dec. 31, 2005",-765.00M
"Sept. 30, 2005",-1.23B
"June 30, 2005",-269.00M
"March 31, 2005",-1.247B
"Dec. 31, 2004",-1.596B
"Sept. 30, 2004",-324.00M
"June 30, 2004",-2.079B
"March 31, 2004",-76.00M
"Dec. 31, 2003",-409.00M
"Sept. 30, 2003",-365.00M
"June 30, 2003",-151.00M
"March 31, 2003",-301.00M
"Dec. 31, 2002",-570.00M
"Sept. 30, 2002",-329.00M
"June 30, 2002",-223.00M
"March 31, 2002",-435.00M
"Dec. 31, 2001",-366.00M
"Sept. 30, 2001",-312.00M
"June 30, 2001",-345.00M
"March 31, 2001",-429.00M
"Sept. 30, 2000",-526.00M
"June 30, 2000",-713.00M
"March 31, 2000",-517.00M
"Dec. 31, 1999",79.00M
"Sept. 30, 1999",-93.00M
"June 30, 1999",-778.00M
"March 31, 1999",-631.00M
"Dec. 31, 1998",-217.00M
"Sept. 30, 1998",-210.00M
"June 30, 1998",-538.00M
"March 31, 1998",-611.00M
"Dec. 31, 1997",-42.00M
"Sept. 30, 1997",-724.00M
"June 30, 1997",-418.00M
"March 31, 1997",-387.00M
"Dec. 31, 1996",-184.00M
"Sept. 30, 1996",-196.00M
"June 30, 1996",-570.00M
"March 31, 1996",-622.00M
"Dec. 31, 1995",-44.00M
"Sept. 30, 1995",2.00M
"June 30, 1995",-279.00M
"March 31, 1995",-358.00M
"Dec. 31, 1994",-17.00M
"Sept. 30, 1994",-52.00M
"June 30, 1994",-701.00M
"March 31, 1994",-654.00M
"Dec. 31, 1993",-117.00M
"Sept. 30, 1993",-260.60M
"June 30, 1993",-1.024B
"March 31, 1993",-212.70M
"Dec. 31, 1992",-346.60M
"Sept. 30, 1992",-95.50M
"June 30, 1992",-186.40M
"March 31, 1992",-162.20M
"Dec. 31, 1991",-195.20M
"Sept. 30, 1991",-111.90M
"June 30, 1991",-411.30M
"March 31, 1991",37.30M
"Dec. 31, 1990",-65.80M
"Sept. 30, 1990",-208.30M
"June 30, 1990",-263.50M
"March 31, 1990",-74.50M
"Dec. 31, 1989",-60.30M
"Sept. 30, 1989",-102.80M
