date,net_income_ttm
"Dec. 31, 2019",4.766B
"Sept. 30, 2019",4.687B
"June 30, 2019",4.514B
"March 31, 2019",4.107B
"Dec. 31, 2018",3.934B
"Sept. 30, 2018",3.213B
"June 30, 2018",3.05B
"March 31, 2018",3.20B
"Dec. 31, 2017",3.204B
"Sept. 30, 2017",3.35B
"June 30, 2017",3.45B
"March 31, 2017",3.81B
"Dec. 31, 2016",4.195B
"Sept. 30, 2016",4.731B
"June 30, 2016",4.787B
"March 31, 2016",4.726B
"Dec. 31, 2015",4.526B
"Sept. 30, 2015",2.834B
"June 30, 2015",1.876B
"March 31, 2015",1.192B
"Dec. 31, 2014",659.00M
"Sept. 30, 2014",9.85B
"June 30, 2014",10.86B
"March 31, 2014",10.75B
"Dec. 31, 2013",10.54B
"Sept. 30, 2013",2.067B
"June 30, 2013",1.745B
"March 31, 2013",892.00M
"Dec. 31, 2012",1.009B
"Sept. 30, 2012",1.428B
"June 30, 2012",930.00M
"March 31, 2012",1.296B
"Dec. 31, 2011",854.00M
"Sept. 30, 2011",448.00M
"June 30, 2011",262.00M
"March 31, 2011",531.00M
"Dec. 31, 2010",593.00M
"Sept. 30, 2010",549.00M
"June 30, 2010",25.00M
"March 31, 2010",-699.00M
"Dec. 31, 2009",-1.237B
"Sept. 30, 2009",-2.65B
"June 30, 2009",-2.539B
"March 31, 2009",-3.326B
"Dec. 31, 2008",-8.922B
"Sept. 30, 2008",-7.554B
"June 30, 2008",-7.284B
"March 31, 2008",-4.648B
"Dec. 31, 2007",1.612B
"Sept. 30, 2007",-299.00M
"June 30, 2007",-467.00M
"March 31, 2007",-4.264B
"Dec. 31, 2006",-6.203B
"Sept. 30, 2006",-5.457B
"June 30, 2006",-6.639B
"March 31, 2006",-4.816B
"Dec. 31, 2005",-3.818B
"Sept. 30, 2005",-4.789B
"June 30, 2005",-4.305B
"March 31, 2005",-5.886B
"Dec. 31, 2004",-5.198B
"Sept. 30, 2004",-3.319B
"June 30, 2004",-2.837B
"March 31, 2004",-690.00M
"Dec. 31, 2003",-773.00M
"Sept. 30, 2003",-809.00M
"June 30, 2003",-971.00M
"March 31, 2003",-1.341B
"Dec. 31, 2002",-1.272B
"Sept. 30, 2002",-1.643B
"June 30, 2002",-1.576B
"March 31, 2002",-1.48B
"Dec. 31, 2001",-1.216B
"Sept. 30, 2001",-265.00M
"June 30, 2001",275.00M
"March 31, 2001",588.00M
"Sept. 30, 2000",1.073B
"June 30, 2000",1.134B
"March 31, 2000",1.217B
"Dec. 31, 1999",1.21B
"Sept. 30, 1999",1.052B
"June 30, 1999",1.101B
"March 31, 1999",1.099B
"Dec. 31, 1998",1.078B
"Sept. 30, 1998",1.074B
"June 30, 1998",1.001B
"March 31, 1998",941.00M
"Dec. 31, 1997",935.00M
"Sept. 30, 1997",870.00M
"June 30, 1997",854.00M
"March 31, 1997",714.00M
"Dec. 31, 1996",249.00M
"Sept. 30, 1996",194.00M
"June 30, 1996",157.00M
"March 31, 1996",246.00M
"Dec. 31, 1995",511.00M
"Sept. 30, 1995",423.00M
"June 30, 1995",408.00M
"March 31, 1995",-93.00M
"Dec. 31, 1994",-160.00M
"Sept. 30, 1994",-283.00M
"June 30, 1994",-408.60M
"March 31, 1994",-793.40M
"Dec. 31, 1993",-849.30M
"Sept. 30, 1993",-834.60M
"June 30, 1993",-1.002B
"March 31, 1993",-547.00M
"Dec. 31, 1992",-564.70M
"Sept. 30, 1992",-626.00M
"June 30, 1992",-506.20M
"March 31, 1992",-306.90M
"Dec. 31, 1991",-239.40M
"Sept. 30, 1991",-259.60M
"June 30, 1991",-324.30M
"March 31, 1991",-269.40M
"Dec. 31, 1990",-154.00M
"Sept. 30, 1990",118.00M
"June 30, 1990",302.70M
"March 31, 1990",419.40M
"Dec. 31, 1989",473.10M
"Sept. 30, 1989",494.10M
"June 30, 1989",461.00M
"March 31, 1989",373.50M
"Dec. 31, 1988",344.60M
"Sept. 30, 1988",347.70M
"June 30, 1988",306.80M
"March 31, 1988",262.30M
"Dec. 31, 1987",232.60M
"Sept. 30, 1987",269.80M
"June 30, 1987",263.70M
"March 31, 1987",227.10M
"Dec. 31, 1986",194.30M
"Sept. 30, 1986",70.70M
"June 30, 1986",47.20M
"March 31, 1986",109.20M
"Dec. 31, 1985",156.80M
"Sept. 30, 1985",228.80M
"June 30, 1985",259.50M
"March 31, 1985",247.00M
"Dec. 31, 1984",258.60M
