date,one_month_return
"March 19, 2020",-63.24%
"March 18, 2020",-60.00%
"March 17, 2020",-46.11%
"March 16, 2020",-39.20%
"March 13, 2020",-35.13%
"March 12, 2020",-43.32%
"March 11, 2020",-27.26%
"March 10, 2020",-21.21%
"March 9, 2020",-24.86%
"March 6, 2020",-21.12%
"March 5, 2020",-23.57%
"March 4, 2020",-16.28%
"March 3, 2020",-17.59%
"March 2, 2020",-15.39%
"Feb. 28, 2020",-19.75%
"Feb. 27, 2020",-15.20%
"Feb. 26, 2020",-15.68%
"Feb. 25, 2020",-13.47%
"Feb. 24, 2020",-7.79%
"Feb. 21, 2020",-4.09%
"Feb. 20, 2020",-5.88%
"Feb. 19, 2020",-5.67%
"Feb. 18, 2020",-5.34%
"Feb. 14, 2020",-4.15%
"Feb. 13, 2020",-0.61%
"Feb. 12, 2020",0.39%
"Feb. 11, 2020",-0.98%
"Feb. 10, 2020",-2.58%
"Feb. 7, 2020",0.54%
"Feb. 6, 2020",0.90%
"Feb. 5, 2020",1.43%
"Feb. 4, 2020",-0.22%
"Feb. 3, 2020",-3.48%
"Jan. 31, 2020",-4.69%
"Jan. 30, 2020",-2.66%
"Jan. 29, 2020",-4.11%
"Jan. 28, 2020",-2.71%
"Jan. 27, 2020",-3.81%
"Jan. 24, 2020",-0.98%
"Jan. 23, 2020",1.40%
"Jan. 22, 2020",1.14%
"Jan. 21, 2020",2.32%
"Jan. 17, 2020",5.69%
"Jan. 16, 2020",5.92%
"Jan. 15, 2020",8.62%
"Jan. 14, 2020",8.32%
"Jan. 13, 2020",4.87%
"Jan. 10, 2020",6.68%
"Jan. 9, 2020",5.66%
"Jan. 8, 2020",4.83%
"Jan. 7, 2020",2.62%
"Jan. 6, 2020",2.71%
"Jan. 3, 2020",4.39%
"Jan. 2, 2020",4.04%
"Dec. 31, 2019",2.04%
"Dec. 30, 2019",2.36%
"Dec. 27, 2019",3.52%
"Dec. 26, 2019",3.65%
"Dec. 24, 2019",5.85%
"Dec. 23, 2019",5.93%
"Dec. 20, 2019",5.93%
"Dec. 19, 2019",3.63%
"Dec. 18, 2019",2.63%
"Dec. 17, 2019",3.24%
"Dec. 16, 2019",2.76%
"Dec. 13, 2019",0.41%
"Dec. 12, 2019",-0.93%
"Dec. 11, 2019",-3.72%
"Dec. 10, 2019",-3.56%
"Dec. 9, 2019",-3.09%
