date,shares_outstanding
"Jan. 31, 2020",640.09M
"Dec. 31, 2019",642.77M
"Sept. 30, 2019",646.74M
"June 30, 2019",650.20M
"April 15, 2019",654.65M
"March 31, 2019",655.00M
"Jan. 31, 2019",678.95M
"Dec. 31, 2018",679.94M
"Sept. 30, 2018",685.62M
"June 30, 2018",691.33M
"May 2, 2018",701.48M
"April 20, 2018",701.48M
"March 31, 2018",702.48M
"Jan. 31, 2018",706.91M
"Dec. 31, 2017",707.20M
"Sept. 30, 2017",712.97M
"June 30, 2017",724.03M
"April 15, 2017",736.04M
"March 31, 2017",735.53M
"Jan. 31, 2017",730.77M
"Dec. 31, 2016",730.74M
"Sept. 30, 2016",736.38M
"June 30, 2016",748.91M
"April 18, 2016",771.59M
"March 31, 2016",771.58M
"Jan. 31, 2016",778.51M
"Dec. 31, 2015",778.78M
"Sept. 30, 2015",786.47M
"June 30, 2015",795.40M
"May 1, 2015",816.30M
"April 15, 2015",816.30M
"March 31, 2015",816.30M
"Jan. 31, 2015",824.27M
"Dec. 31, 2014",825.26M
"Sept. 30, 2014",836.94M
"June 30, 2014",843.01M
"May 2, 2014",847.93M
"March 31, 2014",848.01M
"Jan. 31, 2014",849.38M
"Dec. 31, 2013",851.44M
"Sept. 30, 2013",855.55M
"June 30, 2013",857.95M
"May 3, 2013",856.55M
"April 26, 2013",856.55M
"March 31, 2013",856.42M
"Jan. 31, 2013",851.59M
"Dec. 31, 2012",851.40M
"Sept. 30, 2012",850.45M
"June 30, 2012",850.31M
"April 20, 2012",849.64M
"March 31, 2012",849.61M
"Jan. 31, 2012",845.52M
"Dec. 31, 2011",845.25M
"Sept. 30, 2011",847.14M
"June 30, 2011",846.06M
"May 2, 2011",845.84M
"April 22, 2011",845.84M
"March 31, 2011",845.33M
"Jan. 31, 2011",834.83M
"Dec. 31, 2010",834.72M
"Sept. 30, 2010",788.92M
"June 30, 2010",788.85M
"April 28, 2010",789.82M
"March 31, 2010",787.39M
"Jan. 31, 2010",785.46M
"Dec. 31, 2009",783.95M
"Sept. 30, 2009",779.52M
"June 30, 2009",777.64M
"March 31, 2009",771.65M
"Dec. 31, 2008",698.14M
"Sept. 30, 2008",308.54M
"June 30, 2008",303.89M
"April 25, 2008",292.17M
"March 31, 2008",292.17M
"Jan. 31, 2008",292.22M
"Dec. 31, 2007",292.23M
"Sept. 30, 2007",269.12M
"June 30, 2007",240.67M
"March 31, 2007",197.34M
"Jan. 31, 2007",197.34M
"Oct. 31, 2006",197.34M
"July 31, 2006",197.34M
"April 30, 2006",197.34M
"Feb. 28, 2006",197.33M
"Oct. 31, 2005",189.34M
"July 31, 2005",158.15M
"April 30, 2005",143.65M
"Feb. 28, 2005",141.23M
"Oct. 31, 2004",129.41M
"July 31, 2004",125.61M
"April 30, 2004",124.52M
"March 1, 2004",124.02M
"Oct. 31, 2003",123.46M
"July 31, 2003",123.36M
"April 30, 2003",123.36M
"Feb. 28, 2003",123.42M
"Oct. 31, 2002",123.35M
"July 31, 2002",123.26M
"April 30, 2002",123.23M
"Feb. 28, 2002",123.23M
"Oct. 31, 2001",123.24M
"July 31, 2001",123.07M
"April 30, 2001",123.04M
"Feb. 28, 2001",123.04M
"Oct. 31, 2000",122.96M
"Aug. 27, 2000",122.97M
"Aug. 31, 1999",138.76M
"Aug. 31, 1998",73.48M
"Aug. 29, 1997",73.72M
"Aug. 30, 1996",77.05M
"Aug. 31, 1995",51.14M
"Aug. 31, 1994",50.60M
"June 30, 1994",100.87M
"March 31, 1994",100.56M
"Dec. 31, 1993",100.42M
"Sept. 30, 1993",100.41M
"June 30, 1993",100.13M
"March 31, 1993",99.85M
"Dec. 31, 1992",99.47M
"Sept. 30, 1992",99.45M
"June 30, 1992",99.40M
"March 31, 1992",99.12M
"Dec. 31, 1991",98.84M
"Sept. 30, 1991",98.82M
"June 30, 1991",98.80M
"March 31, 1991",84.77M
"Dec. 31, 1990",84.75M
"Sept. 30, 1990",84.74M
"June 30, 1990",92.17M
"March 31, 1990",96.11M
"Dec. 31, 1989",102.05M
"Sept. 30, 1989",101.34M
"June 30, 1989",98.53M
"March 31, 1989",98.45M
"Dec. 31, 1988",98.38M
"Sept. 30, 1988",98.37M
"June 30, 1988",98.20M
"March 31, 1988",97.30M
"Dec. 31, 1987",97.29M
"Sept. 30, 1987",97.27M
"June 30, 1987",97.28M
"March 31, 1987",86.81M
"Dec. 31, 1986",81.63M
"Sept. 30, 1986",80.23M
"June 30, 1986",80.23M
"March 31, 1986",80.22M
"Dec. 31, 1985",80.21M
"Sept. 30, 1985",79.91M
"June 30, 1985",79.92M
"March 31, 1985",79.90M
"Dec. 31, 1984",79.52M
"Sept. 30, 1984",79.52M
"June 30, 1984",79.52M
"March 31, 1984",79.52M
