date,fulmer_h_score
"Dec. 31, 2019",4.638
"Sept. 30, 2019",4.45
"June 30, 2019",4.174
"March 31, 2019",3.986
"Dec. 31, 2018",3.965
"Sept. 30, 2018",4.078
"June 30, 2018",3.981
"March 31, 2018",3.826
"Dec. 31, 2017",3.610
"Sept. 30, 2017",3.704
"June 30, 2017",3.722
"March 31, 2017",3.894
"Dec. 31, 2016",4.315
"Sept. 30, 2016",4.800
"June 30, 2016",4.603
"March 31, 2016",4.331
"Dec. 31, 2015",4.074
"Sept. 30, 2015",3.964
"June 30, 2015",3.342
"March 31, 2015",2.789
"Dec. 31, 2014",1.891
"Sept. 30, 2014",2.904
"June 30, 2014",2.901
"March 31, 2014",2.468
"Dec. 31, 2013",2.370
"Sept. 30, 2013",1.094
"June 30, 2013",0.6834
"March 31, 2013",0.158
"Dec. 31, 2012",0.1227
"Sept. 30, 2012",0.2158
"June 30, 2012",-0.1458
"March 31, 2012",0.0496
"Dec. 31, 2011",-0.2573
"Sept. 30, 2011",-0.6635
"June 30, 2011",-0.6946
"March 31, 2011",-0.541
"Dec. 31, 2010",-0.4335
"Sept. 30, 2010",-0.692
"June 30, 2010",-1.261
"March 31, 2010",-4.731
"Dec. 31, 2009",
"Sept. 30, 2009",
"June 30, 2009",
"March 31, 2009",
"Dec. 31, 2008",
"Sept. 30, 2008",
"June 30, 2008",
"March 31, 2008",
"Dec. 31, 2007",1.358
"Sept. 30, 2007",1.632
"June 30, 2007",1.740
