date,return_on_invested_capital
"Dec. 31, 2019",19.41%
"Sept. 30, 2019",19.65%
"June 30, 2019",19.32%
"March 31, 2019",18.00%
"Dec. 31, 2018",17.60%
"Sept. 30, 2018",14.46%
"June 30, 2018",13.78%
"March 31, 2018",14.54%
"Dec. 31, 2017",14.77%
"Sept. 30, 2017",15.63%
"June 30, 2017",16.59%
"March 31, 2017",18.83%
"Dec. 31, 2016",21.36%
"Sept. 30, 2016",24.21%
"June 30, 2016",24.81%
"March 31, 2016",24.75%
"Dec. 31, 2015",24.02%
"Sept. 30, 2015",14.54%
"June 30, 2015",9.30%
"March 31, 2015",5.69%
"Dec. 31, 2014",3.02%
"Sept. 30, 2014",47.97%
"June 30, 2014",59.51%
"March 31, 2014",67.91%
"Dec. 31, 2013",78.65%
"Sept. 30, 2013",18.25%
"June 30, 2013",15.45%
"March 31, 2013",7.72%
"Dec. 31, 2012",8.43%
"Sept. 30, 2012",10.99%
"June 30, 2012",6.86%
"March 31, 2012",9.02%
"Dec. 31, 2011",5.65%
"Sept. 30, 2011",2.82%
"June 30, 2011",1.65%
"March 31, 2011",3.12%
"Dec. 31, 2010",3.42%
"Sept. 30, 2010",2.96%
"June 30, 2010",0.13%
"March 31, 2010",-3.38%
"Dec. 31, 2009",-5.91%
"Sept. 30, 2009",-13.29%
"June 30, 2009",-14.04%
"March 31, 2009",-20.30%
"Dec. 31, 2008",-54.45%
"Sept. 30, 2008",-48.47%
"June 30, 2008",-43.79%
"March 31, 2008",-35.95%
"Dec. 31, 2007",17.52%
"Sept. 30, 2007",-8.07%
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",-363.5%
"Dec. 31, 2005",-108.8%
"Sept. 30, 2005",-79.64%
"June 30, 2005",-53.10%
"March 31, 2005",-65.42%
"Dec. 31, 2004",-53.67%
"Sept. 30, 2004",-30.64%
"June 30, 2004",-24.53%
"March 31, 2004",-5.75%
"Dec. 31, 2003",-6.49%
"Sept. 30, 2003",-6.56%
"June 30, 2003",-7.85%
"March 31, 2003",-10.86%
"Dec. 31, 2002",-10.10%
"Sept. 30, 2002",-12.54%
"June 30, 2002",-12.26%
"March 31, 2002",-11.80%
"Dec. 31, 2001",-10.07%
"Sept. 30, 2001",-2.30%
"June 30, 2001",2.57%
"March 31, 2001",5.70%
"Sept. 30, 2000",11.25%
"June 30, 2000",12.85%
"March 31, 2000",14.86%
"Dec. 31, 1999",16.15%
"Sept. 30, 1999",15.74%
"June 30, 1999",17.54%
"March 31, 1999",18.35%
"Dec. 31, 1998",19.06%
"Sept. 30, 1998",19.66%
"June 30, 1998",18.89%
"March 31, 1998",18.46%
"Dec. 31, 1997",19.07%
"Sept. 30, 1997",18.40%
"June 30, 1997",18.53%
"March 31, 1997",15.69%
"Dec. 31, 1996",5.38%
"Sept. 30, 1996",4.09%
"June 30, 1996",3.26%
"March 31, 1996",5.11%
"Dec. 31, 1995",10.56%
"Sept. 30, 1995",8.76%
"June 30, 1995",8.46%
"March 31, 1995",-1.90%
"Dec. 31, 1994",-3.16%
"Sept. 30, 1994",-5.42%
"June 30, 1994",-7.59%
"March 31, 1994",-14.36%
"Dec. 31, 1993",-14.97%
"Sept. 30, 1993",-14.62%
"June 30, 1993",-17.52%
"March 31, 1993",-9.66%
"Dec. 31, 1992",-10.13%
"Sept. 30, 1992",-11.78%
"June 30, 1992",-9.89%
"March 31, 1992",-6.30%
"Dec. 31, 1991",-5.19%
"Sept. 30, 1991",-5.98%
"June 30, 1991",-7.67%
"March 31, 1991",-6.58%
"Dec. 31, 1990",-3.90%
"Sept. 30, 1990",3.09%
"June 30, 1990",8.15%
"March 31, 1990",11.55%
"Dec. 31, 1989",13.47%
