date,liabilities
"Dec. 31, 2019",49.17B
"Sept. 30, 2019",48.15B
"June 30, 2019",48.56B
"March 31, 2019",48.93B
"Dec. 31, 2018",46.58B
"Sept. 30, 2018",41.30B
"June 30, 2018",42.94B
"March 31, 2018",41.52B
"Dec. 31, 2017",41.14B
"Sept. 30, 2017",37.93B
"June 30, 2017",38.34B
"March 31, 2017",38.51B
"Dec. 31, 2016",38.97B
"Sept. 30, 2016",38.44B
"June 30, 2016",39.82B
"March 31, 2016",42.09B
"Dec. 31, 2015",42.28B
"Sept. 30, 2015",43.30B
"June 30, 2015",43.22B
"March 31, 2015",44.71B
"Dec. 31, 2014",45.19B
"Sept. 30, 2014",39.64B
"June 30, 2014",39.99B
"March 31, 2014",40.53B
"Dec. 31, 2013",40.61B
"Sept. 30, 2013",45.86B
"June 30, 2013",46.96B
"March 31, 2013",47.01B
"Dec. 31, 2012",46.68B
"Sept. 30, 2012",44.40B
"June 30, 2012",45.86B
"March 31, 2012",45.20B
"Dec. 31, 2011",44.90B
"Sept. 30, 2011",41.81B
"June 30, 2011",43.09B
"March 31, 2011",43.12B
"Dec. 31, 2010",42.29B
"Sept. 30, 2010",42.44B
"June 30, 2010",43.61B
"March 31, 2010",44.27B
"Dec. 31, 2009",43.54B
"Sept. 30, 2009",43.95B
"June 30, 2009",43.50B
"March 31, 2009",43.88B
"Dec. 31, 2008",44.21B
"Sept. 30, 2008",23.21B
"June 30, 2008",23.93B
"March 31, 2008",22.80B
"Dec. 31, 2007",22.31B
"Sept. 30, 2007",23.02B
"June 30, 2007",24.26B
"March 31, 2007",33.49B
"Dec. 31, 2006",33.22B
"Sept. 30, 2006",34.55B
"June 30, 2006",34.60B
"March 31, 2006",32.22B
"Dec. 31, 2005",29.93B
"Sept. 30, 2005",28.68B
"June 30, 2005",28.55B
"March 31, 2005",28.37B
"Dec. 31, 2004",27.60B
"Sept. 30, 2004",27.10B
"June 30, 2004",27.13B
"March 31, 2004",27.20B
"Dec. 31, 2003",26.60B
"Sept. 30, 2003",25.26B
"June 30, 2003",24.88B
"March 31, 2003",23.96B
"Dec. 31, 2002",23.83B
"Sept. 30, 2002",21.19B
"June 30, 2002",20.89B
"March 31, 2002",20.29B
"Dec. 31, 2001",19.84B
"Sept. 30, 2001",19.74B
"June 30, 2001",17.85B
"March 31, 2001",16.51B
"Sept. 30, 2000",16.33B
"June 30, 2000",15.48B
"March 31, 2000",15.38B
"Dec. 31, 1999",14.89B
"Sept. 30, 1999",12.74B
"June 30, 1999",12.30B
"March 31, 1999",11.74B
"Dec. 31, 1998",10.45B
"Sept. 30, 1998",10.34B
"June 30, 1998",10.58B
"March 31, 1998",10.01B
"Dec. 31, 1997",9.553B
"Sept. 30, 1997",10.13B
"June 30, 1997",9.578B
"March 31, 1997",9.686B
"Dec. 31, 1996",9.397B
"Sept. 30, 1996",9.473B
"June 30, 1996",9.548B
"March 31, 1996",10.14B
"Dec. 31, 1995",9.776B
"Sept. 30, 1995",10.13B
"June 30, 1995",10.20B
"March 31, 1995",9.779B
"Dec. 31, 1994",9.648B
"Sept. 30, 1994",10.15B
"June 30, 1994",10.33B
"March 31, 1994",9.922B
"Dec. 31, 1993",9.712B
"Sept. 30, 1993",9.680B
"June 30, 1993",9.876B
"March 31, 1993",7.497B
"Dec. 31, 1992",7.374B
"Sept. 30, 1992",7.177B
"June 30, 1992",8.196B
"March 31, 1992",7.568B
"Dec. 31, 1991",6.755B
"Sept. 30, 1991",5.949B
"June 30, 1991",5.905B
"March 31, 1991",5.764B
"Dec. 31, 1990",5.246B
"Sept. 30, 1990",4.940B
"June 30, 1990",4.609B
"March 31, 1990",4.312B
"Dec. 31, 1989",3.652B
"Sept. 30, 1989",3.844B
"June 30, 1989",3.864B
"June 30, 1988",3.540B
"June 30, 1987",3.404B
"June 30, 1986",2.484B
"June 30, 1985",2.340B
"June 30, 1984",2.220B
