date,ytd_return
"March 19, 2020",-63.22%
"March 18, 2020",-59.83%
"March 17, 2020",-45.72%
"March 16, 2020",-38.77%
"March 13, 2020",-34.40%
"March 12, 2020",-42.36%
"March 11, 2020",-27.03%
"March 10, 2020",-22.25%
"March 9, 2020",-25.58%
"March 6, 2020",-21.53%
"March 5, 2020",-23.03%
"March 4, 2020",-17.07%
"March 3, 2020",-21.03%
"March 2, 2020",-19.36%
"Feb. 28, 2020",-21.12%
"Feb. 27, 2020",-17.60%
"Feb. 26, 2020",-15.20%
"Feb. 25, 2020",-12.98%
"Feb. 24, 2020",-7.27%
"Feb. 21, 2020",-1.04%
"Feb. 20, 2020",-0.17%
"Feb. 19, 2020",0.05%
"Feb. 18, 2020",0.41%
"Feb. 14, 2020",0.72%
"Feb. 13, 2020",1.11%
"Feb. 12, 2020",1.69%
"Feb. 11, 2020",0.31%
"Feb. 10, 2020",-1.32%
"Feb. 7, 2020",-0.96%
"Feb. 6, 2020",-0.51%
"Feb. 5, 2020",0.70%
"Feb. 4, 2020",-0.94%
"Feb. 3, 2020",-4.17%
"Jan. 31, 2020",-4.69%
"Jan. 30, 2020",-2.36%
"Jan. 29, 2020",-3.13%
"Jan. 28, 2020",-1.71%
"Jan. 27, 2020",-2.82%
"Jan. 24, 2020",0.56%
"Jan. 23, 2020",3.06%
"Jan. 22, 2020",1.98%
"Jan. 21, 2020",3.18%
"Jan. 17, 2020",6.07%
"Jan. 16, 2020",5.81%
"Jan. 15, 2020",5.37%
"Jan. 14, 2020",5.08%
"Jan. 13, 2020",1.73%
"Jan. 10, 2020",1.30%
"Jan. 9, 2020",0.82%
"Jan. 8, 2020",0.63%
"Jan. 7, 2020",-1.49%
"Jan. 6, 2020",-1.40%
"Jan. 3, 2020",-0.72%
"Jan. 2, 2020",0.96%
"Dec. 31, 2019",17.19%
"Dec. 30, 2019",17.56%
"Dec. 27, 2019",18.40%
"Dec. 26, 2019",19.36%
"Dec. 24, 2019",19.02%
"Dec. 23, 2019",19.12%
"Dec. 20, 2019",18.18%
"Dec. 19, 2019",18.52%
"Dec. 18, 2019",17.39%
"Dec. 17, 2019",17.62%
"Dec. 16, 2019",17.07%
"Dec. 13, 2019",13.69%
"Dec. 12, 2019",13.61%
"Dec. 11, 2019",10.38%
"Dec. 10, 2019",11.28%
"Dec. 9, 2019",11.82%
"Dec. 6, 2019",12.50%
"Dec. 5, 2019",11.98%
"Dec. 4, 2019",12.34%
"Dec. 3, 2019",11.46%
"Dec. 2, 2019",13.73%
"Nov. 29, 2019",14.85%
"Nov. 27, 2019",14.37%
"Nov. 26, 2019",15.15%
"Nov. 25, 2019",12.93%
"Nov. 22, 2019",12.44%
"Nov. 21, 2019",10.84%
"Nov. 20, 2019",11.56%
"Nov. 19, 2019",14.37%
"Nov. 18, 2019",14.39%
"Nov. 15, 2019",13.93%
"Nov. 14, 2019",13.33%
"Nov. 13, 2019",13.23%
"Nov. 12, 2019",14.67%
"Nov. 11, 2019",14.65%
"Nov. 8, 2019",15.39%
"Nov. 7, 2019",15.55%
"Nov. 6, 2019",15.39%
"Nov. 5, 2019",15.25%
"Nov. 4, 2019",13.99%
"Nov. 1, 2019",12.26%
"Oct. 31, 2019",10.38%
"Oct. 30, 2019",10.86%
"Oct. 29, 2019",10.98%
"Oct. 28, 2019",10.56%
"Oct. 25, 2019",9.42%
"Oct. 24, 2019",7.80%
"Oct. 23, 2019",7.84%
"Oct. 22, 2019",9.52%
"Oct. 21, 2019",9.38%
"Oct. 18, 2019",7.88%
"Oct. 17, 2019",6.95%
"Oct. 16, 2019",6.55%
"Oct. 15, 2019",7.50%
"Oct. 14, 2019",6.19%
"Oct. 11, 2019",6.11%
"Oct. 10, 2019",6.41%
"Oct. 9, 2019",8.06%
"Oct. 8, 2019",6.61%
"Oct. 7, 2019",6.93%
"Oct. 4, 2019",7.84%
"Oct. 3, 2019",5.87%
"Oct. 2, 2019",8.92%
"Oct. 1, 2019",14.25%
"Sept. 30, 2019",15.43%
"Sept. 27, 2019",16.79%
"Sept. 26, 2019",17.80%
"Sept. 25, 2019",16.85%
"Sept. 24, 2019",16.23%
"Sept. 23, 2019",16.27%
"Sept. 20, 2019",17.50%
"Sept. 19, 2019",17.62%
"Sept. 18, 2019",18.86%
"Sept. 17, 2019",18.98%
"Sept. 16, 2019",18.38%
"Sept. 13, 2019",20.26%
"Sept. 12, 2019",19.12%
"Sept. 11, 2019",17.80%
"Sept. 10, 2019",17.52%
"Sept. 9, 2019",16.45%
"Sept. 6, 2019",16.19%
"Sept. 5, 2019",16.61%
"Sept. 4, 2019",14.69%
"Sept. 3, 2019",14.81%
"Aug. 30, 2019",15.95%
"Aug. 29, 2019",15.99%
"Aug. 28, 2019",13.59%
"Aug. 27, 2019",12.50%
"Aug. 26, 2019",12.79%
"Aug. 23, 2019",12.63%
"Aug. 22, 2019",16.15%
"Aug. 21, 2019",16.25%
"Aug. 20, 2019",15.59%
"Aug. 19, 2019",16.61%
"Aug. 16, 2019",16.31%
"Aug. 15, 2019",14.45%
"Aug. 14, 2019",14.69%
"Aug. 13, 2019",17.92%
"Aug. 12, 2019",17.56%
"Aug. 9, 2019",19.30%
"Aug. 8, 2019",20.30%
"Aug. 7, 2019",18.72%
"Aug. 6, 2019",17.82%
"Aug. 5, 2019",15.87%
"Aug. 2, 2019",20.50%
"Aug. 1, 2019",20.88%
"July 31, 2019",22.32%
"July 30, 2019",25.51%
"July 29, 2019",25.17%
"July 26, 2019",24.57%
"July 25, 2019",24.71%
"July 24, 2019",26.57%
"July 23, 2019",26.43%
"July 22, 2019",22.83%
"July 19, 2019",22.06%
"July 18, 2019",25.57%
"July 17, 2019",24.75%
"July 16, 2019",26.57%
"July 15, 2019",23.65%
"July 12, 2019",23.55%
"July 11, 2019",20.56%
"July 10, 2019",19.18%
"July 9, 2019",18.16%
"July 8, 2019",18.98%
"July 5, 2019",17.64%
"July 3, 2019",18.54%
"July 2, 2019",17.31%
"July 1, 2019",15.81%
"June 28, 2019",13.73%
"June 27, 2019",13.87%
"June 26, 2019",12.99%
"June 25, 2019",12.06%
"June 24, 2019",12.36%
"June 21, 2019",12.20%
"June 20, 2019",12.16%
"June 19, 2019",12.95%
"June 18, 2019",12.28%
"June 17, 2019",11.56%
"June 14, 2019",12.20%
"June 13, 2019",13.27%
"June 12, 2019",11.12%
"June 11, 2019",9.98%
"June 10, 2019",9.68%
"June 7, 2019",10.36%
"June 6, 2019",9.60%
"June 5, 2019",10.10%
"June 4, 2019",8.84%
"June 3, 2019",4.41%
"May 31, 2019",3.21%
"May 30, 2019",6.27%
"May 29, 2019",6.63%
"May 28, 2019",7.98%
"May 24, 2019",8.46%
"May 23, 2019",8.22%
"May 22, 2019",8.34%
"May 21, 2019",9.88%
"May 20, 2019",8.78%
"May 17, 2019",10.00%
"May 16, 2019",10.98%
"May 15, 2019",10.32%
"May 14, 2019",10.72%
"May 13, 2019",9.82%
"May 10, 2019",13.47%
"May 9, 2019",13.41%
"May 8, 2019",13.13%
"May 7, 2019",14.57%
"May 6, 2019",15.69%
"May 3, 2019",15.83%
"May 2, 2019",15.55%
"May 1, 2019",14.59%
"April 30, 2019",16.81%
"April 29, 2019",15.69%
"April 26, 2019",14.45%
"April 25, 2019",13.65%
"April 24, 2019",15.93%
"April 23, 2019",16.71%
"April 22, 2019",15.73%
"April 18, 2019",16.57%
"April 17, 2019",17.09%
"April 16, 2019",16.45%
"April 15, 2019",15.13%
"April 12, 2019",16.33%
"April 11, 2019",17.01%
"April 10, 2019",15.95%
"April 9, 2019",14.13%
"April 8, 2019",15.65%
"April 5, 2019",15.69%
"April 4, 2019",14.67%
"April 3, 2019",14.23%
"April 2, 2019",10.88%
"April 1, 2019",4.57%
"March 29, 2019",3.51%
"March 28, 2019",0.84%
"March 27, 2019",0.14%
"March 26, 2019",-1.62%
"March 25, 2019",-1.74%
"March 22, 2019",-0.28%
"March 21, 2019",0.80%
"March 20, 2019",-0.06%
"March 19, 2019",2.12%
"March 18, 2019",1.68%
"March 15, 2019",2.59%
"March 14, 2019",2.08%
"March 13, 2019",2.24%
"March 12, 2019",1.54%
"March 11, 2019",2.44%
"March 8, 2019",-0.62%
"March 7, 2019",-0.62%
"March 6, 2019",-0.38%
"March 5, 2019",-0.36%
"March 4, 2019",-2.22%
"March 1, 2019",-1.88%
"Feb. 28, 2019",-0.64%
"Feb. 27, 2019",1.06%
"Feb. 26, 2019",2.44%
"Feb. 25, 2019",3.03%
"Feb. 22, 2019",3.25%
"Feb. 21, 2019",3.17%
"Feb. 20, 2019",2.69%
"Feb. 19, 2019",3.85%
"Feb. 15, 2019",2.36%
"Feb. 14, 2019",1.16%
"Feb. 13, 2019",1.02%
"Feb. 12, 2019",-0.02%
"Feb. 11, 2019",1.42%
"Feb. 8, 2019",1.14%
"Feb. 7, 2019",1.02%
"Feb. 6, 2019",1.24%
"Feb. 5, 2019",1.28%
"Feb. 4, 2019",0.88%
"Feb. 1, 2019",0.04%
"Jan. 31, 2019",-0.94%
"Jan. 30, 2019",0.74%
"Jan. 29, 2019",-3.37%
"Jan. 28, 2019",-3.79%
"Jan. 25, 2019",-4.43%
"Jan. 24, 2019",-4.77%
"Jan. 23, 2019",-5.21%
"Jan. 22, 2019",-5.61%
"Jan. 18, 2019",-3.59%
"Jan. 17, 2019",-3.37%
"Jan. 16, 2019",-4.81%
"Jan. 15, 2019",-4.15%
"Jan. 14, 2019",-4.31%
"Jan. 11, 2019",-2.69%
"Jan. 10, 2019",-2.34%
"Jan. 9, 2019",-2.87%
"Jan. 8, 2019",-4.87%
"Jan. 7, 2019",-4.11%
"Jan. 4, 2019",-4.23%
"Jan. 3, 2019",-8.60%
"Jan. 2, 2019",0.38%
"Dec. 31, 2018",-10.89%
"Dec. 28, 2018",-10.39%
"Dec. 27, 2018",-9.82%
"Dec. 26, 2018",-9.98%
"Dec. 24, 2018",-14.36%
"Dec. 21, 2018",-11.70%
"Dec. 20, 2018",-9.09%
"Dec. 19, 2018",-7.27%
"Dec. 18, 2018",-5.45%
"Dec. 17, 2018",-6.45%
"Dec. 14, 2018",-4.45%
"Dec. 13, 2018",-4.38%
"Dec. 12, 2018",0.48%
"Dec. 11, 2018",-0.20%
"Dec. 10, 2018",0.57%
"Dec. 7, 2018",0.12%
"Dec. 6, 2018",3.71%
"Dec. 4, 2018",1.68%
"Dec. 3, 2018",7.36%
"Nov. 30, 2018",8.41%
"Nov. 29, 2018",5.11%
"Nov. 28, 2018",5.12%
"Nov. 27, 2018",4.12%
"Nov. 26, 2018",1.27%
"Nov. 23, 2018",2.07%
"Nov. 21, 2018",-0.05%
"Nov. 20, 2018",-1.05%
