date,shares_outstanding
"Feb. 7, 2020",151.59M
"Dec. 31, 2019",151.53M
"Nov. 6, 2019",151.40M
"Sept. 30, 2019",151.40M
"Aug. 14, 2019",151.18M
"June 30, 2019",150.94M
"May 15, 2019",149.70M
"March 31, 2019",149.60M
"Feb. 6, 2019",149.52M
"Dec. 31, 2018",149.51M
"Nov. 7, 2018",149.26M
"Sept. 30, 2018",149.30M
"Sept. 20, 2018",149.25M
"Aug. 8, 2018",149.25M
"June 30, 2018",149.02M
"May 25, 2018",148.39M
"March 31, 2018",148.39M
"Feb. 28, 2018",148.35M
"Feb. 7, 2018",146.90M
"Jan. 1, 2018",146.90M
"Dec. 31, 2017",146.90M
"Nov. 8, 2017",146.85M
"Sept. 30, 2017",146.85M
"Aug. 9, 2017",146.79M
"June 30, 2017",146.86M
"May 17, 2017",147.01M
"March 31, 2017",147.03M
"Feb. 28, 2017",146.97M
"Feb. 8, 2017",147.82M
"Dec. 31, 2016",147.82M
"Dec. 28, 2016",147.82M
"Dec. 19, 2016",147.82M
"Nov. 9, 2016",147.79M
"Sept. 30, 2016",147.79M
"Aug. 10, 2016",147.77M
"June 30, 2016",147.72M
"March 31, 2016",147.18M
"Feb. 10, 2016",147.07M
"Dec. 31, 2015",147.07M
"Nov. 11, 2015",146.94M
"Sept. 30, 2015",146.91M
"Aug. 12, 2015",146.79M
"June 30, 2015",146.79M
"May 25, 2015",146.56M
"March 31, 2015",146.56M
"Feb. 27, 2015",146.54M
"Feb. 11, 2015",146.54M
"Dec. 31, 2014",146.14M
"Nov. 12, 2014",145.60M
"Sept. 30, 2014",145.37M
"Aug. 6, 2014",145.06M
"June 30, 2014",145.06M
"March 31, 2014",143.75M
"Feb. 13, 2014",143.65M
"Dec. 31, 2013",143.59M
"Nov. 7, 2013",143.41M
"Sept. 30, 2013",143.32M
"Aug. 8, 2013",142.81M
"June 30, 2013",142.74M
"May 24, 2013",142.25M
"May 16, 2013",142.25M
"March 31, 2013",142.03M
"Dec. 31, 2012",140.94M
"Nov. 8, 2012",140.07M
"Sept. 30, 2012",139.72M
"Aug. 9, 2012",139.38M
"June 30, 2012",139.38M
"March 31, 2012",139.35M
"Dec. 31, 2011",139.22M
"Sept. 30, 2011",138.25M
"June 30, 2011",137.61M
"March 31, 2011",136.96M
"Dec. 31, 2010",126.58M
"Sept. 30, 2010",125.85M
"June 30, 2010",125.19M
"March 31, 2010",124.33M
"Dec. 31, 2009",123.16M
"Sept. 30, 2009",122.07M
"Aug. 5, 2009",116.99M
"June 30, 2009",111.64M
"May 13, 2009",106.17M
"March 31, 2009",111.40M
"Dec. 31, 2008",106.22M
"Sept. 30, 2008",111.21M
"June 30, 2008",104.82M
"March 31, 2008",108.86M
"March 31, 2007",106.79M
"Dec. 31, 2006",97.88M
"Sept. 30, 2006",97.87M
"June 30, 2006",97.75M
"March 31, 2006",96.39M
"March 31, 2005",95.52M
"Dec. 31, 2004",94.93M
"Sept. 30, 2004",94.62M
"June 30, 2004",93.30M
"March 31, 2004",91.09M
"Dec. 31, 2003",89.00M
"Sept. 30, 2003",89.00M
"June 30, 2003",88.09M
"March 31, 2003",86.04M
"Dec. 31, 2002",76.31M
"Sept. 30, 2002",74.48M
"June 30, 2002",57.69M
"March 31, 2002",57.69M
"Dec. 31, 2001",54.51M
"Sept. 30, 2001",54.45M
"June 30, 2001",54.45M
