date,market_beta_60_month
"Feb. 29, 2020",1.578
"Jan. 31, 2020",1.186
"Dec. 31, 2019",1.158
"Nov. 30, 2019",1.264
"Oct. 31, 2019",1.204
"Sept. 30, 2019",1.217
"Aug. 31, 2019",1.116
"July 31, 2019",0.9154
"June 30, 2019",0.9453
"May 31, 2019",0.6959
"April 30, 2019",0.5668
"March 31, 2019",0.5379
"Feb. 28, 2019",0.5441
"Jan. 31, 2019",0.6033
"Dec. 31, 2018",0.5039
"Nov. 30, 2018",0.1912
"Oct. 31, 2018",0.117
"Sept. 30, 2018",0.3082
"Aug. 31, 2018",0.3426
"July 31, 2018",0.547
"June 30, 2018",0.6766
"May 31, 2018",0.7509
"April 30, 2018",0.8033
"March 31, 2018",0.7997
"Feb. 28, 2018",0.6893
"Jan. 31, 2018",0.8631
"Dec. 31, 2017",0.9215
"Nov. 30, 2017",0.9143
"Oct. 31, 2017",1.033
"Sept. 30, 2017",1.059
"Aug. 31, 2017",1.049
"July 31, 2017",1.065
"June 30, 2017",1.063
"May 31, 2017",1.074
"April 30, 2017",1.230
"March 31, 2017",1.238
"Feb. 28, 2017",1.285
"Jan. 31, 2017",1.352
"Dec. 31, 2016",1.360
"Nov. 30, 2016",1.355
"Oct. 31, 2016",1.367
"Sept. 30, 2016",1.406
"Aug. 31, 2016",1.574
"July 31, 2016",1.535
"June 30, 2016",1.533
"May 31, 2016",1.530
"April 30, 2016",1.529
"March 31, 2016",1.527
"Feb. 29, 2016",1.566
"Jan. 31, 2016",1.541
"Dec. 31, 2015",1.577
"Nov. 30, 2015",1.500
"Oct. 31, 2015",1.493
"Sept. 30, 2015",1.415
"Aug. 31, 2015",1.342
"July 31, 2015",1.412
"June 30, 2015",1.335
"May 31, 2015",1.264
"April 30, 2015",1.132
"March 31, 2015",1.136
"Feb. 28, 2015",1.106
"Jan. 31, 2015",1.137
"Dec. 31, 2014",1.113
"Nov. 30, 2014",1.134
"Oct. 31, 2014",1.079
"Sept. 30, 2014",1.042
