date,return_on_invested_capital
"Dec. 31, 2019",-52.06%
"Sept. 30, 2019",-60.43%
"June 30, 2019",-68.21%
"March 31, 2019",-31.61%
"Dec. 31, 2018",22.39%
"Sept. 30, 2018",68.15%
"June 30, 2018",67.76%
"March 31, 2018",109.9%
"Dec. 31, 2017",50.45%
"Sept. 30, 2017",46.75%
"June 30, 2017",17.51%
"March 31, 2017",154.3%
"Dec. 31, 2016",227.1%
"Sept. 30, 2016",221.0%
"June 30, 2016",314.1%
"March 31, 2016",138.2%
"Dec. 31, 2015",-26.79%
"Sept. 30, 2015",-139.9%
"June 30, 2015",-101.4%
"March 31, 2015",-101.0%
"Dec. 31, 2014",-44.17%
"Sept. 30, 2014",17.06%
"June 30, 2014",17.93%
"March 31, 2014",15.97%
"Dec. 31, 2013",21.12%
"Sept. 30, 2013",4.00%
"June 30, 2013",20.88%
"March 31, 2013",86.48%
