date,gross_profit_margin
"Dec. 31, 2019",21.64%
"Sept. 30, 2019",20.22%
"June 30, 2019",19.74%
"March 31, 2019",16.94%
"Dec. 31, 2018",22.40%
"Sept. 30, 2018",18.53%
"June 30, 2018",18.87%
"March 31, 2018",16.70%
"Dec. 31, 2017",18.78%
"Sept. 30, 2017",16.75%
"June 30, 2017",18.59%
"March 31, 2017",18.52%
"Dec. 31, 2016",18.98%
"Sept. 30, 2016",18.49%
"June 30, 2016",18.11%
"March 31, 2016",18.99%
"Dec. 31, 2015",17.82%
"Sept. 30, 2015",15.37%
"June 30, 2015",16.17%
"March 31, 2015",16.04%
"Dec. 31, 2014",15.85%
"Sept. 30, 2014",14.43%
"June 30, 2014",15.03%
"March 31, 2014",12.14%
"Dec. 31, 2013",17.69%
"Sept. 30, 2013",13.62%
"June 30, 2013",14.55%
"March 31, 2013",17.24%
"Dec. 31, 2012",19.04%
"Sept. 30, 2012",16.02%
"June 30, 2012",17.29%
"March 31, 2012",22.53%
"Dec. 31, 2011",19.96%
