date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",-4.313
"Sept. 30, 2019",-4.481
"June 30, 2019",-4.205
"March 31, 2019",-2.81
"Dec. 31, 2018",-1.608
"Sept. 30, 2018",-1.438
"June 30, 2018",-1.136
"March 31, 2018",-0.9652
"Dec. 31, 2017",-2.426
"Sept. 30, 2017",-3.478
"June 30, 2017",-2.295
"March 31, 2017",-2.587
"Dec. 31, 2016",-2.852
"Sept. 30, 2016",-3.73
"June 30, 2016",-2.813
"March 31, 2016",-5.218
"Dec. 31, 2015",-5.059
"Sept. 30, 2015",-5.094
"June 30, 2015",-4.784
"March 31, 2015",-5.314
"Dec. 31, 2014",-5.203
"Sept. 30, 2014",-4.079
"June 30, 2014",-3.372
"March 31, 2014",-3.166
"Dec. 31, 2013",-3.899
"Sept. 30, 2013",-5.165
"June 30, 2013",-4.248
"March 31, 2013",-4.058
"Dec. 31, 2012",-4.978
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",-7.560
