date,assets
"Dec. 31, 2019",993.04M
"Sept. 30, 2019",1.180B
"June 30, 2019",1.171B
"March 31, 2019",1.218B
"Dec. 31, 2018",1.370B
"Sept. 30, 2018",1.293B
"June 30, 2018",1.227B
"March 31, 2018",1.240B
"Dec. 31, 2017",1.103B
"Sept. 30, 2017",1.027B
"June 30, 2017",977.30M
"March 31, 2017",928.29M
"Dec. 31, 2016",955.14M
"Sept. 30, 2016",1.005B
"June 30, 2016",950.00M
"March 31, 2016",1.001B
"Dec. 31, 2015",918.31M
"Sept. 30, 2015",954.79M
"June 30, 2015",990.27M
"March 31, 2015",1.024B
"Dec. 31, 2014",1.039B
"Sept. 30, 2014",1.407B
"June 30, 2014",1.417B
"March 31, 2014",1.486B
"Dec. 31, 2013",1.450B
"Sept. 30, 2013",1.487B
"June 30, 2013",1.437B
"March 31, 2013",1.505B
"Dec. 31, 2012",1.519B
"March 31, 2012",1.548B
