date,days_payables_outstanding
"Dec. 31, 2019",73.10
"Sept. 30, 2019",58.61
"June 30, 2019",66.23
"March 31, 2019",41.58
"Dec. 31, 2018",112.08
"Sept. 30, 2018",86.13
"June 30, 2018",70.09
"March 31, 2018",48.79
"Dec. 31, 2017",70.46
"Sept. 30, 2017",64.74
"June 30, 2017",51.98
"March 31, 2017",47.46
"Dec. 31, 2016",66.90
"Sept. 30, 2016",57.67
"June 30, 2016",61.73
"March 31, 2016",52.45
"Dec. 31, 2015",51.48
"Sept. 30, 2015",50.59
"June 30, 2015",59.37
"March 31, 2015",48.16
"Dec. 31, 2014",55.44
"Sept. 30, 2014",50.77
"June 30, 2014",62.27
"March 31, 2014",44.28
"Dec. 31, 2013",52.11
"Sept. 30, 2013",42.84
"June 30, 2013",46.10
"March 31, 2013",36.88
