date,net_income_annual_cs_rev
"March 31, 2019",-6.35%
"March 31, 2018",14.05%
"March 31, 2017",11.88%
"March 31, 2016",1.57%
"March 31, 2015",-11.47%
"March 31, 2014",3.84%
"March 31, 2013",17.61%
"March 31, 2012",-4.77%
"March 31, 2011",12.02%
"March 31, 2010",10.07%
"March 31, 2009",-58.31%
"March 31, 2008",8.79%
"March 31, 2007",6.13%
"March 31, 2006",4.25%
"March 31, 2005",4.04%
