date,return_on_assets
"Dec. 31, 2019",-18.71%
"Sept. 30, 2019",-22.86%
"June 30, 2019",-28.44%
"March 31, 2019",-14.46%
"Dec. 31, 2018",10.11%
"Sept. 30, 2018",27.67%
"June 30, 2018",25.78%
"March 31, 2018",37.59%
"Dec. 31, 2017",15.31%
"Sept. 30, 2017",12.70%
"June 30, 2017",5.29%
"March 31, 2017",35.54%
"Dec. 31, 2016",40.86%
"Sept. 30, 2016",27.29%
"June 30, 2016",33.42%
"March 31, 2016",5.59%
"Dec. 31, 2015",-1.60%
"Sept. 30, 2015",-18.79%
"June 30, 2015",-21.88%
"March 31, 2015",-30.98%
"Dec. 31, 2014",-17.78%
"Sept. 30, 2014",7.73%
"June 30, 2014",8.85%
"March 31, 2014",8.30%
"Dec. 31, 2013",10.76%
"Sept. 30, 2013",1.98%
"June 30, 2013",10.79%
"March 31, 2013",34.55%
