date,quality_ratio_fractile
"Dec. 31, 2019",5.00
"Sept. 30, 2019",8.00
"June 30, 2019",8.00
"March 31, 2019",7.00
"Dec. 31, 2018",8.00
"Sept. 30, 2018",7.00
"June 30, 2018",8.00
"March 31, 2018",7.00
"Dec. 31, 2017",8.00
"Sept. 30, 2017",7.00
"June 30, 2017",8.00
"March 31, 2017",7.00
"Dec. 31, 2016",8.00
"Sept. 30, 2016",7.00
"June 30, 2016",8.00
"March 31, 2016",7.00
"Dec. 31, 2015",8.00
"Sept. 30, 2015",7.00
"June 30, 2015",7.00
"March 31, 2015",6.00
"Dec. 31, 2014",6.00
"Sept. 30, 2014",6.00
"June 30, 2014",6.00
"March 31, 2014",5.00
"Dec. 31, 2013",6.00
"Sept. 30, 2013",5.00
"June 30, 2013",6.00
"March 31, 2013",5.00
