date,book_value_of_equity_per_share
"Dec. 31, 2019",-2.068
"Sept. 30, 2019",-2.255
"June 30, 2019",-1.922
"March 31, 2019",-0.4437
"Dec. 31, 2018",0.7918
"Sept. 30, 2018",0.7087
"June 30, 2018",0.9487
"March 31, 2018",1.132
"Dec. 31, 2017",-0.4099
"Sept. 30, 2017",-1.469
"June 30, 2017",-0.3655
"March 31, 2017",-0.7616
"Dec. 31, 2016",-1.052
"Sept. 30, 2016",-1.939
"June 30, 2016",-1.003
"March 31, 2016",-3.408
"Dec. 31, 2015",-3.300
"Sept. 30, 2015",-3.298
"June 30, 2015",-2.899
"March 31, 2015",-3.438
"Dec. 31, 2014",-3.177
"Sept. 30, 2014",-1.937
"June 30, 2014",-1.126
"March 31, 2014",-0.6172
"Dec. 31, 2013",-1.200
"Sept. 30, 2013",-2.320
"June 30, 2013",-1.304
"March 31, 2013",-0.9587
"Dec. 31, 2012",-1.753
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",-3.605
