date,earning_yield
"March 19, 2020",-334.3%
"March 18, 2020",-385.3%
"March 17, 2020",-312.3%
"March 16, 2020",-325.4%
"March 13, 2020",-278.2%
"March 12, 2020",-296.3%
"March 11, 2020",-248.4%
"March 10, 2020",-232.6%
"March 9, 2020",-221.3%
"March 6, 2020",-184.0%
"March 5, 2020",-172.8%
"March 4, 2020",-173.3%
"March 3, 2020",-178.2%
"March 2, 2020",-160.5%
"Feb. 28, 2020",-186.6%
"Feb. 27, 2020",-195.7%
"Feb. 26, 2020",-192.7%
"Feb. 25, 2020",-182.2%
"Feb. 24, 2020",-176.3%
"Feb. 21, 2020",-176.0%
"Feb. 20, 2020",-161.8%
"Feb. 19, 2020",-157.3%
"Feb. 18, 2020",-154.3%
"Feb. 14, 2020",-150.0%
"Feb. 13, 2020",-148.6%
"Feb. 12, 2020",-142.0%
"Feb. 11, 2020",-143.3%
"Feb. 10, 2020",-138.3%
"Feb. 7, 2020",-106.3%
"Feb. 6, 2020",-100.3%
"Feb. 5, 2020",-100.3%
"Feb. 4, 2020",-104.2%
"Feb. 3, 2020",-102.2%
"Jan. 31, 2020",-114.6%
"Jan. 30, 2020",-103.5%
"Jan. 29, 2020",-100.9%
"Jan. 28, 2020",-102.2%
"Jan. 27, 2020",-100.3%
"Jan. 24, 2020",-99.67%
"Jan. 23, 2020",-98.45%
"Jan. 22, 2020",-100.9%
"Jan. 21, 2020",-102.9%
"Jan. 17, 2020",-99.67%
"Jan. 16, 2020",-100.9%
"Jan. 15, 2020",-100.9%
"Jan. 14, 2020",-100.3%
"Jan. 13, 2020",-99.06%
"Jan. 10, 2020",-100.9%
"Jan. 9, 2020",-99.67%
"Jan. 8, 2020",-99.67%
"Jan. 7, 2020",-95.52%
"Jan. 6, 2020",-96.67%
"Jan. 3, 2020",-87.21%
"Jan. 2, 2020",-89.15%
"Dec. 31, 2019",-95.52%
"Dec. 30, 2019",-130.2%
"Dec. 27, 2019",-130.2%
"Dec. 26, 2019",-124.6%
"Dec. 24, 2019",-121.6%
"Dec. 23, 2019",-121.6%
"Dec. 20, 2019",-123.8%
"Dec. 19, 2019",-123.1%
"Dec. 18, 2019",-120.1%
"Dec. 17, 2019",-114.6%
"Dec. 16, 2019",-112.7%
"Dec. 13, 2019",-112.1%
"Dec. 12, 2019",-107.3%
"Dec. 11, 2019",-100.3%
"Dec. 10, 2019",-97.84%
"Dec. 9, 2019",-94.17%
"Dec. 6, 2019",-95.51%
"Dec. 5, 2019",-96.90%
"Dec. 4, 2019",-95.51%
"Dec. 3, 2019",-102.9%
"Dec. 2, 2019",-88.36%
"Nov. 29, 2019",-73.74%
"Nov. 27, 2019",-73.74%
"Nov. 26, 2019",-74.01%
"Nov. 25, 2019",-74.84%
"Nov. 22, 2019",-78.05%
"Nov. 21, 2019",-81.54%
"Nov. 20, 2019",-83.58%
"Nov. 19, 2019",-86.09%
"Nov. 18, 2019",-85.35%
"Nov. 15, 2019",-83.58%
"Nov. 14, 2019",-81.54%
"Nov. 13, 2019",-83.92%
"Nov. 12, 2019",-86.46%
"Nov. 11, 2019",-83.92%
"Nov. 8, 2019",-87.97%
"Nov. 7, 2019",-88.36%
"Nov. 6, 2019",-103.4%
"Nov. 5, 2019",-98.81%
"Nov. 4, 2019",-97.37%
"Nov. 1, 2019",-86.83%
"Oct. 31, 2019",-87.21%
"Oct. 30, 2019",-82.21%
"Oct. 29, 2019",-81.54%
"Oct. 28, 2019",-82.21%
"Oct. 25, 2019",-81.87%
"Oct. 24, 2019",-82.21%
"Oct. 23, 2019",-84.63%
"Oct. 22, 2019",-83.23%
"Oct. 21, 2019",-83.58%
"Oct. 18, 2019",-84.63%
"Oct. 17, 2019",-86.09%
"Oct. 16, 2019",-87.59%
"Oct. 15, 2019",-87.21%
"Oct. 14, 2019",-83.23%
"Oct. 11, 2019",-90.35%
"Oct. 10, 2019",-92.86%
"Oct. 9, 2019",-99.79%
"Oct. 8, 2019",-95.51%
"Oct. 7, 2019",-86.83%
"Oct. 4, 2019",-86.83%
"Oct. 3, 2019",-87.59%
"Oct. 2, 2019",-90.35%
"Oct. 1, 2019",-92.86%
"Sept. 30, 2019",-84.63%
"Sept. 27, 2019",-109.5%
"Sept. 26, 2019",-140.5%
"Sept. 25, 2019",-130.7%
"Sept. 24, 2019",-154.8%
"Sept. 23, 2019",-151.9%
"Sept. 20, 2019",-162.1%
"Sept. 19, 2019",-162.1%
"Sept. 18, 2019",-156.8%
"Sept. 17, 2019",-162.1%
"Sept. 16, 2019",-148.2%
"Sept. 13, 2019",-162.1%
"Sept. 12, 2019",-164.3%
"Sept. 11, 2019",-149.1%
"Sept. 10, 2019",-189.9%
"Sept. 9, 2019",-196.0%
"Sept. 6, 2019",-191.4%
"Sept. 5, 2019",-189.9%
"Sept. 4, 2019",-223.0%
"Sept. 3, 2019",-211.4%
"Aug. 30, 2019",-221.0%
"Aug. 29, 2019",-215.1%
"Aug. 28, 2019",-207.8%
"Aug. 27, 2019",-207.8%
"Aug. 26, 2019",-197.6%
"Aug. 23, 2019",-211.4%
"Aug. 22, 2019",-206.0%
"Aug. 21, 2019",-206.0%
"Aug. 20, 2019",-184.2%
"Aug. 19, 2019",-155.8%
"Aug. 16, 2019",-142.2%
"Aug. 15, 2019",-129.3%
"Aug. 14, 2019",-78.42%
"Aug. 13, 2019",-78.17%
"Aug. 12, 2019",-76.69%
"Aug. 9, 2019",-72.57%
"Aug. 8, 2019",-75.26%
"Aug. 7, 2019",-78.17%
"Aug. 6, 2019",-76.93%
"Aug. 5, 2019",-72.35%
"Aug. 2, 2019",-68.67%
"Aug. 1, 2019",-69.66%
"July 31, 2019",-70.06%
"July 30, 2019",-69.66%
"July 29, 2019",-71.08%
"July 26, 2019",-67.53%
"July 25, 2019",-67.15%
"July 24, 2019",-67.90%
"July 23, 2019",-65.35%
"July 22, 2019",-55.50%
"July 19, 2019",-55.25%
"July 18, 2019",-55.88%
"July 17, 2019",-56.67%
"July 16, 2019",-57.88%
"July 15, 2019",-57.20%
"July 12, 2019",-55.88%
"July 11, 2019",-55.50%
"July 10, 2019",-56.27%
"July 9, 2019",-57.74%
"July 8, 2019",-58.16%
"July 5, 2019",-57.74%
"July 3, 2019",-56.53%
"July 2, 2019",-56.80%
"July 1, 2019",-55.50%
"June 30, 2019",-56.53%
"June 28, 2019",-29.61%
"June 27, 2019",-30.39%
"June 26, 2019",-30.83%
"June 25, 2019",-31.21%
"June 24, 2019",-30.68%
"June 21, 2019",-30.17%
"June 20, 2019",-30.32%
"June 19, 2019",-30.39%
"June 18, 2019",-31.36%
"June 17, 2019",-31.13%
"June 14, 2019",-29.96%
"June 13, 2019",-29.54%
"June 12, 2019",-29.96%
"June 11, 2019",-29.61%
"June 10, 2019",-29.82%
"June 7, 2019",-31.21%
"June 6, 2019",-31.99%
"June 5, 2019",-36.17%
"June 4, 2019",-38.12%
"June 3, 2019",-38.01%
"May 31, 2019",-38.82%
"May 30, 2019",-38.12%
"May 29, 2019",-38.94%
"May 28, 2019",-38.94%
"May 24, 2019",-39.42%
"May 23, 2019",-39.42%
"May 22, 2019",-38.01%
"May 21, 2019",-37.90%
"May 20, 2019",-39.67%
"May 17, 2019",-40.81%
"May 16, 2019",-39.18%
"May 15, 2019",-35.08%
"May 14, 2019",-35.97%
"May 13, 2019",-36.17%
"May 10, 2019",-34.79%
"May 9, 2019",-34.89%
"May 8, 2019",-34.98%
"May 7, 2019",-35.08%
"May 6, 2019",-34.70%
"May 3, 2019",-34.98%
"May 2, 2019",-35.17%
"May 1, 2019",-34.79%
"April 30, 2019",-34.89%
"April 29, 2019",-34.89%
"April 26, 2019",-35.87%
"April 25, 2019",-36.49%
"April 24, 2019",-36.59%
"April 23, 2019",-36.91%
