date,cash_dividend_payout_ratio
"Dec. 31, 2019",829.0%
"Sept. 30, 2019",91.82%
"June 30, 2019",-97.95%
"March 31, 2019",-99.96%
"Dec. 31, 2018",-84.45%
"Sept. 30, 2018",-98.31%
"June 30, 2018",-1.10K%
"March 31, 2018",328.7%
"Dec. 31, 2017",146.2%
"Sept. 30, 2017",125.7%
"June 30, 2017",64.65%
"March 31, 2017",61.83%
"Dec. 31, 2016",41.59%
"Sept. 30, 2016",41.58%
"June 30, 2016",56.76%
"March 31, 2016",43.92%
"Dec. 31, 2015",48.91%
"Sept. 30, 2015",52.09%
"June 30, 2015",48.65%
"March 31, 2015",100.3%
"Dec. 31, 2014",87.72%
"Sept. 30, 2014",83.68%
"June 30, 2014",96.98%
"March 31, 2014",76.40%
"Dec. 31, 2013",68.34%
"Sept. 30, 2013",96.47%
"June 30, 2013",224.2%
"March 31, 2013",389.8%
