date,f_score_ttm
"Dec. 31, 2019",4.00
"Sept. 30, 2019",6.00
"June 30, 2019",3.00
"March 31, 2019",4.00
"Dec. 31, 2018",3.00
"Sept. 30, 2018",4.00
"June 30, 2018",3.00
"March 31, 2018",4.00
"Dec. 31, 2017",5.00
"Sept. 30, 2017",2.00
"June 30, 2017",6.00
"March 31, 2017",3.00
"Dec. 31, 2016",6.00
"Sept. 30, 2016",3.00
"June 30, 2016",4.00
"March 31, 2016",5.00
"Dec. 31, 2015",6.00
"Sept. 30, 2015",5.00
"June 30, 2015",7.00
"March 31, 2015",4.00
"Dec. 31, 2014",2.00
"Sept. 30, 2014",3.00
"June 30, 2014",4.00
"March 31, 2014",6.00
"Dec. 31, 2013",6.00
"Sept. 30, 2013",4.00
"June 30, 2013",2.00
