date,cash_on_hand
"Dec. 31, 2019",13.77M
"Sept. 30, 2019",22.72M
"June 30, 2019",1.928M
"March 31, 2019",7.435M
"Dec. 31, 2018",6.534M
"Sept. 30, 2018",13.33M
"June 30, 2018",31.74M
"March 31, 2018",37.84M
"Dec. 31, 2017",78.56M
"Sept. 30, 2017",65.28M
"June 30, 2017",62.27M
"March 31, 2017",62.71M
"Dec. 31, 2016",57.51M
"Sept. 30, 2016",90.33M
"June 30, 2016",67.53M
"March 31, 2016",98.30M
"Dec. 31, 2015",73.52M
"Sept. 30, 2015",70.70M
"June 30, 2015",88.65M
"March 31, 2015",65.98M
"Dec. 31, 2014",43.37M
"Sept. 30, 2014",64.91M
"June 30, 2014",80.00M
"March 31, 2014",112.09M
"Dec. 31, 2013",30.53M
"Sept. 30, 2013",21.51M
"June 30, 2013",32.34M
"March 31, 2013",70.37M
"Dec. 31, 2012",33.46M
"March 31, 2012",53.38M
