date,market_cap
"June 10, 2019",639.24M
"June 7, 2019",610.80M
"June 6, 2019",595.83M
"June 5, 2019",526.96M
"June 4, 2019",500.01M
"June 3, 2019",501.51M
"May 31, 2019",491.03M
"May 30, 2019",500.01M
"May 29, 2019",489.54M
"May 28, 2019",489.54M
"May 24, 2019",483.55M
"May 23, 2019",483.55M
"May 22, 2019",501.51M
"May 21, 2019",503.01M
"May 20, 2019",480.55M
"May 17, 2019",467.08M
"May 16, 2019",486.54M
"May 15, 2019",543.43M
"May 14, 2019",529.57M
"May 13, 2019",526.58M
"May 10, 2019",547.52M
"May 9, 2019",546.03M
"May 8, 2019",544.53M
"May 7, 2019",543.03M
"May 6, 2019",549.02M
"May 3, 2019",544.53M
"May 2, 2019",541.54M
"May 1, 2019",547.52M
"April 30, 2019",546.03M
"April 29, 2019",546.03M
"April 26, 2019",531.07M
"April 25, 2019",522.09M
"April 24, 2019",520.59M
"April 23, 2019",516.11M
"April 22, 2019",525.08M
"April 18, 2019",519.10M
"April 17, 2019",517.60M
"April 16, 2019",514.61M
"April 15, 2019",516.11M
"April 12, 2019",522.09M
"April 11, 2019",528.07M
"April 10, 2019",517.60M
"April 9, 2019",516.11M
"April 8, 2019",513.11M
"April 5, 2019",510.12M
"April 4, 2019",510.12M
"April 3, 2019",508.63M
"April 2, 2019",513.11M
"April 1, 2019",517.60M
"March 29, 2019",508.36M
"March 28, 2019",511.35M
"March 27, 2019",514.34M
"March 26, 2019",514.34M
"March 25, 2019",512.85M
"March 22, 2019",509.86M
"March 21, 2019",515.84M
"March 20, 2019",515.84M
"March 19, 2019",521.82M
"March 18, 2019",527.80M
"March 15, 2019",529.29M
"March 14, 2019",532.28M
"March 13, 2019",562.19M
"March 12, 2019",557.70M
"March 11, 2019",542.75M
"March 8, 2019",536.77M
"March 7, 2019",539.76M
"March 6, 2019",532.28M
"March 5, 2019",541.25M
"March 4, 2019",541.25M
"March 1, 2019",539.76M
"Feb. 28, 2019",541.25M
"Feb. 27, 2019",536.77M
"Feb. 26, 2019",530.79M
"Feb. 25, 2019",542.75M
"Feb. 22, 2019",536.77M
"Feb. 21, 2019",530.79M
"Feb. 20, 2019",536.77M
"Feb. 19, 2019",514.34M
"Feb. 15, 2019",511.35M
"Feb. 14, 2019",517.33M
"Feb. 13, 2019",529.29M
"Feb. 12, 2019",515.84M
"Feb. 11, 2019",520.32M
"Feb. 8, 2019",524.81M
"Feb. 7, 2019",494.90M
"Feb. 6, 2019",559.20M
"Feb. 5, 2019",557.68M
"Feb. 4, 2019",557.68M
"Feb. 1, 2019",547.22M
"Jan. 31, 2019",550.21M
"Jan. 30, 2019",551.70M
"Jan. 29, 2019",559.18M
"Jan. 28, 2019",554.69M
"Jan. 25, 2019",554.69M
"Jan. 24, 2019",536.75M
"Jan. 23, 2019",533.76M
"Jan. 22, 2019",541.23M
"Jan. 18, 2019",559.18M
"Jan. 17, 2019",554.69M
"Jan. 16, 2019",545.72M
"Jan. 15, 2019",554.69M
"Jan. 14, 2019",557.68M
"Jan. 11, 2019",556.19M
"Jan. 10, 2019",547.22M
"Jan. 9, 2019",527.78M
"Jan. 8, 2019",527.78M
"Jan. 7, 2019",523.29M
"Jan. 4, 2019",518.81M
"Jan. 3, 2019",512.83M
"Jan. 2, 2019",514.32M
"Dec. 31, 2018",493.39M
"Dec. 28, 2018",488.07M
"Dec. 27, 2018",488.07M
"Dec. 26, 2018",473.14M
"Dec. 24, 2018",467.17M
"Dec. 21, 2018",480.60M
"Dec. 20, 2018",504.49M
"Dec. 19, 2018",505.98M
"Dec. 18, 2018",504.49M
"Dec. 17, 2018",514.93M
"Dec. 14, 2018",522.40M
"Dec. 13, 2018",549.26M
"Dec. 12, 2018",538.81M
"Dec. 11, 2018",604.49M
"Dec. 10, 2018",602.99M
"Dec. 7, 2018",623.89M
"Dec. 6, 2018",616.43M
"Dec. 4, 2018",625.38M
"Dec. 3, 2018",644.79M
"Nov. 30, 2018",638.82M
"Nov. 29, 2018",635.83M
"Nov. 28, 2018",631.35M
"Nov. 27, 2018",613.44M
"Nov. 26, 2018",614.94M
"Nov. 23, 2018",613.44M
"Nov. 21, 2018",600.01M
"Nov. 20, 2018",588.07M
"Nov. 19, 2018",592.55M
"Nov. 16, 2018",586.58M
"Nov. 15, 2018",582.10M
"Nov. 14, 2018",586.58M
"Nov. 13, 2018",591.05M
"Nov. 12, 2018",573.14M
"Nov. 9, 2018",564.19M
"Nov. 8, 2018",562.70M
"Nov. 7, 2018",508.96M
"Nov. 6, 2018",506.11M
"Nov. 5, 2018",512.09M
"Nov. 2, 2018",500.14M
"Nov. 1, 2018",497.16M
"Oct. 31, 2018",482.23M
"Oct. 30, 2018",471.78M
"Oct. 29, 2018",474.76M
"Oct. 26, 2018",464.31M
"Oct. 25, 2018",467.30M
"Oct. 24, 2018",461.32M
"Oct. 23, 2018",462.82M
"Oct. 22, 2018",458.34M
"Oct. 19, 2018",458.34M
"Oct. 18, 2018",453.86M
"Oct. 17, 2018",459.83M
"Oct. 16, 2018",464.31M
"Oct. 15, 2018",459.83M
"Oct. 12, 2018",465.80M
"Oct. 11, 2018",459.83M
"Oct. 10, 2018",462.82M
"Oct. 9, 2018",485.21M
"Oct. 8, 2018",468.79M
"Oct. 5, 2018",465.80M
"Oct. 4, 2018",474.76M
"Oct. 3, 2018",485.21M
"Oct. 2, 2018",506.11M
"Oct. 1, 2018",473.27M
"Sept. 28, 2018",462.68M
"Sept. 27, 2018",461.19M
"Sept. 26, 2018",459.69M
"Sept. 25, 2018",458.20M
"Sept. 24, 2018",455.22M
"Sept. 21, 2018",455.22M
"Sept. 20, 2018",456.71M
"Sept. 19, 2018",456.71M
"Sept. 18, 2018",456.71M
"Sept. 17, 2018",449.25M
"Sept. 14, 2018",437.31M
"Sept. 13, 2018",447.75M
"Sept. 12, 2018",461.19M
"Sept. 11, 2018",455.22M
"Sept. 10, 2018",456.71M
"Sept. 7, 2018",449.25M
"Sept. 6, 2018",450.74M
"Sept. 5, 2018",447.75M
"Sept. 4, 2018",441.78M
"Aug. 31, 2018",446.26M
"Aug. 30, 2018",452.23M
"Aug. 29, 2018",453.72M
"Aug. 28, 2018",453.72M
"Aug. 27, 2018",453.72M
"Aug. 24, 2018",452.23M
"Aug. 23, 2018",417.90M
"Aug. 22, 2018",437.31M
"Aug. 21, 2018",446.26M
"Aug. 20, 2018",453.72M
"Aug. 17, 2018",459.69M
"Aug. 16, 2018",458.20M
"Aug. 15, 2018",467.16M
"Aug. 14, 2018",474.62M
"Aug. 13, 2018",491.04M
"Aug. 10, 2018",492.53M
"Aug. 9, 2018",532.83M
"Aug. 8, 2018",579.09M
"Aug. 7, 2018",582.69M
"Aug. 6, 2018",570.76M
"Aug. 3, 2018",573.74M
"Aug. 2, 2018",560.33M
"Aug. 1, 2018",563.31M
"July 31, 2018",566.29M
"July 30, 2018",566.29M
"July 27, 2018",567.78M
"July 26, 2018",578.22M
"July 25, 2018",563.31M
"July 24, 2018",558.84M
"July 23, 2018",552.88M
"July 20, 2018",548.41M
"July 19, 2018",548.41M
"July 18, 2018",546.92M
"July 17, 2018",543.94M
"July 16, 2018",546.92M
"July 13, 2018",543.94M
"July 12, 2018",548.41M
"July 11, 2018",545.43M
"July 10, 2018",546.92M
"July 9, 2018",542.45M
"July 6, 2018",543.94M
"July 5, 2018",536.49M
"July 3, 2018",542.45M
"July 2, 2018",540.96M
"June 29, 2018",537.19M
"June 28, 2018",520.86M
"June 27, 2018",541.64M
"June 26, 2018",541.64M
"June 25, 2018",547.57M
"June 22, 2018",549.06M
"June 21, 2018",540.15M
"June 20, 2018",538.67M
"June 19, 2018",546.09M
"June 18, 2018",531.25M
"June 15, 2018",538.67M
