date,cash_financing_ttm
"Dec. 31, 2019",6.797M
"Sept. 30, 2019",-35.21M
"June 30, 2019",49.07M
"March 31, 2019",40.65M
"Dec. 31, 2018",17.13M
"Sept. 30, 2018",23.55M
"June 30, 2018",-18.37M
"March 31, 2018",-39.77M
"Dec. 31, 2017",-29.00M
"Sept. 30, 2017",-74.07M
"June 30, 2017",-91.82M
"March 31, 2017",-122.46M
"Dec. 31, 2016",-144.58M
"Sept. 30, 2016",-116.43M
"June 30, 2016",-118.38M
"March 31, 2016",-97.88M
"Dec. 31, 2015",-76.67M
"Sept. 30, 2015",-220.55M
"June 30, 2015",-197.89M
"March 31, 2015",-155.50M
"Dec. 31, 2014",-187.97M
"Sept. 30, 2014",-27.56M
"June 30, 2014",-36.61M
"March 31, 2014",-63.07M
"Dec. 31, 2013",-37.21M
"Sept. 30, 2013",-24.42M
"June 30, 2013",38.34M
"March 31, 2013",57.79M
