date,ohlson_score
"Dec. 31, 2019",7.049
"Sept. 30, 2019",3.958
"June 30, 2019",6.226
"March 31, 2019",4.429
"Dec. 31, 2018",3.186
"Sept. 30, 2018",3.596
"June 30, 2018",-1.068
"March 31, 2018",2.576
"Dec. 31, 2017",3.986
"Sept. 30, 2017",4.681
"June 30, 2017",3.796
"March 31, 2017",1.860
"Dec. 31, 2016",3.654
"Sept. 30, 2016",4.320
"June 30, 2016",4.701
"March 31, 2016",7.286
"Dec. 31, 2015",-1.236
"Sept. 30, 2015",6.680
"June 30, 2015",6.669
"March 31, 2015",9.402
"Dec. 31, 2014",7.560
"Sept. 30, 2014",4.850
"June 30, 2014",2.522
"March 31, 2014",4.583
"Dec. 31, 2013",4.086
"Sept. 30, 2013",5.910
"June 30, 2013",2.943
