date,sales_est_0q
"Feb. 11, 2020",627.31M
"Dec. 31, 2019",644.60M
"Nov. 8, 2019",564.90M
"Sept. 30, 2019",648.16M
"Sept. 5, 2019",669.51M
"Aug. 19, 2019",666.82M
"Aug. 16, 2019",568.36M
"June 30, 2019",694.59M
"May 21, 2019",702.73M
"May 17, 2019",703.47M
"March 31, 2019",820.22M
"March 8, 2019",835.93M
"Feb. 12, 2019",827.49M
"Feb. 8, 2019",808.60M
"Feb. 6, 2019",820.01M
"Dec. 31, 2018",729.06M
"Nov. 12, 2018",754.10M
"Nov. 9, 2018",738.15M
"Nov. 8, 2018",739.65M
"Sept. 30, 2018",707.72M
"Sept. 17, 2018",699.00M
"Sept. 14, 2018",708.00M
"Aug. 20, 2018",707.72M
"Aug. 10, 2018",712.16M
"June 30, 2018",704.22M
"May 18, 2018",732.98M
"May 17, 2018",779.53M
"April 9, 2018",697.23M
"Feb. 12, 2018",881.78M
"Feb. 9, 2018",937.28M
"Feb. 8, 2018",955.00M
"Jan. 25, 2018",807.60M
