date,cash_investing_ttm
"Dec. 31, 2019",-19.36M
"Sept. 30, 2019",-33.84M
"June 30, 2019",-45.23M
"March 31, 2019",-36.44M
"Dec. 31, 2018",-42.78M
"Sept. 30, 2018",-18.32M
"June 30, 2018",-16.36M
"March 31, 2018",-16.46M
"Dec. 31, 2017",-28.78M
"Sept. 30, 2017",-49.63M
"June 30, 2017",-48.66M
"March 31, 2017",-44.30M
"Dec. 31, 2016",-12.68M
"Sept. 30, 2016",-5.187M
"June 30, 2016",-5.595M
"March 31, 2016",-4.892M
"Dec. 31, 2015",-22.66M
"Sept. 30, 2015",136.79M
"June 30, 2015",123.37M
"March 31, 2015",117.70M
"Dec. 31, 2014",90.63M
"Sept. 30, 2014",-91.59M
"June 30, 2014",-93.11M
"March 31, 2014",-107.60M
"Dec. 31, 2013",-97.78M
"Sept. 30, 2013",-120.91M
"June 30, 2013",-150.99M
"March 31, 2013",-162.65M
