date,cash_operations_ttm
"Dec. 31, 2019",19.45M
"Sept. 30, 2019",78.25M
"June 30, 2019",-34.65M
"March 31, 2019",-33.87M
"Dec. 31, 2018",-44.68M
"Sept. 30, 2018",-36.14M
"June 30, 2018",23.40M
"March 31, 2018",48.44M
"Dec. 31, 2017",73.83M
"Sept. 30, 2017",76.92M
"June 30, 2017",115.14M
"March 31, 2017",114.60M
"Dec. 31, 2016",155.92M
"Sept. 30, 2016",151.01M
"June 30, 2016",113.48M
"March 31, 2016",142.83M
"Dec. 31, 2015",133.69M
"Sept. 30, 2015",125.26M
"June 30, 2015",138.33M
"March 31, 2015",84.78M
"Dec. 31, 2014",108.20M
"Sept. 30, 2014",132.78M
"June 30, 2014",126.87M
"March 31, 2014",157.16M
"Dec. 31, 2013",135.90M
"Sept. 30, 2013",128.91M
"June 30, 2013",92.11M
"March 31, 2013",93.01M
