date,profit_margin
"Dec. 31, 2019",5.41%
"Sept. 30, 2019",9.60%
"June 30, 2019",-41.06%
"March 31, 2019",-8.40%
"Dec. 31, 2018",-6.48%
"Sept. 30, 2018",-2.66%
"June 30, 2018",-5.89%
"March 31, 2018",26.27%
"Dec. 31, 2017",22.85%
"Sept. 30, 2017",-8.08%
"June 30, 2017",12.25%
"March 31, 2017",-4.66%
"Dec. 31, 2016",19.66%
"Sept. 30, 2016",-16.85%
"June 30, 2016",53.12%
"March 31, 2016",2.21%
"Dec. 31, 2015",0.56%
"Sept. 30, 2015",-8.44%
"June 30, 2015",13.60%
"March 31, 2015",-5.43%
"Dec. 31, 2014",-22.04%
"Sept. 30, 2014",-14.68%
"June 30, 2014",-4.58%
"March 31, 2014",9.74%
"Dec. 31, 2013",21.28%
"Sept. 30, 2013",-13.35%
"June 30, 2013",-5.74%
"March 31, 2013",15.26%
"Dec. 31, 2012",5.47%
"Sept. 30, 2012",3.31%
"June 30, 2012",49.97%
"March 31, 2012",-11.15%
"Dec. 31, 2011",-13.17%
