date,payout_ratio
"Dec. 31, 2019",-16.37%
"Sept. 30, 2019",-18.29%
"June 30, 2019",-18.55%
"March 31, 2019",-36.51%
"Dec. 31, 2018",52.64%
"Sept. 30, 2018",20.55%
"June 30, 2018",23.81%
"March 31, 2018",16.99%
"Dec. 31, 2017",43.89%
"Sept. 30, 2017",51.59%
"June 30, 2017",117.9%
"March 31, 2017",16.98%
"Dec. 31, 2016",14.53%
"Sept. 30, 2016",21.74%
"June 30, 2016",17.54%
"March 31, 2016",104.4%
"Dec. 31, 2015",-370.6%
"Sept. 30, 2015",-28.69%
"June 30, 2015",-23.81%
"March 31, 2015",-18.53%
"Dec. 31, 2014",-34.98%
"Sept. 30, 2014",87.87%
"June 30, 2014",85.68%
"March 31, 2014",89.41%
"Dec. 31, 2013",73.51%
"Sept. 30, 2013",423.3%
"June 30, 2013",86.51%
"March 31, 2013",29.72%
"Dec. 31, 2012",38.67%
"Sept. 30, 2012",48.43%
