date,free_cash_flow
"Dec. 31, 2019",-50.09M
"Sept. 30, 2019",64.56M
"June 30, 2019",-17.95M
"March 31, 2019",7.857M
"Dec. 31, 2018",2.292M
"Sept. 30, 2018",-59.84M
"June 30, 2018",-17.36M
"March 31, 2018",-3.695M
"Dec. 31, 2017",12.77M
"Sept. 30, 2017",2.043M
"June 30, 2017",9.376M
"March 31, 2017",21.69M
"Dec. 31, 2016",17.87M
"Sept. 30, 2016",43.93M
"June 30, 2016",11.01M
"March 31, 2016",65.10M
"Dec. 31, 2015",17.81M
"Sept. 30, 2015",5.515M
"June 30, 2015",41.47M
"March 31, 2015",54.64M
"Dec. 31, 2014",10.46M
"Sept. 30, 2014",19.36M
"June 30, 2014",-11.48M
"March 31, 2014",78.07M
"Dec. 31, 2013",31.71M
"Sept. 30, 2013",15.43M
"June 30, 2013",17.92M
"March 31, 2013",106.11M
"Dec. 31, 2012",-9.981M
"Sept. 30, 2012",-52.17M
"June 30, 2012",-3.821M
