date,receivables_turnover
"Dec. 31, 2019",1.485
"Sept. 30, 2019",1.635
"June 30, 2019",1.132
"March 31, 2019",2.113
"Dec. 31, 2018",0.9603
"Sept. 30, 2018",1.140
"June 30, 2018",1.049
"March 31, 2018",1.513
"Dec. 31, 2017",1.401
"Sept. 30, 2017",1.452
"June 30, 2017",1.400
"March 31, 2017",1.560
"Dec. 31, 2016",1.446
"Sept. 30, 2016",1.629
"June 30, 2016",1.496
"March 31, 2016",1.642
"Dec. 31, 2015",1.530
"Sept. 30, 2015",1.598
"June 30, 2015",1.364
"March 31, 2015",1.686
"Dec. 31, 2014",1.470
"Sept. 30, 2014",1.557
"June 30, 2014",1.343
"March 31, 2014",1.819
"Dec. 31, 2013",1.527
"Sept. 30, 2013",1.700
"June 30, 2013",1.551
"March 31, 2013",1.892
"Dec. 31, 2012",1.627
