date,sales_est_0y
"Feb. 11, 2020",2.165B
"Jan. 6, 2020",2.375B
"Nov. 8, 2019",2.220B
"Nov. 7, 2019",2.198B
"Nov. 4, 2019",2.380B
"Nov. 1, 2019",2.377B
"Aug. 19, 2019",2.374B
"Aug. 16, 2019",2.205B
"Aug. 12, 2019",2.987B
"July 31, 2019",3.037B
"May 21, 2019",3.053B
"May 17, 2019",3.047B
"May 13, 2019",3.085B
"April 30, 2019",3.089B
"April 2, 2019",3.122B
"March 31, 2019",2.909B
"March 8, 2019",2.897B
"Feb. 12, 2019",2.922B
"Feb. 8, 2019",2.908B
"Feb. 6, 2019",2.981B
"Nov. 12, 2018",2.966B
"Nov. 9, 2018",2.956B
"Nov. 8, 2018",2.935B
"Nov. 6, 2018",2.925B
"Oct. 2, 2018",2.993B
"Sept. 17, 2018",2.939B
"Sept. 14, 2018",2.953B
"Aug. 24, 2018",2.930B
"Aug. 21, 2018",2.975B
"Aug. 20, 2018",2.965B
"Aug. 10, 2018",2.966B
"Aug. 8, 2018",2.966B
"May 18, 2018",3.019B
"May 17, 2018",2.957B
"April 27, 2018",3.053B
"April 4, 2018",3.083B
"March 31, 2018",2.853B
"Feb. 13, 2018",2.928B
"Feb. 12, 2018",2.929B
"Feb. 9, 2018",2.932B
"Feb. 8, 2018",2.922B
"Jan. 25, 2018",3.013B
"Nov. 20, 2017",2.987B
"Nov. 15, 2017",2.960B
"Nov. 10, 2017",3.041B
"Nov. 9, 2017",3.039B
"Oct. 16, 2017",3.105B
"Aug. 14, 2017",3.061B
"Aug. 11, 2017",2.983B
"Aug. 10, 2017",2.919B
"May 24, 2017",2.968B
"May 19, 2017",2.949B
"May 18, 2017",2.968B
