date,days_inventory_outstanding
"Dec. 31, 2019",5.075
"Sept. 30, 2019",3.628
"June 30, 2019",2.174
"March 31, 2019",1.606
"Dec. 31, 2018",6.550
"Sept. 30, 2018",4.665
"June 30, 2018",2.078
"March 31, 2018",1.730
"Dec. 31, 2017",3.946
"Sept. 30, 2017",3.592
"June 30, 2017",2.371
"March 31, 2017",2.137
"Dec. 31, 2016",3.426
"Sept. 30, 2016",2.725
"June 30, 2016",1.246
"March 31, 2016",0.9221
"Dec. 31, 2015",1.916
"Sept. 30, 2015",1.637
"June 30, 2015",0.9815
"March 31, 2015",1.555
"Dec. 31, 2014",3.493
"Sept. 30, 2014",2.481
"June 30, 2014",1.425
"March 31, 2014",2.329
"Dec. 31, 2013",5.376
"Sept. 30, 2013",4.605
"June 30, 2013",3.362
"March 31, 2013",3.608
