date,asset_utilization
"Dec. 31, 2019",2.329
"Sept. 30, 2019",2.262
"June 30, 2019",2.272
"March 31, 2019",2.281
"Dec. 31, 2018",2.018
"Sept. 30, 2018",2.273
"June 30, 2018",2.460
"March 31, 2018",2.680
"Dec. 31, 2017",2.747
"Sept. 30, 2017",2.773
"June 30, 2017",2.902
"March 31, 2017",2.957
"Dec. 31, 2016",3.034
"Sept. 30, 2016",3.104
"June 30, 2016",3.186
"March 31, 2016",3.201
"Dec. 31, 2015",3.373
"Sept. 30, 2015",3.139
"June 30, 2015",2.903
"March 31, 2015",2.672
"Dec. 31, 2014",2.542
"Sept. 30, 2014",2.362
"June 30, 2014",2.325
"March 31, 2014",2.269
"Dec. 31, 2013",2.171
"Sept. 30, 2013",2.122
"June 30, 2013",2.064
"March 31, 2013",1.974
