date,beneish_m_score
"Dec. 31, 2019",-2.971
"Dec. 31, 2018",-3.242
"Dec. 31, 2017",-2.709
"Dec. 31, 2016",-2.504
"Dec. 31, 2015",-2.693
"Dec. 31, 2014",-2.624
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",-2.876
"Dec. 31, 2008",-2.668
"Dec. 31, 2007",-2.501
"Dec. 31, 2006",-3.428
"Dec. 31, 2005",-2.712
"Dec. 31, 2004",-2.228
"Dec. 31, 2003",-2.226
"Dec. 31, 2002",-2.390
"Dec. 31, 2001",-2.506
"Dec. 31, 2000",-2.491
"Dec. 31, 1999",-2.624
"Dec. 31, 1998",-2.416
"Dec. 31, 1997",-2.472
"Dec. 31, 1996",-2.564
"Dec. 31, 1995",-2.57
"Dec. 31, 1994",-3.064
"Dec. 31, 1993",-3.021
"Dec. 31, 1992",-3.787
"Dec. 31, 1991",-3.697
"Dec. 31, 1990",-2.873
