date,total_employee_number
"Dec. 31, 2019",205000
"Dec. 31, 2018",283000
"Dec. 31, 2017",313000
"Dec. 31, 2016",295000
"Dec. 31, 2015",333000
"Dec. 31, 2014",305000
"Dec. 31, 2013",307000
"Dec. 31, 2012",305000
"Dec. 31, 2011",301000
"Dec. 31, 2010",287000
"Dec. 31, 2009",304000
"Dec. 31, 2008",323000
"Dec. 31, 2007",327000
"Dec. 31, 2006",319000
"Dec. 31, 2005",316000
"Dec. 31, 2004",307000
"Dec. 31, 2003",305000
"Dec. 31, 2002",315000
"Dec. 31, 2001",310000
"Dec. 31, 2000",313000
"Dec. 31, 1999",340000
"Dec. 31, 1998",293000
"Dec. 31, 1997",276000
"Dec. 31, 1996",239000
"Dec. 31, 1995",222000
"Dec. 31, 1994",221000
"Dec. 31, 1993",231000
"Dec. 31, 1992",268000
"Dec. 31, 1991",284000
"Dec. 31, 1990",298000
"Dec. 31, 1989",292000
