date,ebitda_margin_ttm
"Dec. 31, 2019",8.27%
"Sept. 30, 2019",6.94%
"June 30, 2019",-13.17%
"March 31, 2019",-11.21%
"Dec. 31, 2018",-11.80%
"Sept. 30, 2018",-29.10%
"June 30, 2018",-2.55%
"March 31, 2018",-3.02%
"Dec. 31, 2017",-3.67%
"Sept. 30, 2017",10.37%
"June 30, 2017",12.79%
"March 31, 2017",14.74%
"Dec. 31, 2016",14.93%
"Sept. 30, 2016",15.37%
"June 30, 2016",15.37%
"March 31, 2016",13.97%
"Dec. 31, 2015",14.31%
"Sept. 30, 2015",13.22%
"June 30, 2015",12.24%
"March 31, 2015",11.92%
"Dec. 31, 2014",14.80%
"Sept. 30, 2014",8.67%
"June 30, 2014",10.90%
"March 31, 2014",14.25%
"Dec. 31, 2013",15.53%
"Sept. 30, 2013",17.86%
"June 30, 2013",18.29%
"March 31, 2013",18.84%
"Dec. 31, 2012",19.00%
"Sept. 30, 2012",17.51%
"June 30, 2012",17.93%
"March 31, 2012",18.73%
"Dec. 31, 2011",21.07%
"Sept. 30, 2011",19.61%
"June 30, 2011",19.72%
"March 31, 2011",19.48%
"Dec. 31, 2010",16.91%
"Sept. 30, 2010",26.14%
"June 30, 2010",25.02%
"March 31, 2010",24.52%
"Dec. 31, 2009",25.07%
"Sept. 30, 2009",25.81%
"June 30, 2009",27.92%
"March 31, 2009",29.88%
"Dec. 31, 2008",31.40%
"Sept. 30, 2008",34.28%
"June 30, 2008",34.86%
"March 31, 2008",35.28%
"Dec. 31, 2007",35.68%
"Sept. 30, 2007",35.21%
"June 30, 2007",35.21%
"March 31, 2007",34.42%
"Dec. 31, 2006",33.05%
"Sept. 30, 2006",33.18%
"June 30, 2006",32.74%
"March 31, 2006",32.22%
"Dec. 31, 2005",32.09%
"Sept. 30, 2005",33.55%
"June 30, 2005",32.00%
"March 31, 2005",30.57%
"Dec. 31, 2004",29.98%
"Sept. 30, 2004",29.10%
"June 30, 2004",29.79%
"March 31, 2004",30.77%
"Dec. 31, 2003",30.95%
"Sept. 30, 2003",26.36%
"June 30, 2003",26.61%
"March 31, 2003",26.85%
"Dec. 31, 2002",26.97%
"Sept. 30, 2002",29.26%
"June 30, 2002",29.27%
"March 31, 2002",29.64%
"Dec. 31, 2001",29.97%
"Sept. 30, 2001",28.72%
"June 30, 2001",28.48%
"March 31, 2001",28.31%
"Dec. 31, 2000",28.15%
"Sept. 30, 2000",28.90%
"June 30, 2000",29.00%
"March 31, 2000",28.95%
"Dec. 31, 1999",28.94%
"Sept. 30, 1999",30.15%
"June 30, 1999",30.00%
"March 31, 1999",29.41%
"Dec. 31, 1998",29.30%
"Sept. 30, 1998",25.22%
"June 30, 1998",24.84%
"March 31, 1998",24.93%
"Dec. 31, 1997",24.38%
"Sept. 30, 1997",27.12%
"June 30, 1997",27.26%
"March 31, 1997",27.55%
"Dec. 31, 1996",28.17%
"Sept. 30, 1996",28.54%
"June 30, 1996",28.93%
"March 31, 1996",28.88%
"Dec. 31, 1995",28.97%
"Sept. 30, 1995",25.59%
"June 30, 1995",26.35%
"March 31, 1995",26.99%
"Dec. 31, 1994",27.30%
"Sept. 30, 1994",30.30%
"June 30, 1994",29.98%
"March 31, 1994",27.63%
"Dec. 31, 1993",27.15%
"Sept. 30, 1993",27.90%
"June 30, 1993",26.26%
"March 31, 1993",27.29%
"Dec. 31, 1992",27.02%
"Sept. 30, 1992",25.95%
"June 30, 1992",26.28%
"March 31, 1992",26.42%
"Dec. 31, 1991",26.76%
"Sept. 30, 1991",26.78%
"June 30, 1991",27.03%
"March 31, 1991",27.09%
"Dec. 31, 1990",26.67%
"Sept. 30, 1990",26.51%
"June 30, 1990",26.31%
"March 31, 1990",25.20%
"Dec. 31, 1989",41.02%
"Sept. 30, 1989",-19.46%
"June 30, 1989",-8.44%
"March 31, 1989",5.22%
"Dec. 31, 1988",-4.37%
"Sept. 30, 1988",7.59%
"June 30, 1988",7.82%
"March 31, 1988",8.57%
"Dec. 31, 1987",9.36%
"Sept. 30, 1987",18.70%
"June 30, 1987",18.44%
"March 31, 1987",14.61%
"Dec. 31, 1986",8.70%
"Sept. 30, 1986",19.96%
"June 30, 1986",12.33%
"March 31, 1986",9.35%
"Dec. 31, 1985",10.36%
"Sept. 30, 1985",8.83%
"June 30, 1985",9.50%
"March 31, 1985",8.92%
"Dec. 31, 1984",10.18%
