date,shareholders_equity
"Dec. 31, 2019",28.32B
"Sept. 30, 2019",27.94B
"June 30, 2019",35.82B
"March 31, 2019",35.16B
"Dec. 31, 2018",30.98B
"Sept. 30, 2018",31.45B
"June 30, 2018",55.07B
"March 31, 2018",55.96B
"Dec. 31, 2017",56.03B
"Sept. 30, 2017",76.10B
"June 30, 2017",74.15B
"March 31, 2017",74.53B
"Dec. 31, 2016",75.83B
"Sept. 30, 2016",81.88B
"June 30, 2016",84.99B
"March 31, 2016",91.09B
"Dec. 31, 2015",98.27B
"Sept. 30, 2015",111.20B
"June 30, 2015",109.50B
"March 31, 2015",108.56B
"Dec. 31, 2014",128.16B
"Sept. 30, 2014",135.00B
"June 30, 2014",134.01B
"March 31, 2014",131.84B
"Dec. 31, 2013",130.57B
"Sept. 30, 2013",122.69B
"June 30, 2013",122.51B
"March 31, 2013",123.71B
"Dec. 31, 2012",123.03B
"Sept. 30, 2012",122.55B
"June 30, 2012",120.12B
"March 31, 2012",119.87B
"Dec. 31, 2011",116.44B
"Sept. 30, 2011",124.46B
"June 30, 2011",128.07B
"March 31, 2011",123.54B
"Dec. 31, 2010",118.94B
"Sept. 30, 2010",115.54B
"June 30, 2010",113.93B
"March 31, 2010",115.20B
"Dec. 31, 2009",117.29B
"Sept. 30, 2009",117.53B
"June 30, 2009",112.12B
"March 31, 2009",101.02B
"Dec. 31, 2008",104.66B
"Sept. 30, 2008",112.33B
"June 30, 2008",118.39B
"March 31, 2008",116.00B
"Dec. 31, 2007",115.56B
"Sept. 30, 2007",112.83B
"June 30, 2007",117.02B
"March 31, 2007",114.17B
"Dec. 31, 2006",111.51B
"Sept. 30, 2006",111.40B
"June 30, 2006",108.77B
"March 31, 2006",107.49B
"Dec. 31, 2005",109.35B
"Sept. 30, 2005",112.98B
"June 30, 2005",112.38B
"March 31, 2005",112.87B
"Dec. 31, 2004",110.82B
"Sept. 30, 2004",101.78B
"June 30, 2004",98.28B
"March 31, 2004",86.49B
"Dec. 31, 2003",79.18B
"Sept. 30, 2003",72.48B
"June 30, 2003",71.97B
"March 31, 2003",66.36B
"Dec. 31, 2002",63.71B
"Sept. 30, 2002",62.26B
"June 30, 2002",58.73B
"March 31, 2002",55.17B
"Dec. 31, 2001",54.82B
"Sept. 30, 2001",53.60B
"June 30, 2001",52.25B
"March 31, 2001",50.93B
"Dec. 31, 2000",50.49B
"Sept. 30, 2000",47.74B
"June 30, 2000",45.92B
"March 31, 2000",44.50B
"Dec. 31, 1999",42.56B
"Sept. 30, 1999",39.97B
"June 30, 1999",39.61B
"March 31, 1999",38.79B
"Dec. 31, 1998",38.88B
"Sept. 30, 1998",37.16B
"June 30, 1998",35.58B
"March 31, 1998",34.72B
"Dec. 31, 1997",34.44B
"Sept. 30, 1997",33.70B
"June 30, 1997",31.62B
"March 31, 1997",30.46B
"Dec. 31, 1996",31.12B
"Sept. 30, 1996",30.00B
"June 30, 1996",29.30B
"March 31, 1996",29.27B
"Dec. 31, 1995",29.61B
"Sept. 30, 1995",28.27B
"June 30, 1995",28.24B
"March 31, 1995",27.28B
"Dec. 31, 1994",26.39B
"Sept. 30, 1994",26.88B
"June 30, 1994",26.38B
"March 31, 1994",25.40B
"Dec. 31, 1993",25.82B
"Sept. 30, 1993",24.32B
"June 30, 1993",23.76B
"March 31, 1993",23.78B
"Dec. 31, 1992",23.46B
"Sept. 30, 1992",22.77B
"June 30, 1992",22.19B
"March 31, 1992",21.60B
"Dec. 31, 1991",21.68B
"Sept. 30, 1991",20.94B
"June 30, 1991",22.28B
"March 31, 1991",21.86B
"Dec. 31, 1990",21.68B
"Sept. 30, 1990",21.04B
"June 30, 1990",21.02B
"March 31, 1990",20.70B
"Dec. 31, 1989",20.89B
"Sept. 30, 1989",20.21B
"June 30, 1989",19.59B
"Dec. 31, 1988",18.47B
"Dec. 31, 1987",16.48B
"Dec. 31, 1986",15.11B
"Dec. 31, 1985",13.90B
"Dec. 31, 1984",12.57B
