date,kz_index
"Dec. 31, 2016",-5.931
"Dec. 31, 2015",
"Dec. 31, 2014",-4.644
"Dec. 31, 2013",
"Dec. 31, 2012",-4.285
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",-5.182
"Dec. 31, 2007",-4.613
"Dec. 31, 2006",-4.300
"Dec. 31, 2005",-4.007
"Dec. 31, 2004",-4.956
"Dec. 31, 2003",
"Dec. 31, 2002",-7.586
"Dec. 31, 2001",
"Dec. 31, 2000",-3.817
"Dec. 31, 1999",-3.079
"Dec. 31, 1998",-0.5777
"Dec. 31, 1997",-1.002
"Dec. 31, 1996",-1.446
"Dec. 31, 1995",-1.709
"Dec. 31, 1994",
"Dec. 31, 1993",-1.412
"Dec. 31, 1992",
"Dec. 31, 1991",-1.600
"Dec. 31, 1990",-1.901
"Dec. 31, 1989",-1.985
"Dec. 31, 1988",
"Dec. 31, 1987",0.8784
"Dec. 31, 1986",1.013
"Dec. 31, 1985",0.3107
