date,net_income_annual_cs_rev
"Dec. 31, 2019",-5.23%
"Dec. 31, 2018",-23.04%
"Dec. 31, 2017",-8.55%
"Dec. 31, 2016",6.28%
"Dec. 31, 2015",-5.32%
"Dec. 31, 2014",13.09%
"Dec. 31, 2013",11.86%
"Dec. 31, 2012",9.46%
"Dec. 31, 2011",10.00%
"Dec. 31, 2010",7.85%
"Dec. 31, 2009",7.10%
"Dec. 31, 2008",9.59%
"Dec. 31, 2007",12.88%
"Dec. 31, 2006",13.68%
"Dec. 31, 2005",12.24%
"Dec. 31, 2004",12.78%
"Dec. 31, 2003",13.50%
"Dec. 31, 2002",10.68%
"Dec. 31, 2001",10.82%
"Dec. 31, 2000",9.81%
"Dec. 31, 1999",9.60%
"Dec. 31, 1998",9.25%
"Dec. 31, 1997",9.26%
"Dec. 31, 1996",9.27%
"Dec. 31, 1995",9.49%
"Dec. 31, 1994",7.97%
"Dec. 31, 1993",7.21%
"Dec. 31, 1992",8.40%
"Dec. 31, 1991",4.44%
"Dec. 31, 1990",7.46%
"Dec. 31, 1989",7.31%
"Dec. 31, 1988",8.73%
"Dec. 31, 1987",5.39%
"Dec. 31, 1986",7.08%
"Dec. 31, 1985",8.26%
"Dec. 31, 1984",8.16%
