date,ni_per_employee_annual
"Dec. 31, 2019",-20405.74
"Dec. 31, 2018",-75016.78
"Dec. 31, 2017",-27907.89
"Dec. 31, 2016",23885.35
"Dec. 31, 2015",-19203.76
"Dec. 31, 2014",49781.05
"Dec. 31, 2013",42669.93
"Dec. 31, 2012",45019.80
"Dec. 31, 2011",48132.65
"Dec. 31, 2010",39404.40
"Dec. 31, 2009",35167.46
"Dec. 31, 2008",53569.23
"Dec. 31, 2007",68755.42
"Dec. 31, 2006",65329.13
"Dec. 31, 2005",53675.76
"Dec. 31, 2004",56078.43
"Dec. 31, 2003",49148.39
"Dec. 31, 2002",45177.60
"Dec. 31, 2001",43929.37
"Dec. 31, 2000",39004.59
"Dec. 31, 1999",33860.98
"Dec. 31, 1998",32674.87
"Dec. 31, 1997",31856.31
"Dec. 31, 1996",31583.51
"Dec. 31, 1995",29674.94
"Dec. 31, 1994",20911.50
"Dec. 31, 1993",17294.59
"Dec. 31, 1992",17119.57
"Dec. 31, 1991",9058.42
"Dec. 31, 1990",14586.44
