date,operating_earning_yield
"March 19, 2020",10.37%
"March 18, 2020",10.18%
"March 17, 2020",9.49%
"March 16, 2020",10.09%
"March 13, 2020",8.56%
"March 12, 2020",9.29%
"March 11, 2020",8.18%
"March 10, 2020",7.59%
"March 9, 2020",8.18%
"March 6, 2020",7.15%
"March 5, 2020",6.67%
"March 4, 2020",6.14%
"March 3, 2020",6.18%
"March 2, 2020",5.99%
"Feb. 28, 2020",6.18%
"Feb. 27, 2020",6.47%
"Feb. 26, 2020",6.14%
"Feb. 25, 2020",5.94%
"Feb. 24, 2020",5.66%
"Feb. 21, 2020",5.48%
"Feb. 20, 2020",5.36%
"Feb. 19, 2020",5.33%
"Feb. 18, 2020",5.27%
"Feb. 14, 2020",5.24%
"Feb. 13, 2020",5.19%
"Feb. 12, 2020",5.11%
"Feb. 11, 2020",5.23%
"Feb. 10, 2020",5.20%
"Feb. 7, 2020",5.24%
"Feb. 6, 2020",5.19%
"Feb. 5, 2020",5.22%
"Feb. 4, 2020",5.34%
"Feb. 3, 2020",5.48%
"Jan. 31, 2020",5.40%
"Jan. 30, 2020",5.28%
"Jan. 29, 2020",5.19%
"Jan. 28, 2020",5.73%
"Jan. 27, 2020",5.87%
"Jan. 24, 2020",5.74%
"Jan. 23, 2020",5.71%
"Jan. 22, 2020",5.91%
"Jan. 21, 2020",5.76%
"Jan. 17, 2020",5.69%
"Jan. 16, 2020",5.67%
"Jan. 15, 2020",5.66%
"Jan. 14, 2020",5.58%
"Jan. 13, 2020",5.54%
"Jan. 10, 2020",5.76%
"Jan. 9, 2020",5.64%
"Jan. 8, 2020",5.63%
"Jan. 7, 2020",5.58%
"Jan. 6, 2020",5.53%
"Jan. 3, 2020",5.61%
"Jan. 2, 2020",5.63%
"Dec. 31, 2019",6.02%
"Dec. 30, 2019",4.33%
"Dec. 27, 2019",4.29%
"Dec. 26, 2019",4.27%
"Dec. 24, 2019",4.28%
"Dec. 23, 2019",4.29%
"Dec. 20, 2019",4.35%
"Dec. 19, 2019",4.34%
"Dec. 18, 2019",4.37%
"Dec. 17, 2019",4.32%
"Dec. 16, 2019",4.29%
"Dec. 13, 2019",4.23%
"Dec. 12, 2019",4.19%
"Dec. 11, 2019",4.37%
"Dec. 10, 2019",4.35%
"Dec. 9, 2019",4.36%
"Dec. 6, 2019",4.32%
"Dec. 5, 2019",4.44%
"Dec. 4, 2019",4.40%
"Dec. 3, 2019",4.36%
"Dec. 2, 2019",4.29%
"Nov. 29, 2019",4.25%
"Nov. 27, 2019",4.25%
"Nov. 26, 2019",4.22%
"Nov. 25, 2019",4.14%
"Nov. 22, 2019",4.15%
"Nov. 21, 2019",4.16%
"Nov. 20, 2019",4.21%
"Nov. 19, 2019",4.17%
"Nov. 18, 2019",4.19%
"Nov. 15, 2019",4.16%
"Nov. 14, 2019",4.25%
"Nov. 13, 2019",4.25%
"Nov. 12, 2019",4.20%
"Nov. 11, 2019",4.22%
"Nov. 8, 2019",4.16%
"Nov. 7, 2019",4.25%
"Nov. 6, 2019",4.35%
"Nov. 5, 2019",4.37%
"Nov. 4, 2019",4.38%
"Nov. 1, 2019",4.62%
"Oct. 31, 2019",4.80%
"Oct. 30, 2019",4.74%
"Oct. 29, 2019",5.28%
"Oct. 28, 2019",5.28%
"Oct. 25, 2019",5.33%
"Oct. 24, 2019",5.36%
"Oct. 23, 2019",5.24%
"Oct. 22, 2019",5.29%
"Oct. 21, 2019",5.45%
"Oct. 18, 2019",5.35%
"Oct. 17, 2019",5.30%
"Oct. 16, 2019",5.39%
"Oct. 15, 2019",5.39%
"Oct. 14, 2019",5.50%
"Oct. 11, 2019",5.45%
"Oct. 10, 2019",5.67%
"Oct. 9, 2019",5.74%
"Oct. 8, 2019",5.79%
"Oct. 7, 2019",5.60%
"Oct. 4, 2019",5.59%
"Oct. 3, 2019",5.50%
"Oct. 2, 2019",5.63%
"Oct. 1, 2019",5.57%
"Sept. 30, 2019",5.36%
"Sept. 27, 2019",4.62%
"Sept. 26, 2019",4.63%
"Sept. 25, 2019",4.56%
"Sept. 24, 2019",4.66%
"Sept. 23, 2019",4.47%
"Sept. 20, 2019",4.46%
"Sept. 19, 2019",4.43%
"Sept. 18, 2019",4.45%
"Sept. 17, 2019",4.46%
"Sept. 16, 2019",4.45%
"Sept. 13, 2019",4.47%
"Sept. 12, 2019",4.51%
