date,ohlson_score
"Dec. 31, 2019",-6.344
"Sept. 30, 2019",0.3247
"June 30, 2019",14.74
"March 31, 2019",0.1165
"Dec. 31, 2018",-15.41
"Sept. 30, 2018",0.2964
"June 30, 2018",-0.9604
"March 31, 2018",4.737
"Dec. 31, 2017",-0.2535
"Sept. 30, 2017",-0.1608
"June 30, 2017",-0.381
"March 31, 2017",-15.04
"Dec. 31, 2016",0.0737
"Sept. 30, 2016",0.2968
"June 30, 2016",-0.3699
"March 31, 2016",14.13
"Dec. 31, 2015",-0.0086
"Sept. 30, 2015",-0.7821
"June 30, 2015",4.905
"March 31, 2015",-0.5003
"Dec. 31, 2014",0.0467
"Sept. 30, 2014",-0.4254
"June 30, 2014",-0.4588
"March 31, 2014",-0.3151
"Dec. 31, 2013",-0.3475
"Sept. 30, 2013",-0.2736
"June 30, 2013",-0.2308
"March 31, 2013",-0.1895
"Dec. 31, 2012",-0.2299
"Sept. 30, 2012",-0.2318
"June 30, 2012",-0.1097
"March 31, 2012",0.0717
"Dec. 31, 2011",-0.0236
"Sept. 30, 2011",-0.0254
"June 30, 2011",-0.2178
"March 31, 2011",-0.029
"Dec. 31, 2010",-0.4479
"Sept. 30, 2010",0.256
"June 30, 2010",-0.4392
"March 31, 2010",0.037
"Dec. 31, 2009",-0.1905
"Sept. 30, 2009",-0.0709
"June 30, 2009",0.0034
"March 31, 2009",0.2455
"Dec. 31, 2008",0.092
"Sept. 30, 2008",0.1945
"June 30, 2008",-0.0598
"March 31, 2008",0.3221
"Dec. 31, 2007",-0.0382
"Sept. 30, 2007",0.0066
"June 30, 2007",-0.0592
"March 31, 2007",0.2153
"Dec. 31, 2006",-0.1024
"Sept. 30, 2006",0.0487
"June 30, 2006",-0.019
"March 31, 2006",-0.0008
"Dec. 31, 2005",0.3243
"Sept. 30, 2005",-0.1362
"June 30, 2005",-0.2848
"March 31, 2005",0.0788
"Dec. 31, 2004",-0.0137
"Sept. 30, 2004",-0.0832
"June 30, 2004",-0.0417
"March 31, 2004",0.3473
"Dec. 31, 2003",0.0516
"Sept. 30, 2003",0.2643
"June 30, 2003",0.1896
"March 31, 2003",0.2963
"Dec. 31, 2002",0.5216
"Sept. 30, 2002",0.3921
"June 30, 2002",0.2093
"March 31, 2002",0.8457
"Dec. 31, 2001",0.5124
"Sept. 30, 2001",0.6223
"June 30, 2001",0.3679
"March 31, 2001",0.7425
"Dec. 31, 2000",0.4787
"Sept. 30, 2000",0.6468
"June 30, 2000",0.4898
"March 31, 2000",0.7337
"Dec. 31, 1999",0.6687
"Sept. 30, 1999",0.7886
"June 30, 1999",0.6376
"March 31, 1999",0.882
"Dec. 31, 1998",0.6839
"Sept. 30, 1998",0.7884
"June 30, 1998",0.6853
"March 31, 1998",0.9501
"Dec. 31, 1997",0.6929
"Sept. 30, 1997",0.7728
"June 30, 1997",0.6352
"March 31, 1997",0.9006
"Dec. 31, 1996",0.6654
"Sept. 30, 1996",0.803
"June 30, 1996",0.6494
"March 31, 1996",0.8255
"Dec. 31, 1995",0.5993
"Sept. 30, 1995",0.7606
"June 30, 1995",0.6255
"March 31, 1995",0.5605
"Dec. 31, 1994",1.320
"Sept. 30, 1994",1.303
"June 30, 1994",1.170
"March 31, 1994",1.612
"Dec. 31, 1993",1.266
"Sept. 30, 1993",1.398
"June 30, 1993",1.257
"March 31, 1993",1.565
"Dec. 31, 1992",1.346
"Sept. 30, 1992",1.563
"June 30, 1992",0.7587
"March 31, 1992",0.0775
"Dec. 31, 1991",-0.56
"Sept. 30, 1991",1.238
"June 30, 1991",1.189
"March 31, 1991",1.367
"Dec. 31, 1990",1.16
"Sept. 30, 1990",1.378
"June 30, 1990",1.288
"March 31, 1990",1.422
