date,cash_on_hand
"Dec. 31, 2019",84.92B
"Sept. 30, 2019",76.04B
"June 30, 2019",71.35B
"March 31, 2019",72.67B
"Dec. 31, 2018",64.63B
"Sept. 30, 2018",61.69B
"June 30, 2018",64.28B
"March 31, 2018",68.78B
"Dec. 31, 2017",82.00B
"Sept. 30, 2017",78.55B
"June 30, 2017",84.02B
"March 31, 2017",83.51B
"Dec. 31, 2016",92.44B
"Sept. 30, 2016",98.90B
"June 30, 2016",91.84B
"March 31, 2016",108.05B
"Dec. 31, 2015",102.46B
"Sept. 30, 2015",136.02B
"June 30, 2015",131.10B
"March 31, 2015",129.05B
"Dec. 31, 2014",105.53B
"Sept. 30, 2014",137.46B
"June 30, 2014",133.32B
"March 31, 2014",132.71B
"Dec. 31, 2013",132.54B
"Sept. 30, 2013",130.40B
"June 30, 2013",132.46B
"March 31, 2013",138.11B
"Dec. 31, 2012",125.78B
"Sept. 30, 2012",134.18B
"June 30, 2012",122.23B
"March 31, 2012",131.48B
"Dec. 31, 2011",131.88B
"Sept. 30, 2011",137.83B
"June 30, 2011",136.39B
"March 31, 2011",127.06B
"Dec. 31, 2010",122.88B
"Sept. 30, 2010",124.08B
"June 30, 2010",115.95B
"March 31, 2010",111.18B
"Dec. 31, 2009",121.83B
"Sept. 30, 2009",114.14B
"June 30, 2009",97.53B
"March 31, 2009",88.76B
"Dec. 31, 2008",89.63B
"Sept. 30, 2008",59.76B
"June 30, 2008",64.85B
"March 31, 2008",60.91B
"Dec. 31, 2007",61.01B
"Sept. 30, 2007",65.06B
"June 30, 2007",60.98B
"March 31, 2007",64.44B
"Dec. 31, 2006",61.90B
"Sept. 30, 2006",59.41B
"June 30, 2006",56.12B
"March 31, 2006",53.60B
"Dec. 31, 2005",50.97B
"Sept. 30, 2005",89.86B
"June 30, 2005",146.85B
"March 31, 2005",148.63B
"Dec. 31, 2004",69.08B
"Sept. 30, 2004",135.37B
"June 30, 2004",133.08B
"March 31, 2004",138.28B
"Dec. 31, 2003",141.93B
"Sept. 30, 2003",127.39B
"June 30, 2003",115.96B
"March 31, 2003",130.61B
"Dec. 31, 2002",125.77B
"Sept. 30, 2002",126.50B
"June 30, 2002",117.37B
"March 31, 2002",111.26B
"Dec. 31, 2001",109.45B
"Sept. 30, 2001",106.44B
"June 30, 2001",102.35B
"March 31, 2001",100.03B
"Dec. 31, 2000",99.53B
"Sept. 30, 2000",98.02B
"June 30, 2000",96.50B
"March 31, 2000",100.64B
"Dec. 31, 1999",90.31B
"Sept. 30, 1999",84.22B
"June 30, 1999",81.66B
"March 31, 1999",83.09B
"Dec. 31, 1998",4.317B
"Sept. 30, 1998",5.767B
"June 30, 1998",3.862B
"March 31, 1998",5.419B
"Dec. 31, 1997",5.861B
"Sept. 30, 1997",4.289B
"June 30, 1997",3.806B
"March 31, 1997",3.621B
"Dec. 31, 1996",4.191B
"Sept. 30, 1996",4.672B
"June 30, 1996",3.271B
"March 31, 1996",3.17B
"Dec. 31, 1995",2.823B
"Sept. 30, 1995",3.159B
"June 30, 1995",3.115B
"March 31, 1995",2.757B
"Dec. 31, 1994",2.591B
"Sept. 30, 1994",3.343B
"June 30, 1994",3.371B
"March 31, 1994",2.524B
"Dec. 31, 1993",3.218B
"Sept. 30, 1993",2.939B
"June 30, 1993",2.988B
"March 31, 1993",2.824B
"Dec. 31, 1992",3.129B
"Sept. 30, 1992",2.114B
"June 30, 1992",1.938B
"March 31, 1992",1.796B
"Dec. 31, 1991",1.971B
"Sept. 30, 1991",1.638B
"June 30, 1991",1.619B
"March 31, 1991",1.791B
"Dec. 31, 1990",1.975B
"Sept. 30, 1990",1.453B
"June 30, 1990",1.991B
"March 31, 1990",1.462B
"Dec. 31, 1989",2.258B
"Sept. 30, 1989",1.689B
"June 30, 1989",1.875B
"Dec. 31, 1988",26.87B
"Dec. 31, 1987",2.692B
"Dec. 31, 1986",1.919B
"Dec. 31, 1985",2.557B
"Dec. 31, 1984",2.373B
