date,free_cash_flow
"Dec. 31, 2019",5.027B
"Sept. 30, 2019",1.311B
"June 30, 2019",-1.946B
"March 31, 2019",-1.715B
"Dec. 31, 2018",6.134B
"Sept. 30, 2018",-3.984B
"June 30, 2018",-2.544B
"March 31, 2018",-1.575B
"Dec. 31, 2017",2.055B
"Sept. 30, 2017",-1.066B
"June 30, 2017",151.00M
"March 31, 2017",-1.682B
"Dec. 31, 2016",194.00M
"Sept. 30, 2016",-1.095B
"June 30, 2016",-4.975B
"March 31, 2016",-912.00M
"Dec. 31, 2015",3.465B
"Sept. 30, 2015",-823.00M
"June 30, 2015",4.568B
"March 31, 2015",4.594B
"Dec. 31, 2014",9.307B
"Sept. 30, 2014",4.751B
"June 30, 2014",4.917B
"March 31, 2014",1.60B
"Dec. 31, 2013",14.72B
"Sept. 30, 2013",2.319B
"June 30, 2013",3.748B
"March 31, 2013",966.00M
"Dec. 31, 2012",6.634B
"Sept. 30, 2012",2.659B
"June 30, 2012",3.739B
"March 31, 2012",3.18B
"Dec. 31, 2011",5.55B
"Sept. 30, 2011",6.57B
"June 30, 2011",4.075B
"March 31, 2011",4.527B
"Dec. 31, 2010",4.239B
"Sept. 30, 2010",8.549B
"June 30, 2010",7.718B
"March 31, 2010",5.818B
"Dec. 31, 2009",7.663B
"Sept. 30, 2009",7.045B
"June 30, 2009",3.836B
"March 31, 2009",-2.761B
"Dec. 31, 2008",15.83B
"Sept. 30, 2008",6.792B
"June 30, 2008",6.818B
"March 31, 2008",3.207B
"Dec. 31, 2007",9.409B
"Sept. 30, 2007",6.685B
"June 30, 2007",9.234B
"March 31, 2007",191.00M
"Dec. 31, 2006",4.441B
"Sept. 30, 2006",6.019B
"June 30, 2006",2.629B
"March 31, 2006",2.578B
"Dec. 31, 2005",4.333B
"Sept. 30, 2005",10.07B
"June 30, 2005",3.537B
"March 31, 2005",5.99B
"Dec. 31, 2004",6.231B
"Sept. 30, 2004",6.604B
"June 30, 2004",5.245B
"March 31, 2004",5.477B
"Dec. 31, 2003",3.101B
"Sept. 30, 2003",8.635B
"June 30, 2003",6.08B
"March 31, 2003",1.662B
"Dec. 31, 2002",1.743B
"Sept. 30, 2002",7.737B
"June 30, 2002",3.193B
"March 31, 2002",2.037B
"Dec. 31, 2001",4.44B
"Sept. 30, 2001",3.52B
"June 30, 2001",6.587B
"March 31, 2001",1.951B
"Dec. 31, 2000",7.001B
"Sept. 30, 2000",2.264B
"June 30, 2000",-42.00M
"March 31, 2000",-500.00M
"Dec. 31, 1999",1.59B
"Sept. 30, 1999",2.02B
"June 30, 1999",2.867B
"March 31, 1999",2.614B
"Dec. 31, 1998",13.11B
"Sept. 30, 1998",-3.343B
"June 30, 1998",363.00M
"March 31, 1998",248.00M
"Dec. 31, 1997",2.245B
"Sept. 30, 1997",-42.00M
"June 30, 1997",2.948B
"March 31, 1997",701.00M
"Dec. 31, 1996",4.743B
"Sept. 30, 1996",3.13B
"June 30, 1996",1.579B
"March 31, 1996",639.00M
"Dec. 31, 1995",4.498B
"Sept. 30, 1995",1.612B
"June 30, 1995",1.352B
"March 31, 1995",1.037B
"Dec. 31, 1994",3.837B
"Sept. 30, 1994",901.00M
"June 30, 1994",2.721B
"March 31, 1994",-1.559B
"Dec. 31, 1993",3.141B
"Sept. 30, 1993",2.225B
"June 30, 1993",-349.00M
"March 31, 1993",431.00M
"Dec. 31, 1992",3.711B
"Sept. 30, 1992",848.00M
"June 30, 1992",654.00M
"March 31, 1992",212.00M
"Dec. 31, 1991",3.93B
"Sept. 30, 1991",1.043B
"June 30, 1991",-634.00M
"March 31, 1991",-1.842B
"Dec. 31, 1990",948.00M
"Sept. 30, 1990",2.01B
"June 30, 1990",1.145B
"March 31, 1990",410.00M
