date,cash_financing_ttm
"Dec. 31, 2019",-16.13B
"Sept. 30, 2019",-20.93B
"June 30, 2019",-17.23B
"March 31, 2019",-23.52B
"Dec. 31, 2018",-31.81B
"Sept. 30, 2018",-27.13B
"June 30, 2018",-29.22B
"March 31, 2018",-20.10B
"Dec. 31, 2017",-18.48B
"Sept. 30, 2017",-31.89B
"June 30, 2017",-37.17B
"March 31, 2017",-78.62B
"Dec. 31, 2016",-90.46B
"Sept. 30, 2016",-101.14B
"June 30, 2016",-120.82B
"March 31, 2016",-89.93B
"Dec. 31, 2015",-76.05B
"Sept. 30, 2015",-55.68B
"June 30, 2015",-23.30B
"March 31, 2015",-16.70B
"Dec. 31, 2014",-16.96B
"Sept. 30, 2014",-17.66B
"June 30, 2014",-21.12B
"March 31, 2014",-31.12B
"Dec. 31, 2013",-45.58B
"Sept. 30, 2013",-57.16B
"June 30, 2013",-59.16B
"March 31, 2013",-60.43B
"Dec. 31, 2012",-51.07B
"Sept. 30, 2012",-44.48B
"June 30, 2012",-49.33B
"March 31, 2012",-37.89B
"Dec. 31, 2011",-46.86B
"Sept. 30, 2011",-43.15B
"June 30, 2011",-47.02B
"March 31, 2011",-56.12B
"Dec. 31, 2010",-61.59B
"Sept. 30, 2010",-61.67B
"June 30, 2010",-55.78B
"March 31, 2010",-54.54B
"Dec. 31, 2009",-43.51B
"Sept. 30, 2009",-40.71B
"June 30, 2009",-35.10B
"March 31, 2009",-12.18B
"Dec. 31, 2008",19.14B
"Sept. 30, 2008",33.25B
"June 30, 2008",40.63B
"March 31, 2008",35.03B
"Dec. 31, 2007",27.94B
"Sept. 30, 2007",27.27B
"June 30, 2007",29.97B
"March 31, 2007",29.71B
"Dec. 31, 2006",23.67B
"Sept. 30, 2006",21.73B
"June 30, 2006",10.50B
"March 31, 2006",-758.00M
"Dec. 31, 2005",-6.119B
"Sept. 30, 2005",-4.352B
"June 30, 2005",-4.569B
"March 31, 2005",-2.085B
"Dec. 31, 2004",4.594B
"Sept. 30, 2004",311.00M
"June 30, 2004",-16.05B
"March 31, 2004",-2.692B
"Dec. 31, 2003",-3.632B
"Sept. 30, 2003",4.933B
"June 30, 2003",26.51B
"March 31, 2003",30.44B
"Dec. 31, 2002",32.94B
"Sept. 30, 2002",30.93B
"June 30, 2002",30.94B
"March 31, 2002",14.87B
"Dec. 31, 2001",8.806B
"Sept. 30, 2001",276.00M
"June 30, 2001",711.00M
"March 31, 2001",4.263B
"Dec. 31, 2000",14.65B
"Sept. 30, 2000",26.70B
"June 30, 2000",25.21B
"March 31, 2000",27.90B
"Dec. 31, 1999",21.82B
"Sept. 30, 1999",15.44B
"June 30, 1999",21.76B
"March 31, 1999",21.20B
"Dec. 31, 1998",19.23B
"Sept. 30, 1998",17.23B
"June 30, 1998",11.10B
"March 31, 1998",7.673B
"Dec. 31, 1997",5.705B
"Sept. 30, 1997",-69.00M
"June 30, 1997",431.00M
"March 31, 1997",1.256B
"Dec. 31, 1996",3.729B
"Sept. 30, 1996",7.637B
"June 30, 1996",7.534B
"March 31, 1996",8.563B
"Dec. 31, 1995",10.50B
"Sept. 30, 1995",6.832B
"June 30, 1995",6.783B
"March 31, 1995",4.142B
"Dec. 31, 1994",2.554B
"Sept. 30, 1994",7.944B
"June 30, 1994",8.225B
"March 31, 1994",9.572B
"Dec. 31, 1993",5.493B
"Sept. 30, 1993",3.824B
"June 30, 1993",1.727B
"March 31, 1993",2.487B
"Dec. 31, 1992",4.462B
"Sept. 30, 1992",2.76B
"June 30, 1992",4.389B
"March 31, 1992",5.369B
"Dec. 31, 1991",8.86B
"Sept. 30, 1991",8.872B
"June 30, 1991",8.494B
"March 31, 1991",8.372B
"Dec. 31, 1990",6.59B
