date,return_on_invested_capital
"Dec. 31, 2019",-3.44%
"Sept. 30, 2019",-3.23%
"June 30, 2019",-11.02%
"March 31, 2019",-10.16%
"Dec. 31, 2018",-12.25%
"Sept. 30, 2018",-17.18%
"June 30, 2018",-4.74%
"March 31, 2018",-4.54%
"Dec. 31, 2017",-3.97%
"Sept. 30, 2017",2.14%
"June 30, 2017",2.42%
"March 31, 2017",3.06%
"Dec. 31, 2016",2.96%
"Sept. 30, 2016",3.92%
"June 30, 2016",3.59%
"March 31, 2016",2.03%
"Dec. 31, 2015",-1.52%
"Sept. 30, 2015",-1.63%
"June 30, 2015",-1.34%
"March 31, 2015",-0.28%
"Dec. 31, 2014",3.08%
"Sept. 30, 2014",2.56%
"June 30, 2014",2.50%
"March 31, 2014",2.41%
"Dec. 31, 2013",2.49%
"Sept. 30, 2013",2.65%
"June 30, 2013",2.71%
"March 31, 2013",2.70%
"Dec. 31, 2012",2.56%
"Sept. 30, 2012",2.50%
"June 30, 2012",2.41%
"March 31, 2012",2.49%
"Dec. 31, 2011",2.49%
"Sept. 30, 2011",2.63%
"June 30, 2011",2.44%
"March 31, 2011",2.32%
"Dec. 31, 2010",2.02%
"Sept. 30, 2010",1.74%
"June 30, 2010",1.77%
"March 31, 2010",1.66%
"Dec. 31, 2009",1.79%
"Sept. 30, 2009",1.86%
"June 30, 2009",2.12%
"March 31, 2009",2.46%
"Dec. 31, 2008",2.67%
"Sept. 30, 2008",3.11%
"June 30, 2008",3.38%
"March 31, 2008",3.56%
"Dec. 31, 2007",3.75%
"Sept. 30, 2007",3.85%
"June 30, 2007",3.86%
"March 31, 2007",3.92%
"Dec. 31, 2006",4.03%
"Sept. 30, 2006",3.53%
"June 30, 2006",3.54%
"March 31, 2006",3.50%
"Dec. 31, 2005",3.41%
"Sept. 30, 2005",3.97%
"June 30, 2005",3.90%
"March 31, 2005",3.85%
"Dec. 31, 2004",3.87%
"Sept. 30, 2004",3.81%
"June 30, 2004",3.85%
"March 31, 2004",4.05%
"Dec. 31, 2003",4.07%
"Sept. 30, 2003",3.79%
"June 30, 2003",4.01%
"March 31, 2003",4.40%
"Dec. 31, 2002",4.42%
"Sept. 30, 2002",4.94%
"June 30, 2002",4.92%
"March 31, 2002",4.98%
"Dec. 31, 2001",5.16%
"Sept. 30, 2001",5.19%
"June 30, 2001",5.22%
"March 31, 2001",5.07%
"Dec. 31, 2000",5.09%
"Sept. 30, 2000",5.00%
"June 30, 2000",4.88%
"March 31, 2000",4.75%
"Dec. 31, 1999",4.68%
"Sept. 30, 1999",4.67%
"June 30, 1999",4.66%
"March 31, 1999",4.66%
"Dec. 31, 1998",4.70%
"Sept. 30, 1998",4.77%
"June 30, 1998",4.83%
"March 31, 1998",4.85%
"Dec. 31, 1997",4.85%
"Sept. 30, 1997",4.84%
"June 30, 1997",4.80%
"March 31, 1997",4.73%
"Dec. 31, 1996",4.71%
"Sept. 30, 1996",4.72%
"June 30, 1996",4.73%
"March 31, 1996",4.75%
"Dec. 31, 1995",4.83%
"Sept. 30, 1995",4.17%
"June 30, 1995",4.11%
"March 31, 1995",4.06%
"Dec. 31, 1994",3.90%
"Sept. 30, 1994",4.58%
"June 30, 1994",4.73%
"March 31, 1994",4.69%
"Dec. 31, 1993",4.89%
"Sept. 30, 1993",4.92%
"June 30, 1993",4.92%
"March 31, 1993",4.73%
"Dec. 31, 1992",4.70%
"Sept. 30, 1992",2.91%
"June 30, 1992",2.88%
"March 31, 1992",2.86%
"Dec. 31, 1991",2.86%
"Sept. 30, 1991",4.91%
"June 30, 1991",5.04%
"March 31, 1991",5.19%
"Dec. 31, 1990",5.32%
"Sept. 30, 1990",5.19%
"June 30, 1990",5.06%
"March 31, 1990",4.91%
"Dec. 31, 1989",4.98%
"Sept. 30, 1989",4.70%
