date,times_interest_earned
"Dec. 31, 2019",5.196
"Sept. 30, 2019",1.620
"June 30, 2019",-22.00
"March 31, 2019",-15.08
"Dec. 31, 2018",-14.06
"Sept. 30, 2018",-24.66
"June 30, 2018",-6.470
"March 31, 2018",-7.229
"Dec. 31, 2017",-8.537
"Sept. 30, 2017",7.038
"June 30, 2017",20.39
"March 31, 2017",19.72
"Dec. 31, 2016",8.511
"Sept. 30, 2016",3.719
"June 30, 2016",3.770
"March 31, 2016",3.984
"Dec. 31, 2015",8.045
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",27.11
"Dec. 31, 2014",6.806
"Sept. 30, 2014",
"June 30, 2014",
"March 31, 2014",22.40
"Dec. 31, 2013",11.72
"Sept. 30, 2013",
"June 30, 2013",
"March 31, 2013",263.48
"Dec. 31, 2012",22.43
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",79.21
"Dec. 31, 2011",31.45
"Sept. 30, 2011",31.52
"June 30, 2011",27.44
"March 31, 2011",21.88
"Dec. 31, 2010",13.58
"Sept. 30, 2010",1.812
"June 30, 2010",1.689
"March 31, 2010",1.598
"Dec. 31, 2009",1.546
"Sept. 30, 2009",1.518
"June 30, 2009",1.599
"March 31, 2009",1.694
"Dec. 31, 2008",1.768
"Sept. 30, 2008",1.968
"June 30, 2008",2.023
"March 31, 2008",2.081
"Dec. 31, 2007",2.158
"Sept. 30, 2007",2.157
"June 30, 2007",2.207
"March 31, 2007",2.217
"Dec. 31, 2006",2.244
"Sept. 30, 2006",2.282
"June 30, 2006",2.391
"March 31, 2006",2.421
"Dec. 31, 2005",2.430
"Sept. 30, 2005",2.53
"June 30, 2005",2.571
"March 31, 2005",2.624
"Dec. 31, 2004",2.747
"Sept. 30, 2004",2.559
"June 30, 2004",2.595
"March 31, 2004",2.662
"Dec. 31, 2003",2.684
"Sept. 30, 2003",2.636
"June 30, 2003",2.642
"March 31, 2003",2.737
"Dec. 31, 2002",2.849
"Sept. 30, 2002",3.075
"June 30, 2002",3.017
"March 31, 2002",2.955
"Dec. 31, 2001",2.781
"Sept. 30, 2001",2.685
"June 30, 2001",2.665
"March 31, 2001",2.572
"Dec. 31, 2000",2.574
"Sept. 30, 2000",2.546
"June 30, 2000",2.538
"March 31, 2000",2.552
"Dec. 31, 1999",2.556
"Sept. 30, 1999",3.512
"June 30, 1999",5.230
"March 31, 1999",10.48
