date,cash_dividend_payout_ratio
"Dec. 31, 2019",24.24%
"Sept. 30, 2019",42.36%
"June 30, 2019",-169.6%
"March 31, 2019",-166.9%
"Dec. 31, 2018",-227.2%
"Sept. 30, 2018",-91.19%
"June 30, 2018",-209.4%
"March 31, 2018",-1.75K%
"Dec. 31, 2017",-1.60K%
"Sept. 30, 2017",-358.4%
"June 30, 2017",-354.9%
"March 31, 2017",-114.5%
"Dec. 31, 2016",-129.7%
"Sept. 30, 2016",-254.3%
"June 30, 2016",-282.5%
"March 31, 2016",146.2%
"Dec. 31, 2015",78.74%
"Sept. 30, 2015",51.97%
"June 30, 2015",39.00%
"March 31, 2015",37.97%
"Dec. 31, 2014",43.02%
"Sept. 30, 2014",32.97%
"June 30, 2014",35.22%
"March 31, 2014",36.00%
"Dec. 31, 2013",35.95%
"Sept. 30, 2013",56.22%
"June 30, 2013",53.85%
"March 31, 2013",52.67%
"Dec. 31, 2012",44.34%
"Sept. 30, 2012",46.69%
"June 30, 2012",36.40%
"March 31, 2012",34.54%
"Dec. 31, 2011",31.16%
"Sept. 30, 2011",31.69%
"June 30, 2011",26.33%
"March 31, 2011",20.82%
"Dec. 31, 2010",18.20%
"Sept. 30, 2010",15.38%
"June 30, 2010",16.17%
"March 31, 2010",27.83%
"Dec. 31, 2009",56.93%
"Sept. 30, 2009",45.71%
"June 30, 2009",54.44%
"March 31, 2009",47.42%
"Dec. 31, 2008",38.01%
"Sept. 30, 2008",46.32%
"June 30, 2008",45.71%
"March 31, 2008",41.06%
"Dec. 31, 2007",45.03%
"Sept. 30, 2007",54.69%
"June 30, 2007",55.02%
"March 31, 2007",80.38%
"Dec. 31, 2006",66.51%
"Sept. 30, 2006",65.35%
"June 30, 2006",50.60%
"March 31, 2006",47.02%
"Dec. 31, 2005",39.08%
"Sept. 30, 2005",35.37%
"June 30, 2005",39.87%
"March 31, 2005",35.71%
"Dec. 31, 2004",35.14%
"Sept. 30, 2004",39.52%
"June 30, 2004",35.01%
"March 31, 2004",33.34%
"Dec. 31, 2003",39.24%
"Sept. 30, 2003",41.50%
"June 30, 2003",42.98%
"March 31, 2003",50.68%
"Dec. 31, 2002",48.65%
"Sept. 30, 2002",39.97%
"June 30, 2002",51.22%
"March 31, 2002",39.53%
"Dec. 31, 2001",38.54%
"Sept. 30, 2001",32.13%
"June 30, 2001",33.06%
"March 31, 2001",50.50%
"Dec. 31, 2000",61.92%
"Sept. 30, 2000",156.8%
"June 30, 2000",162.6%
"March 31, 2000",80.11%
"Dec. 31, 1999",50.46%
"Sept. 30, 1999",21.44%
"June 30, 1999",27.86%
"March 31, 1999",32.02%
"Dec. 31, 1998",37.70%
"Sept. 30, 1998",-777.2%
"June 30, 1998",130.0%
"March 31, 1998",65.48%
"Dec. 31, 1997",58.29%
"Sept. 30, 1997",39.72%
"June 30, 1997",28.02%
"March 31, 1997",30.91%
"Dec. 31, 1996",30.22%
"Sept. 30, 1996",30.24%
"June 30, 1996",34.91%
"March 31, 1996",35.03%
"Dec. 31, 1995",32.59%
"Sept. 30, 1995",34.46%
"June 30, 1995",36.86%
"March 31, 1995",29.97%
"Dec. 31, 1994",41.73%
"Sept. 30, 1994",45.79%
"June 30, 1994",35.31%
"March 31, 1994",64.46%
"Dec. 31, 1993",39.52%
"Sept. 30, 1993",35.23%
"June 30, 1993",44.24%
"March 31, 1993",35.21%
"Dec. 31, 1992",35.48%
"Sept. 30, 1992",33.04%
"June 30, 1992",31.50%
"March 31, 1992",39.82%
"Dec. 31, 1991",71.29%
"Sept. 30, 1991",-360.4%
"June 30, 1991",357.1%
"March 31, 1991",75.06%
"Dec. 31, 1990",37.18%
