date,days_inventory_outstanding
"Dec. 31, 2019",61.87
"Sept. 30, 2019",92.61
"June 30, 2019",82.37
"March 31, 2019",74.47
"Dec. 31, 2018",66.72
"Sept. 30, 2018",105.11
"June 30, 2018",86.11
"March 31, 2018",87.26
"Dec. 31, 2017",156.31
"Sept. 30, 2017",93.85
"June 30, 2017",96.10
"March 31, 2017",101.61
"Dec. 31, 2016",76.45
"Sept. 30, 2016",106.28
"June 30, 2016",99.13
"March 31, 2016",104.02
"Dec. 31, 2015",73.68
"Sept. 30, 2015",87.30
"June 30, 2015",81.03
"March 31, 2015",86.74
"Dec. 31, 2014",62.55
"Sept. 30, 2014",90.46
"June 30, 2014",88.00
"March 31, 2014",89.19
"Dec. 31, 2013",60.49
"Sept. 30, 2013",81.39
"June 30, 2013",81.53
"March 31, 2013",83.41
"Dec. 31, 2012",47.23
"Sept. 30, 2012",77.55
"June 30, 2012",72.84
"March 31, 2012",74.06
"Dec. 31, 2011",42.21
"Sept. 30, 2011",80.68
"June 30, 2011",73.20
"March 31, 2011",67.83
"Dec. 31, 2010",30.76
"Sept. 30, 2010",64.11
"June 30, 2010",61.34
"March 31, 2010",61.85
"Dec. 31, 2009",55.81
"Sept. 30, 2009",64.94
"June 30, 2009",65.85
"March 31, 2009",69.46
"Dec. 31, 2008",56.54
"Sept. 30, 2008",61.28
"June 30, 2008",64.46
"March 31, 2008",68.90
"Dec. 31, 2007",55.60
"Sept. 30, 2007",64.64
"June 30, 2007",66.93
"March 31, 2007",66.71
"Dec. 31, 2006",56.08
"Sept. 30, 2006",64.80
"June 30, 2006",64.59
"March 31, 2006",56.42
"Dec. 31, 2005",83.34
"Sept. 30, 2005",60.73
"June 30, 2005",57.87
"March 31, 2005",59.67
"Dec. 31, 2004",49.21
"Sept. 30, 2004",55.40
"June 30, 2004",56.14
"March 31, 2004",64.21
"Dec. 31, 2003",53.39
"Sept. 30, 2003",67.81
"June 30, 2003",67.62
"March 31, 2003",74.60
"Dec. 31, 2002",58.88
"Sept. 30, 2002",68.88
"June 30, 2002",60.67
"March 31, 2002",66.00
"Dec. 31, 2001",60.36
"Sept. 30, 2001",64.74
"June 30, 2001",58.95
"March 31, 2001",61.95
"Dec. 31, 2000",54.22
"Sept. 30, 2000",57.10
"June 30, 2000",54.11
"March 31, 2000",56.91
"Dec. 31, 1999",46.48
"Sept. 30, 1999",56.51
"June 30, 1999",53.06
"March 31, 1999",59.36
"Dec. 31, 1998",36.52
"Sept. 30, 1998",60.27
"June 30, 1998",54.40
"March 31, 1998",67.34
"Dec. 31, 1997",44.19
"Sept. 30, 1997",59.22
"June 30, 1997",55.95
"March 31, 1997",60.00
"Dec. 31, 1996",50.83
"Sept. 30, 1996",62.22
"June 30, 1996",64.16
"March 31, 1996",70.16
"Dec. 31, 1995",54.64
"Sept. 30, 1995",74.46
"June 30, 1995",67.88
"March 31, 1995",71.83
"Dec. 31, 1994",49.33
"Sept. 30, 1994",68.34
"June 30, 1994",62.11
"March 31, 1994",71.08
"Dec. 31, 1993",32.96
"Sept. 30, 1993",48.84
"June 30, 1993",64.62
"March 31, 1993",84.59
"Dec. 31, 1992",103.96
"Sept. 30, 1992",81.29
"June 30, 1992",82.04
"March 31, 1992",98.24
"Dec. 31, 1991",64.81
"Sept. 30, 1991",97.62
"June 30, 1991",96.42
"March 31, 1991",109.75
"Dec. 31, 1990",72.06
"Sept. 30, 1990",98.79
"June 30, 1990",97.25
"March 31, 1990",106.55
"Dec. 31, 1989",75.95
"Sept. 30, 1989",102.35
