date,net_income_ttm
"Dec. 31, 2019",-4.98B
"Sept. 30, 2019",-4.947B
"June 30, 2019",-18.29B
"March 31, 2019",-17.62B
"Dec. 31, 2018",-22.36B
"Sept. 30, 2018",-33.93B
"June 30, 2018",-9.805B
"March 31, 2018",-9.548B
"Dec. 31, 2017",-8.484B
"Sept. 30, 2017",4.67B
"June 30, 2017",5.337B
"March 31, 2017",7.188B
"Dec. 31, 2016",7.499B
"Sept. 30, 2016",11.46B
"June 30, 2016",11.94B
"March 31, 2016",7.675B
"Dec. 31, 2015",-6.126B
"Sept. 30, 2015",-7.275B
"June 30, 2015",-6.244B
"March 31, 2015",-1.339B
"Dec. 31, 2014",15.23B
"Sept. 30, 2014",13.29B
"June 30, 2014",12.94B
"March 31, 2014",12.53B
"Dec. 31, 2013",13.06B
"Sept. 30, 2013",13.86B
"June 30, 2013",14.16B
"March 31, 2013",14.13B
"Dec. 31, 2012",13.64B
"Sept. 30, 2012",13.36B
"June 30, 2012",13.09B
"March 31, 2012",13.75B
"Dec. 31, 2011",14.15B
"Sept. 30, 2011",14.96B
"June 30, 2011",13.79B
"March 31, 2011",13.13B
"Dec. 31, 2010",11.64B
"Sept. 30, 2010",10.12B
"June 30, 2010",10.56B
"March 31, 2010",10.14B
"Dec. 31, 2009",11.02B
"Sept. 30, 2009",11.73B
"June 30, 2009",13.55B
"March 31, 2009",15.94B
"Dec. 31, 2008",17.41B
"Sept. 30, 2008",20.38B
"June 30, 2008",21.63B
"March 31, 2008",21.94B
"Dec. 31, 2007",22.21B
"Sept. 30, 2007",21.97B
"June 30, 2007",21.28B
"March 31, 2007",20.84B
"Dec. 31, 2006",20.71B
"Sept. 30, 2006",17.68B
"June 30, 2006",17.49B
"March 31, 2006",17.20B
"Dec. 31, 2005",16.72B
"Sept. 30, 2005",19.26B
"June 30, 2005",18.66B
"March 31, 2005",17.76B
"Dec. 31, 2004",17.16B
"Sept. 30, 2004",15.98B
"June 30, 2004",15.56B
"March 31, 2004",15.60B
"Dec. 31, 2003",15.24B
"Sept. 30, 2003",13.54B
"June 30, 2003",13.98B
"March 31, 2003",14.61B
"Dec. 31, 2002",14.12B
"Sept. 30, 2002",14.95B
"June 30, 2002",14.14B
"March 31, 2002",13.61B
"Dec. 31, 2001",13.68B
"Sept. 30, 2001",13.34B
"June 30, 2001",13.24B
"March 31, 2001",12.72B
"Dec. 31, 2000",12.74B
"Sept. 30, 2000",12.24B
"June 30, 2000",11.71B
"March 31, 2000",11.15B
"Dec. 31, 1999",10.72B
"Sept. 30, 1999",10.30B
"June 30, 1999",9.93B
"March 31, 1999",9.56B
"Dec. 31, 1998",9.296B
"Sept. 30, 1998",8.975B
"June 30, 1998",8.705B
"March 31, 1998",8.417B
"Dec. 31, 1997",8.203B
"Sept. 30, 1997",7.92B
"June 30, 1997",7.694B
"March 31, 1997",7.44B
"Dec. 31, 1996",7.28B
"Sept. 30, 1996",7.078B
"June 30, 1996",6.90B
"March 31, 1996",6.718B
"Dec. 31, 1995",6.573B
"Sept. 30, 1995",5.476B
"June 30, 1995",5.234B
"March 31, 1995",5.03B
"Dec. 31, 1994",4.726B
"Sept. 30, 1994",5.435B
"June 30, 1994",5.273B
"March 31, 1994",5.085B
"Dec. 31, 1993",5.177B
"Sept. 30, 1993",5.041B
"June 30, 1993",4.945B
"March 31, 1993",4.827B
"Dec. 31, 1992",4.725B
"Sept. 30, 1992",2.848B
"June 30, 1992",2.78B
"March 31, 1992",2.695B
"Dec. 31, 1991",2.636B
"Sept. 30, 1991",4.411B
"June 30, 1991",4.395B
"March 31, 1991",4.352B
"Dec. 31, 1990",4.303B
"Sept. 30, 1990",4.237B
"June 30, 1990",4.156B
"March 31, 1990",4.04B
"Dec. 31, 1989",3.939B
"Sept. 30, 1989",3.777B
"June 30, 1989",3.647B
"March 31, 1989",3.51B
"Dec. 31, 1988",3.386B
"Sept. 30, 1988",2.728B
"June 30, 1988",2.616B
"March 31, 1988",2.501B
"Dec. 31, 1987",2.119B
"Sept. 30, 1987",2.496B
"June 30, 1987",2.397B
"March 31, 1987",2.289B
"Dec. 31, 1986",2.483B
"Sept. 30, 1986",2.413B
"June 30, 1986",2.384B
"March 31, 1986",2.362B
"Dec. 31, 1985",2.336B
"Sept. 30, 1985",2.328B
"June 30, 1985",2.317B
"March 31, 1985",2.306B
"Dec. 31, 1984",2.28B
