date,shares_outstanding
"March 9, 2020",8.70B
"Jan. 31, 2020",8.740B
"Dec. 31, 2019",8.738B
"Sept. 30, 2019",8.734B
"June 30, 2019",8.727B
"March 31, 2019",8.721B
"March 11, 2019",8.710B
"Jan. 31, 2019",8.705B
"Dec. 31, 2018",8.702B
"Sept. 30, 2018",8.698B
"June 30, 2018",8.691B
"March 31, 2018",8.685B
"Feb. 26, 2018",8.684B
"Jan. 31, 2018",8.683B
"Dec. 31, 2017",8.681B
"Sept. 30, 2017",8.672B
"June 30, 2017",8.658B
"March 31, 2017",8.684B
"Feb. 27, 2017",8.709B
"Jan. 31, 2017",8.725B
"Dec. 31, 2016",8.743B
"Sept. 30, 2016",8.846B
"June 30, 2016",8.961B
"March 31, 2016",9.196B
"Feb. 29, 2016",9.285B
"Jan. 31, 2016",9.331B
"Dec. 31, 2015",9.379B
"Sept. 30, 2015",10.11B
"June 30, 2015",10.10B
"March 31, 2015",10.08B
"Feb. 23, 2015",10.07B
"Jan. 31, 2015",10.06B
"Dec. 31, 2014",10.06B
"Sept. 30, 2014",10.04B
"June 30, 2014",10.03B
"March 31, 2014",10.03B
"Feb. 24, 2014",10.03B
"Feb. 1, 2014",10.03B
"Dec. 31, 2013",10.06B
"Sept. 30, 2013",10.12B
"June 30, 2013",10.18B
"March 31, 2013",10.34B
"Feb. 25, 2013",10.37B
"Feb. 1, 2013",10.40B
"Dec. 31, 2012",10.41B
"Sept. 30, 2012",10.49B
"July 1, 2012",10.56B
"June 30, 2012",10.56B
"May 4, 2012",10.60B
"March 31, 2012",10.59B
"Feb. 27, 2012",10.58B
"Feb. 3, 2012",10.58B
"Dec. 31, 2011",10.57B
"Sept. 30, 2011",10.56B
"July 1, 2011",10.60B
"June 30, 2011",10.60B
"April 3, 2011",10.61B
"March 31, 2011",10.61B
"Feb. 28, 2011",10.62B
"Jan. 31, 2011",10.62B
"Dec. 31, 2010",10.62B
"Sept. 30, 2010",10.65B
"Sept. 24, 2010",10.65B
"June 30, 2010",10.69B
"June 25, 2010",10.69B
"March 31, 2010",10.68B
"March 26, 2010",10.68B
"March 1, 2010",10.67B
"Jan. 29, 2010",10.67B
"Dec. 31, 2009",10.66B
"Sept. 30, 2009",10.65B
"Sept. 25, 2009",10.65B
"July 26, 2009",10.63B
"June 30, 2009",10.63B
"June 26, 2009",10.63B
"March 31, 2009",10.59B
"Jan. 30, 2009",10.56B
"Sept. 30, 2008",9.955B
"June 30, 2008",9.948B
"March 31, 2008",9.967B
"Feb. 1, 2008",9.986B
"Dec. 31, 2007",9.988B
"Sept. 30, 2007",10.11B
"June 30, 2007",10.25B
"March 31, 2007",10.29B
"Feb. 9, 2007",10.28B
"Dec. 31, 2006",10.28B
"Sept. 30, 2006",10.31B
"June 30, 2006",10.32B
"March 31, 2006",10.40B
"Feb. 10, 2006",10.42B
"Dec. 31, 2005",10.42B
"Sept. 30, 2005",10.57B
"June 30, 2005",10.60B
"March 31, 2005",10.61B
"Feb. 10, 2005",10.60B
"Dec. 31, 2004",10.60B
"Sept. 30, 2004",10.57B
"June 30, 2004",10.56B
"March 31, 2004",10.21B
"Feb. 13, 2004",10.08B
"Dec. 31, 2003",10.08B
"Sept. 30, 2003",10.04B
"June 30, 2003",10.02B
"March 31, 2003",9.994B
"Feb. 28, 2003",9.993B
"Dec. 31, 2002",9.993B
"Sept. 30, 2002",9.951B
"June 30, 2002",9.949B
"May 3, 2002",9.938B
"March 31, 2002",9.938B
"March 3, 2002",9.936B
"Dec. 31, 2001",9.936B
"Sept. 30, 2001",9.927B
"June 30, 2001",9.935B
"March 31, 2001",9.933B
"Dec. 31, 2000",9.933B
"Sept. 30, 2000",9.909B
"June 30, 2000",9.899B
"April 27, 2000",9.893B
"March 31, 2000",9.893B
"March 5, 2000",9.886B
"Dec. 31, 1999",9.886B
"Sept. 30, 1999",9.886B
"June 30, 1999",9.886B
"March 31, 1999",9.886B
"Feb. 28, 1999",9.826B
"Dec. 31, 1998",9.824B
"Sept. 30, 1998",9.813B
"June 30, 1998",9.771B
"March 31, 1998",9.784B
"March 1, 1998",9.781B
"Dec. 31, 1997",9.804B
"Sept. 30, 1997",9.828B
"June 30, 1997",9.808B
"March 31, 1997",9.809B
"March 2, 1997",9.841B
"Dec. 31, 1996",9.877B
"Sept. 30, 1996",9.888B
"June 30, 1996",9.917B
"March 31, 1996",10.01B
"March 3, 1996",9.975B
"Dec. 31, 1995",10.01B
"Sept. 30, 1995",10.25B
"June 30, 1995",10.10B
"March 31, 1995",10.25B
"March 5, 1995",10.18B
"Dec. 31, 1994",10.25B
"Sept. 30, 1994",10.27B
"June 30, 1994",10.28B
"March 31, 1994",10.28B
"Dec. 31, 1993",10.28B
"Sept. 30, 1993",10.25B
"June 30, 1993",10.26B
"March 31, 1993",10.26B
"Dec. 31, 1992",10.28B
"Sept. 30, 1992",10.26B
"June 30, 1992",10.26B
"March 31, 1992",10.31B
"Dec. 31, 1991",10.38B
"Sept. 30, 1991",10.41B
"June 30, 1991",10.45B
"March 31, 1991",10.46B
"Dec. 31, 1990",10.49B
"Sept. 30, 1990",10.54B
"June 30, 1990",10.67B
"March 31, 1990",10.74B
"Dec. 31, 1989",10.87B
"Sept. 30, 1989",11.13B
"June 30, 1989",11.13B
"March 31, 1989",10.85B
"Dec. 31, 1988",10.84B
"Sept. 30, 1988",10.85B
"June 30, 1988",10.85B
"March 31, 1988",11.00B
"Dec. 31, 1987",10.85B
"Sept. 30, 1987",10.98B
"June 30, 1987",10.95B
"March 31, 1987",10.98B
"Dec. 31, 1986",10.95B
"Sept. 30, 1986",10.97B
"June 30, 1986",10.95B
"March 31, 1986",10.95B
