Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Total Payables,639.76M,621.57M,636.04M,505.29M,380.98M,696.19M,741.83M,713.20M,664.09M,671.87M,690.36M,789.43M,827.06M,890.48M,856.60M,1.352B,1.573B,1.629B,1.736B,2.006B,2.387B,2.395B,2.559B,2.437B,2.415B,3.162B,3.735B,3.256B,3.196B,3.175B,2.551B,2.896B,2.312B,3.114B,2.993B,3.181B,2.804B,2.451B,2.093B,1.986B,1.910B,1.795B,1.778B,1.834B,2.367B,2.060B,1.988B,1.424B,1.300B,1.461B,1.009B,1.294B,1.275B,1.209B,1.177B,1.144B,1.029B,976.30M,709.38M,938.56M,857.43M,773.24M,471.69M,670.25M,673.88M,693.66M,599.23M,548.96M,584.80M,487.54M,325.32M,554.56M,560.80M,575.70M,528.42M,552.44M,529.05M,491.96M,334.40M,421.70M,378.30M,341.60M,249.00M,406.60M,369.20M,380.70M,329.10M,414.20M,366.90M,426.10M,406.60M,439.90M,410.10M,403.10M,299.20M,352.60M,373.20M,363.40M,295.10M,382.80M,368.00M,371.80M,255.30M,355.20M,356.50M,341.20M,251.50M,393.10M,,382.50M,293.40M,369.00M,440.30M,398.30M,372.80M,497.50M,346.60M,345.20M,387.10M,331.20M,,,,,
Accrued Expenses,197.45M,176.10M,164.78M,157.03M,177.95M,166.07M,148.91M,140.16M,156.68M,146.61M,105.11M,113.98M,102.78M,,,,75.29M,,,,143.61M,,,,143.26M,,,,162.88M,,,,140.02M,,,,109.92M,,88.95M,,,,107.54M,,,,,,,,80.94M,,,,,,,,55.49M,,,,67.66M,,,,,,,,51.26M,,,,45.96M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,837.20M,797.68M,800.82M,662.32M,558.93M,862.26M,890.74M,853.35M,820.78M,818.48M,795.47M,903.41M,929.84M,890.48M,856.60M,1.352B,1.648B,1.629B,1.736B,2.006B,2.531B,2.395B,2.559B,2.437B,2.559B,3.162B,3.735B,3.256B,3.359B,3.175B,2.551B,2.896B,2.452B,3.114B,2.993B,3.181B,2.914B,2.451B,2.182B,1.986B,1.910B,1.795B,1.886B,1.834B,2.367B,2.060B,1.988B,1.424B,1.300B,1.461B,1.090B,1.294B,1.275B,1.209B,1.177B,1.144B,1.029B,976.30M,764.87M,938.56M,857.43M,773.24M,539.35M,670.25M,673.88M,693.66M,599.23M,548.96M,584.80M,487.54M,376.58M,554.56M,560.80M,575.70M,574.38M,552.44M,529.05M,491.96M,334.40M,421.70M,378.30M,341.60M,249.00M,406.60M,369.20M,380.70M,329.10M,414.20M,366.90M,426.10M,406.60M,439.90M,410.10M,403.10M,299.20M,352.60M,373.20M,363.40M,295.10M,382.80M,368.00M,371.80M,255.30M,355.20M,356.50M,341.20M,251.50M,393.10M,,382.50M,293.40M,369.00M,440.30M,398.30M,372.80M,497.50M,346.60M,345.20M,387.10M,331.20M,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.561M,10.98M,13.61M,3.617M,2.659M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,,,0.687M,0.679M,0.668M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.208M,5.246M,4.887M,4.512M,4.466M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,,,0.687M,0.679M,0.668M,10.45M,9.674M,9.557M,9.902M,9.781M,559.22M,562.43M,569.82M,20.44M,20.01M,19.08M,18.88M,12.17M,14.94M,21.82M,465.39M,39.61M,35.10M,30.65M,26.25M,21.78M,17.58M,0.046M,0.046M,0.045M,0.044M,350.03M,350.00M,349.98M,349.95M,0.041M,0.041M,0.029M,0.038M,,,,2.572M,2.946M,3.07M,8.123M,12.77M,16.23M,18.50M,8.129M,7.125M,4.659M,4.665M,4.456M,4.49M,21.81M,31.41M,41.06M,50.73M,42.56M,61.64M,66.02M,67.22M,62.47M,61.57M,58.94M,57.10M,56.16M,50.44M,49.00M,48.25M,47.87M,41.91M,44.62M,37.24M,0.068M,0.069M,0.071M,0.10M,0.10M,0.10M,,8.00M,7.40M,7.70M,8.00M,8.40M,19.20M,15.70M,13.60M,13.60M,10.60M,10.60M,10.60M,10.60M,7.60M,7.60M,7.60M,7.60M,11.00M,10.90M,10.90M,10.90M,3.40M,3.60M,6.60M,6.50M,7.60M,29.40M,48.40M,55.20M,120.40M,87.80M,62.10M,36.50M,60.70M,28.00M,33.70M,20.90M,21.40M,25.50M,27.60M,48.60M,64.20M,101.00M
Current Capital Lease Obligation,92.29M,117.07M,128.64M,155.53M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,92.29M,117.07M,629.32M,156.21M,0.668M,10.45M,9.674M,9.557M,9.902M,9.781M,559.22M,562.43M,569.82M,20.44M,20.01M,19.08M,18.88M,12.17M,14.94M,21.82M,465.39M,39.61M,35.10M,30.65M,26.25M,21.78M,17.58M,0.046M,0.046M,0.045M,0.044M,350.03M,350.00M,349.98M,349.95M,0.041M,0.041M,0.029M,0.038M,,,,2.572M,2.946M,3.07M,8.123M,12.77M,16.23M,18.50M,8.129M,7.125M,4.659M,4.665M,4.456M,4.49M,21.81M,31.41M,41.06M,50.73M,42.56M,61.64M,66.02M,67.22M,62.47M,61.57M,58.94M,57.10M,56.16M,50.44M,49.00M,48.25M,47.87M,41.91M,44.62M,37.24M,0.068M,0.069M,0.071M,0.10M,0.10M,0.10M,,8.00M,7.40M,7.70M,8.00M,8.40M,19.20M,15.70M,13.60M,13.60M,10.60M,10.60M,10.60M,10.60M,7.60M,7.60M,7.60M,7.60M,11.00M,10.90M,10.90M,10.90M,3.40M,3.60M,6.60M,6.50M,7.60M,29.40M,48.40M,55.20M,120.40M,87.80M,62.10M,36.50M,60.70M,28.00M,33.70M,20.90M,21.40M,25.50M,27.60M,48.60M,64.20M,101.00M
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.611M,,,,22.57M,,,,17.32M,,0.00,,,,,,,121.96M,,,,,,,,,,,,,,,,,,,93.68M,72.66M,61.56M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.611M,,,,22.57M,,,,17.32M,,0.00,,,,,,,121.96M,,,,,,,,,,,,,,,,,,,93.68M,72.66M,61.56M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,13.30M,18.11M,772.75M,819.69M,286.46M,2.802M,3.146M,3.16M,3.53M,3.27M,2.952M,2.816M,2.776M,3.276M,4.135M,6.948M,7.297M,10.06M,56.33M,148.88M,151.55M,185.85M,255.94M,589.01M,639.14M,,,16.47M,47.47M,49.95M,,,,,,,,,,,,,,471.84M,325.71M,,108.78M,79.08M,124.06M,74.20M,214.44M,130.63M,93.33M,111.85M,105.88M,167.26M,218.67M,149.69M,389.39M,160.21M,151.84M,76.16M,203.75M,105.08M,,,,47.92M,52.66M,44.77M,135.22M,72.13M,85.41M,85.23M,133.60M,85.44M,78.64M,43.18M,153.10M,32.00M,27.50M,23.90M,123.80M,21.40M,23.50M,25.10M,131.90M,50.80M,33.50M,33.80M,133.80M,39.20M,25.80M,30.10M,105.80M,33.60M,31.20M,27.70M,136.80M,23.70M,21.10M,42.40M,146.60M,31.80M,37.00M,39.40M,168.90M,25.20M,419.50M,37.90M,166.00M,68.10M,38.60M,48.10M,217.80M,60.90M,60.80M,66.00M,74.30M,57.90M,394.00M,371.30M,284.80M,464.70M,477.50M
Total Current Liabilities,942.79M,932.86M,2.203B,1.638B,846.06M,875.51M,903.56M,866.07M,834.21M,831.53M,1.358B,1.469B,1.502B,914.20M,880.75M,1.378B,1.675B,1.651B,1.807B,2.177B,3.148B,2.620B,2.851B,3.057B,3.224B,3.184B,3.752B,3.272B,3.409B,3.225B,2.551B,3.246B,2.825B,3.464B,3.343B,3.181B,2.931B,2.451B,2.182B,1.986B,1.910B,1.795B,1.888B,2.309B,2.695B,2.190B,2.109B,1.520B,1.442B,1.543B,1.311B,1.429B,1.373B,1.325B,1.287B,1.333B,1.279B,1.167B,1.205B,1.141B,1.071B,915.42M,810.33M,837.80M,829.13M,825.26M,717.89M,653.03M,687.90M,581.32M,560.06M,674.55M,688.13M,705.55M,745.23M,637.95M,607.76M,535.20M,487.60M,453.80M,405.90M,365.50M,380.80M,435.40M,400.40M,413.80M,469.40M,484.20M,416.10M,473.50M,554.00M,489.70M,446.50M,443.80M,415.60M,393.80M,412.00M,398.70M,439.50M,417.50M,400.00M,425.10M,412.80M,390.40M,397.10M,387.20M,426.90M,425.90M,448.90M,468.80M,514.60M,557.50M,566.70M,508.50M,627.10M,619.10M,435.40M,444.90M,482.30M,410.50M,419.50M,398.90M,333.40M,528.90M,578.50M
Long Term Provisions - Legal & Other,825.79M,836.54M,824.05M,783.50M,752.52M,700.06M,693.30M,691.17M,709.30M,747.60M,703.36M,693.77M,681.53M,748.58M,746.36M,823.07M,793.47M,885.98M,844.48M,824.40M,841.53M,897.76M,905.47M,854.27M,852.49M,818.43M,819.97M,745.31M,724.27M,613.24M,627.04M,613.54M,615.54M,566.60M,576.51M,579.93M,555.25M,,476.94M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,2.803B,2.779B,4.186B,3.110B,3.109B,2.904B,2.897B,2.899B,2.907B,2.908B,2.367B,2.422B,2.423B,2.974B,2.435B,3.410B,3.041B,3.328B,3.265B,2.592B,2.518B,3.986B,3.786B,3.416B,2.937B,2.583B,3.046B,2.507B,2.245B,1.185B,791.53M,249.56M,249.55M,974.54M,1.185B,974.39M,939.35M,1.231B,1.353B,1.480B,1.531B,996.27M,1.026B,1.066B,1.540B,1.711B,1.516B,1.496B,1.105B,969.40M,840.28M,789.53M,875.49M,609.56M,609.57M,609.51M,608.87M,613.26M,613.36M,1.047B,1.033B,1.023B,1.061B,1.058B,987.09M,895.50M,862.81M,875.01M,712.84M,672.86M,520.78M,482.11M,503.18M,514.31M,524.76M,386.74M,397.29M,392.87M,393.20M,427.20M,487.30M,447.90M,333.50M,268.10M,268.30M,253.60M,205.90M,209.90M,229.60M,201.00M,201.80M,216.70M,198.40M,22.40M,193.90M,25.70M,172.00M,199.00M,172.50M,21.80M,21.80M,21.70M,21.70M,24.90M,24.90M,24.90M,24.90M,28.50M,28.40M,28.30M,193.20M,189.70M,189.80M,197.70M,207.90M,239.20M,300.50M,326.40M,330.30M,345.80M,382.50M,340.40M,236.70M,253.80M,261.00M
Long Term Cap Lease Obligation,521.32M,457.21M,468.17M,468.43M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,3.325B,3.236B,4.654B,3.579B,3.109B,2.904B,2.897B,2.899B,2.907B,2.908B,2.367B,2.422B,2.423B,2.974B,2.435B,3.410B,3.041B,3.328B,3.265B,2.592B,2.518B,3.986B,3.786B,3.416B,2.937B,2.583B,3.046B,2.507B,2.245B,1.185B,791.53M,249.56M,249.55M,974.54M,1.185B,974.39M,939.35M,1.231B,1.353B,1.480B,1.531B,996.27M,1.026B,1.066B,1.540B,1.711B,1.516B,1.496B,1.105B,969.40M,840.28M,789.53M,875.49M,609.56M,609.57M,609.51M,608.87M,613.26M,613.36M,1.047B,1.033B,1.023B,1.061B,1.058B,987.09M,895.50M,862.81M,875.01M,712.84M,672.86M,520.78M,482.11M,503.18M,514.31M,524.76M,386.74M,397.29M,392.87M,393.20M,427.20M,487.30M,447.90M,333.50M,268.10M,268.30M,253.60M,205.90M,209.90M,229.60M,201.00M,201.80M,216.70M,198.40M,22.40M,193.90M,25.70M,172.00M,199.00M,172.50M,21.80M,21.80M,21.70M,21.70M,24.90M,24.90M,24.90M,24.90M,28.50M,28.40M,28.30M,193.20M,189.70M,189.80M,197.70M,207.90M,239.20M,300.50M,326.40M,330.30M,345.80M,382.50M,340.40M,236.70M,253.80M,261.00M
Long Term Deferred Tax Liabilities,207.20M,200.22M,168.67M,185.09M,129.89M,130.37M,127.35M,128.72M,159.10M,108.76M,107.57M,109.59M,69.08M,50.24M,46.75M,205.91M,239.81M,306.38M,937.74M,936.98M,1.194B,1.520B,1.507B,1.486B,1.466B,1.501B,1.558B,1.547B,1.544B,1.380B,1.290B,1.282B,1.230B,1.230B,1.245B,1.233B,1.212B,1.052B,1.019B,1.089B,957.73M,845.35M,,1.023B,1.036B,983.54M,916.91M,779.47M,709.43M,640.65M,621.33M,620.16M,587.69M,607.06M,614.09M,591.32M,541.53M,550.04M,577.04M,518.44M,419.95M,393.69M,421.70M,396.05M,368.50M,338.89M,327.77M,315.88M,329.43M,300.15M,302.87M,279.90M,271.62M,239.49M,229.97M,175.95M,167.14M,156.70M,154.10M,144.30M,142.30M,134.80M,124.50M,145.00M,143.00M,141.90M,136.40M,138.80M,141.50M,132.80M,127.30M,124.20M,114.60M,108.30M,105.00M,135.80M,142.30M,139.80M,140.60M,137.20M,123.00M,117.50M,117.60M,106.10M,109.60M,96.90M,43.90M,59.10M,64.40M,62.30M,58.40M,56.60M,54.80M,66.70M,67.80M,94.20M,89.40M,107.20M,102.90M,109.00M,109.30M,110.40M,114.10M,212.80M,187.40M
Non-Current Deferred Revenue,613.41M,551.79M,587.83M,471.10M,624.44M,649.86M,652.26M,661.09M,631.63M,616.45M,623.48M,619.88M,617.49M,621.52M,633.59M,439.35M,438.58M,428.22M,429.48M,421.13M,441.05M,344.30M,331.14M,337.96M,339.03M,485.78M,514.72M,503.15M,516.54M,,,,439.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,820.60M,752.02M,756.49M,656.19M,754.33M,780.22M,779.61M,789.81M,790.72M,725.21M,731.05M,729.47M,686.57M,671.76M,680.34M,645.27M,678.39M,734.60M,1.367B,1.358B,1.635B,1.864B,1.839B,1.824B,1.805B,1.987B,2.072B,2.050B,2.061B,1.824B,1.727B,1.709B,1.670B,1.598B,1.634B,1.618B,1.608B,1.431B,1.399B,1.418B,1.608B,1.504B,642.06M,1.023B,1.036B,983.54M,916.91M,779.47M,709.43M,640.65M,621.33M,620.16M,587.69M,607.06M,614.09M,591.32M,541.53M,550.04M,577.04M,518.44M,419.95M,393.69M,421.70M,396.05M,368.50M,338.89M,327.77M,315.88M,329.43M,300.15M,302.87M,279.90M,271.62M,239.49M,229.97M,175.95M,167.14M,156.70M,154.10M,144.30M,142.30M,134.80M,124.50M,145.00M,143.00M,141.90M,136.40M,138.80M,141.50M,132.80M,127.30M,124.20M,114.60M,108.30M,105.00M,135.80M,142.30M,139.80M,140.60M,137.20M,123.00M,117.50M,117.60M,106.10M,109.60M,96.90M,43.90M,59.10M,64.40M,62.30M,58.40M,56.60M,54.80M,66.70M,67.80M,94.20M,89.40M,107.20M,102.90M,109.00M,109.30M,110.40M,114.10M,212.80M,187.40M
Minority Interest Ownership,337.15M,349.17M,358.53M,377.90M,368.34M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.87M,27.12M,25.56M,23.61M,23.34M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.50M,180.50M,180.30M,175.70M,165.00M,158.80M,155.20M,,,,,
Other Long Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.09M,,,,,,,,502.33M,,443.85M,422.66M,429.01M,1.314B,912.72M,892.96M,933.33M,900.48M,827.67M,724.80M,665.11M,565.84M,442.82M,419.34M,400.00M,396.85M,397.51M,385.77M,429.83M,413.70M,405.16M,427.12M,475.01M,468.33M,428.12M,438.72M,470.30M,383.75M,387.25M,476.94M,378.98M,377.23M,387.21M,378.93M,370.86M,374.84M,366.36M,361.17M,350.16M,353.40M,329.70M,313.90M,319.30M,347.40M,349.00M,344.80M,344.30M,347.20M,320.40M,319.20M,319.60M,333.20M,317.50M,314.40M,482.70M,303.50M,472.30M,298.80M,296.40M,288.70M,413.30M,417.80M,408.20M,394.40M,318.10M,290.40M,274.50M,240.70M,236.90M,237.10M,198.90M,207.60M,181.10M,180.50M,179.40M,180.50M,190.40M,204.00M,235.80M,230.90M,218.20M,395.50M,466.80M,519.40M,650.90M,652.00M
Total Long Term Liabilities,4.971B,4.825B,6.235B,5.018B,5.009B,4.384B,4.370B,4.380B,4.407B,4.381B,3.801B,3.845B,3.877B,4.394B,3.862B,4.878B,4.512B,4.948B,5.477B,4.779B,5.002B,6.823B,6.625B,6.190B,5.690B,5.389B,5.938B,5.341B,5.172B,3.748B,3.145B,2.572B,2.535B,3.139B,3.395B,3.172B,3.103B,3.165B,3.229B,3.342B,3.562B,2.929B,2.982B,3.002B,3.469B,3.628B,3.334B,3.104B,2.539B,2.275B,2.027B,1.853B,1.883B,1.617B,1.621B,1.598B,1.536B,1.593B,1.604B,1.971B,1.880B,1.892B,1.951B,1.882B,1.794B,1.705B,1.574B,1.578B,1.519B,1.352B,1.201B,1.149B,1.154B,1.125B,1.130B,929.05M,925.60M,899.73M,900.70M,901.20M,943.50M,902.00M,805.40M,762.10M,756.10M,739.80M,689.50M,669.10M,690.30M,653.40M,662.30M,658.40M,627.40M,613.40M,602.40M,633.80M,613.10M,635.20M,601.80M,572.30M,562.60M,547.40M,533.70M,449.10M,424.90M,396.30M,309.50M,324.50M,329.90M,289.50M,459.20M,427.40M,425.10M,443.80M,456.20M,523.80M,593.90M,669.40M,664.10M,673.00M,887.30M,917.60M,870.20M,1.118B,1.100B
Total Liabilities,5.914B,5.758B,8.437B,6.656B,5.855B,5.260B,5.274B,5.246B,5.241B,5.213B,5.159B,5.314B,5.379B,5.308B,4.743B,6.256B,6.187B,6.600B,7.284B,6.956B,8.150B,9.443B,9.475B,9.247B,8.914B,8.573B,9.691B,8.613B,8.581B,6.973B,5.696B,5.818B,5.360B,6.603B,6.738B,6.353B,6.034B,5.616B,5.410B,5.328B,5.472B,4.725B,4.870B,5.311B,6.165B,5.818B,5.443B,4.623B,3.982B,3.818B,3.339B,3.282B,3.255B,2.941B,2.908B,2.931B,2.816B,2.760B,2.809B,3.112B,2.951B,2.807B,2.762B,2.720B,2.623B,2.530B,2.292B,2.231B,2.207B,1.933B,1.761B,1.824B,1.842B,1.830B,1.875B,1.567B,1.533B,1.435B,1.388B,1.355B,1.349B,1.268B,1.186B,1.198B,1.156B,1.154B,1.159B,1.153B,1.106B,1.127B,1.216B,1.148B,1.074B,1.057B,1.018B,1.028B,1.025B,1.034B,1.041B,989.80M,962.60M,972.50M,946.50M,839.50M,822.00M,783.50M,736.40M,750.40M,778.80M,758.30M,973.80M,984.90M,991.80M,952.30M,1.083B,1.143B,1.029B,1.114B,1.146B,1.084B,1.307B,1.316B,1.204B,1.646B,1.679B
Total Capital Stock,195.09M,195.08M,195.08M,195.08M,195.08M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.06M,195.04M,195.04M,195.04M,195.02M,194.95M,194.92M,194.86M,194.77M,194.68M,194.62M,194.45M,194.38M,194.34M,193.91M,193.72M,193.71M,193.64M,193.29M,191.99M,191.80M,191.63M,191.52M,191.51M,191.25M,191.02M,190.97M,190.50M,189.97M,189.52M,188.77M,188.39M,187.69M,187.15M,186.93M,186.83M,186.83M,186.83M,186.83M,94.61M,94.61M,94.61M,94.61M,94.61M,94.61M,94.61M,94.61M,94.61M,94.61M,48.78M,48.78M,48.78M,48.78M,48.78M,48.78M,48.78M,48.78M,48.78M,48.78M,48.78M,48.80M,48.80M,,,48.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained Earnings,6.614B,6.726B,5.677B,5.627B,5.514B,5.453B,5.403B,5.400B,5.245B,5.575B,5.684B,5.745B,5.730B,5.837B,5.896B,5.953B,6.212B,6.860B,8.515B,8.651B,8.728B,8.415B,8.231B,8.158B,8.059B,8.035B,8.361B,8.018B,7.717B,8.106B,7.940B,7.698B,7.461B,7.628B,7.275B,7.017B,6.801B,6.305B,6.204B,5.933B,5.792B,5.681B,5.557B,5.478B,4.941B,4.357B,3.984B,3.813B,3.649B,3.427B,3.350B,3.225B,3.030B,2.837B,2.744B,2.611B,2.400B,2.073B,1.981B,1.867B,1.769B,1.438B,1.358B,1.318B,1.267B,1.206B,1.137B,1.098B,1.079B,1.082B,1.097B,1.085B,1.060B,914.43M,833.49M,770.75M,702.05M,633.64M,602.00M,558.20M,522.80M,522.80M,545.20M,622.10M,628.80M,622.30M,622.50M,606.30M,579.70M,566.70M,550.70M,694.40M,666.60M,653.10M,643.70M,821.10M,828.00M,822.00M,820.60M,817.00M,794.30M,781.30M,772.20M,766.60M,761.00M,751.70M,726.00M,708.20M,704.50M,684.10M,674.20M,662.90M,632.80M,748.10M,732.60M,722.10M,693.10M,666.00M,652.50M,640.10M,639.80M,635.00M,712.30M,940.80M,896.50M
Additional Paid In Capital,949.44M,941.31M,933.94M,924.90M,979.64M,905.38M,898.13M,891.19M,917.66M,910.94M,903.54M,898.23M,916.80M,921.68M,914.24M,906.73M,910.07M,902.24M,892.55M,880.46M,906.74M,896.57M,886.29M,876.65M,902.63M,894.60M,881.62M,867.05M,873.93M,860.31M,844.19M,833.38M,817.97M,799.56M,788.67M,775.06M,767.76M,688.34M,680.51M,665.77M,657.36M,653.04M,631.86M,618.58M,609.41M,581.60M,547.18M,532.24M,501.32M,482.90M,454.86M,441.39M,429.33M,420.29M,437.96M,435.10M,434.95M,525.76M,511.04M,510.29M,509.59M,508.53M,504.81M,504.47M,504.29M,503.79M,504.98M,547.59M,547.10M,543.76M,527.13M,526.01M,525.98M,515.73M,514.47M,514.73M,513.81M,512.95M,512.50M,511.30M,,,510.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Stock,1.717B,1.623B,1.517B,1.217B,1.249B,1.249B,1.249B,1.250B,1.276B,1.276B,1.276B,1.277B,1.297B,1.297B,1.297B,1.297B,1.306B,1.307B,1.307B,1.057B,1.086B,1.086B,1.086B,962.95M,732.73M,485.42M,485.60M,235.92M,252.80M,2.994M,3.225M,4.636M,4.848M,5.14M,5.243M,5.487M,11.93M,13.18M,17.78M,18.09M,18.39M,18.80M,13.95M,14.01M,14.03M,13.54M,6.747M,6.892M,6.886M,6.958M,3.11M,2.432M,2.232M,5.039M,22.99M,33.83M,62.51M,62.51M,67.29M,67.99M,68.09M,68.77M,71.70M,72.08M,72.48M,73.88M,76.43M,77.24M,77.35M,79.77M,90.03M,90.59M,90.82M,96.71M,97.50M,97.30M,97.87M,98.36M,98.70M,99.40M,,,100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.69M,-12.03M,326.72M,428.54M,436.00M,334.25M,234.33M,224.89M,258.03M,256.23M,,,,,,,,,,,,,,,,,,-87.86M,-79.30M,-60.10M,-89.70M,-38.27M,-48.87M,,-9.63M,-5.00M,-8.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.56M,351.16M,,-76.77M,-83.72M,-85.52M,-91.51M,-92.90M,-44.30M,-54.27M,,,,,,,,,,,,,,,,,,3.585M,4.804M,8.113M,7.402M,-1.41M,-1.692M,,-2.042M,-2.30M,-2.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,-574.16M,-562.83M,-549.04M,-581.00M,-609.79M,-537.77M,-575.12M,-544.74M,-462.24M,-425.50M,-529.59M,-602.68M,-628.21M,-571.03M,-536.66M,-552.88M,-704.54M,-621.76M,-429.92M,-465.07M,-170.26M,-17.81M,172.53M,37.46M,172.12M,278.96M,182.13M,294.37M,408.90M,459.37M,329.63M,398.36M,310.42M,272.12M,576.83M,551.24M,449.43M,381.04M,287.19M,178.92M,15.10M,-166.50M,-87.70M,246.13M,339.13M,326.72M,351.76M,352.28M,248.73M,142.82M,132.00M,213.74M,201.96M,126.75M,114.91M,113.24M,78.65M,97.27M,129.77M,86.00M,45.24M,54.42M,65.25M,52.62M,78.59M,-16.09M,-66.79M,-67.18M,-25.88M,-90.03M,-84.28M,-74.50M,-51.99M,-82.30M,-39.68M,-50.56M,-35.18M,-11.67M,-7.30M,-11.30M,,,-25.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
