Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Net PP&E,10.57B,10.50B,10.63B,9.177B,8.432B,8.244B,8.208B,8.208B,8.220B,8.284B,8.164B,8.253B,8.316B,8.440B,8.565B,9.492B,9.818B,10.17B,12.58B,12.48B,13.33B,14.37B,14.20B,13.65B,13.48B,13.54B,14.23B,13.42B,13.01B,12.11B,11.35B,10.92B,10.48B,10.34B,11.06B,10.66B,10.37B,9.307B,9.065B,8.765B,8.297B,7.758B,7.728B,7.629B,7.431B,7.310B,7.110B,6.337B,5.816B,5.323B,5.106B,4.964B,4.785B,4.495B,4.374B,4.172B,3.918B,3.771B,3.686B,3.509B,3.245B,3.147B,3.531B,3.489B,3.362B,3.132B,2.887B,2.794B,2.754B,2.607B,2.526B,2.412B,2.333B,2.221B,2.185B,1.862B,1.839B,1.810B,1.783B,1.748B,1.721B,1.684B,1.662B,1.727B,1.704B,1.700B,1.656B,1.64B,1.627B,1.581B,1.557B,1.482B,1.549B,1.516B,1.487B,1.722B,1.736B,1.738B,1.723B,1.685B,1.628B,1.566B,1.549B,1.346B,1.313B,1.186B,1.073B,1.106B,1.113B,1.105B,1.129B,1.434B,1.424B,1.344B,1.369B,1.370B,1.422B,1.423B,1.421B,1.417B,1.494B,1.514B,1.473B,1.938B,1.886B
Goodwill,,,,,,,,,,,,,,,,,,,,,,38.20M,40.08M,38.70M,40.26M,41.48M,40.65M,42.03M,43.10M,43.47M,42.07M,42.82M,41.86M,40.72M,44.39M,44.06M,42.85M,42.12M,40.65M,42.60M,39.20M,36.15M,37.37M,42.80M,44.60M,46.34M,51.45M,51.76M,48.21M,44.51M,44.06M,45.96M,46.02M,43.96M,44.21M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.17M,42.67M,43.21M,43.58M,41.44M,39.19M,46.43M,64.87M,62.32M,59.55M,54.59M,51.04M,50.56M,52.91M,50.29M,50.41M,43.63M,46.29M,45.26M,48.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50M,,,,,,
Goodwill and Intangibles,,,,,,,,,,,,,,,,,,,,,,38.20M,40.08M,38.70M,40.26M,41.48M,40.65M,42.03M,43.10M,43.47M,42.07M,42.82M,41.86M,40.72M,44.39M,44.06M,42.85M,42.12M,40.65M,42.60M,39.20M,36.15M,37.37M,42.80M,44.60M,46.34M,51.45M,51.76M,48.21M,44.51M,44.06M,45.96M,46.02M,43.96M,44.21M,44.17M,42.67M,43.21M,43.58M,41.44M,39.19M,46.43M,64.87M,62.32M,59.55M,54.59M,51.04M,50.56M,52.91M,50.29M,50.41M,43.63M,46.29M,45.26M,48.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50M,,,,,,
Long Term Deferred Assets,176.14M,141.09M,152.01M,167.61M,195.63M,401.17M,421.95M,422.43M,269.31M,461.86M,432.10M,409.02M,420.49M,348.56M,311.29M,269.42M,278.21M,293.41M,72.77M,56.32M,62.58M,87.11M,101.88M,95.27M,98.12M,135.24M,135.23M,141.16M,151.18M,145.99M,168.36M,166.57M,173.46M,184.61M,246.78M,258.72M,271.85M,334.74M,274.92M,288.35M,579.88M,552.93M,1.415B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,,,,,1.545B,,,,,,,,,,,,,,0.014M,35.47M,50.96M,60.51M,302.15M,388.62M,381.40M,,,48.53M,208.17M,186.48M,,,,466.35M,,,,,,,,,-878.13M,521.13M,498.77M,520.02M,487.78M,446.03M,332.97M,305.19M,225.73M,164.85M,123.11M,116.36M,111.13M,111.61M,112.93M,105.23M,99.70M,67.78M,70.43M,527.37M,78.12M,91.76M,87.03M,90.56M,93.98M,91.11M,92.49M,87.23M,84.22M,84.41M,90.11M,90.86M,84.30M,67.34M,66.50M,67.62M,69.70M,68.10M,65.90M,62.80M,64.60M,64.00M,62.80M,65.40M,64.70M,67.00M,71.10M,73.80M,76.80M,227.50M,105.80M,106.50M,111.80M,81.80M,72.90M,77.90M,70.20M,65.60M,69.30M,64.30M,76.60M,88.50M,73.60M,78.30M,64.70M,48.50M,48.40M,42.10M,375.20M,63.50M,57.80M,46.10M,43.40M,50.90M,44.20M,34.90M,28.40M,33.90M,32.20M,42.50M,49.40M,104.30M,97.00M
Total Long Term Assets,10.74B,10.64B,10.78B,9.345B,10.17B,8.645B,8.630B,8.630B,8.489B,8.746B,8.596B,8.662B,8.737B,8.789B,8.877B,9.762B,10.10B,10.46B,12.65B,12.57B,13.44B,14.56B,14.64B,14.18B,14.00B,13.72B,14.41B,13.65B,13.41B,12.49B,11.56B,11.13B,10.69B,11.03B,11.35B,10.96B,10.68B,9.684B,9.381B,9.096B,8.917B,8.348B,8.302B,8.193B,7.974B,7.876B,7.649B,6.834B,6.197B,5.673B,5.376B,5.175B,4.954B,4.655B,4.530B,4.328B,4.074B,3.920B,3.829B,3.619B,3.354B,3.721B,3.674B,3.643B,3.508B,3.277B,3.032B,2.935B,2.900B,2.744B,2.660B,2.540B,2.470B,2.358B,2.317B,1.930B,1.905B,1.878B,1.852B,1.816B,1.787B,1.747B,1.727B,1.791B,1.767B,1.765B,1.720B,1.707B,1.698B,1.654B,1.634B,1.710B,1.655B,1.622B,1.599B,1.803B,1.808B,1.816B,1.793B,1.751B,1.697B,1.631B,1.626B,1.435B,1.387B,1.264B,1.138B,1.154B,1.162B,1.147B,1.504B,1.498B,1.482B,1.390B,1.413B,1.420B,1.466B,1.458B,1.457B,1.450B,1.526B,1.557B,1.522B,2.042B,1.983B
Total Assets,11.72B,11.78B,13.54B,11.98B,11.05B,10.03B,9.945B,9.938B,9.861B,10.19B,10.14B,10.27B,10.30B,10.39B,9.915B,11.46B,11.49B,12.63B,15.15B,15.16B,16.72B,17.85B,17.87B,17.55B,17.51B,17.49B,18.82B,17.75B,17.52B,16.59B,15.00B,14.94B,14.14B,15.49B,15.57B,14.88B,14.23B,13.17B,12.76B,12.28B,12.11B,11.06B,11.15B,11.83B,12.23B,11.26B,10.54B,9.531B,8.589B,8.076B,7.483B,7.346B,7.102B,6.507B,6.369B,6.243B,5.854B,5.489B,5.458B,5.602B,5.301B,4.834B,4.713B,4.617B,4.496B,4.244B,3.886B,3.781B,3.779B,3.438B,3.259B,3.318B,3.334B,3.130B,3.134B,2.753B,2.665B,2.520B,2.446B,2.363B,2.307B,2.222B,2.164B,2.261B,2.235B,2.240B,2.238B,2.223B,2.156B,2.158B,2.244B,2.303B,2.198B,2.165B,2.119B,2.316B,2.316B,2.316B,2.312B,2.271B,2.205B,2.193B,2.169B,2.061B,2.044B,2.002B,1.936B,1.957B,1.991B,1.951B,2.175B,2.168B,2.130B,2.007B,2.137B,2.183B,2.027B,2.063B,2.075B,1.989B,2.068B,2.067B,1.980B,2.661B,2.685B
Accounts Payable,602.10M,575.46M,598.47M,475.56M,348.03M,622.58M,632.07M,615.96M,595.92M,584.02M,595.78M,712.20M,784.98M,876.66M,843.79M,1.338B,1.530B,1.621B,1.716B,1.901B,2.276B,2.250B,2.257B,2.149B,2.158B,2.769B,3.342B,2.890B,2.803B,2.919B,2.304B,2.651B,1.941B,2.793B,2.601B,2.805B,2.238B,2.004B,1.540B,1.733B,1.599B,1.396B,1.175B,1.834B,2.367B,2.060B,1.988B,1.424B,1.300B,1.461B,1.009B,1.294B,1.275B,1.209B,1.177B,1.144B,1.029B,976.30M,709.38M,938.56M,857.43M,773.24M,471.69M,670.25M,673.88M,693.66M,599.23M,548.96M,584.80M,487.54M,325.32M,554.56M,560.80M,575.70M,528.42M,552.44M,529.05M,491.96M,334.40M,421.70M,378.30M,341.60M,249.00M,406.60M,369.20M,380.70M,329.10M,414.20M,366.90M,426.10M,406.60M,439.90M,410.10M,403.10M,299.20M,352.60M,373.20M,363.40M,295.10M,382.80M,368.00M,371.80M,255.30M,355.20M,356.50M,341.20M,251.50M,393.10M,,382.50M,293.40M,369.00M,440.30M,398.30M,372.80M,497.50M,346.60M,345.20M,387.10M,331.20M,,,,,
Current Tax Payable,37.66M,46.11M,37.57M,29.73M,32.96M,73.62M,109.76M,97.23M,68.18M,87.85M,94.59M,77.22M,42.09M,13.82M,12.82M,13.55M,43.32M,7.588M,19.91M,105.71M,111.51M,145.18M,302.03M,288.10M,256.90M,392.99M,393.23M,365.47M,392.81M,255.97M,246.31M,244.95M,371.32M,321.38M,392.17M,375.48M,565.72M,447.84M,553.10M,252.63M,310.30M,398.78M,603.41M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
