date,cash_dividend_payout_ratio
"Feb. 29, 2020",-77.93%
"Nov. 30, 2019",-138.3%
"Aug. 31, 2019",-269.8%
"May 31, 2019",555.3%
"Feb. 28, 2019",45.92%
"Nov. 30, 2018",-137.1%
"Aug. 31, 2018",-56.66%
"May 31, 2018",-54.10%
"Feb. 28, 2018",-27.18%
"Nov. 30, 2017",-38.08%
"Aug. 31, 2017",-114.6%
"May 31, 2017",-229.0%
"Feb. 28, 2017",-78.94%
"Nov. 30, 2016",36.66%
"Aug. 31, 2016",50.81%
"May 31, 2016",31.12%
"Feb. 29, 2016",35.51%
"Nov. 30, 2015",39.08%
"Aug. 31, 2015",30.54%
"May 31, 2015",22.28%
"Feb. 28, 2015",17.84%
"Nov. 30, 2014",19.20%
"Aug. 31, 2014",30.82%
"May 31, 2014",25.58%
"Feb. 28, 2014",23.64%
"Nov. 30, 2013",13.12%
"Aug. 31, 2013",10.41%
"May 31, 2013",13.48%
"Feb. 28, 2013",13.28%
"Nov. 30, 2012",24.05%
"Aug. 31, 2012",16.55%
"May 31, 2012",19.81%
"Feb. 29, 2012",17.42%
"Nov. 30, 2011",25.91%
"Aug. 31, 2011",26.88%
"May 31, 2011",24.88%
"Feb. 28, 2011",99.33%
"Nov. 30, 2010",31.12%
"Aug. 31, 2010",161.4%
"May 31, 2010",42.86%
"Feb. 28, 2010",-1.05K%
"Nov. 30, 2009",405.9%
"Aug. 31, 2009",54.80%
"May 31, 2009",46.60%
"Feb. 28, 2009",18.11%
"Nov. 30, 2008",15.40%
"Aug. 31, 2008",22.92%
"May 31, 2008",23.94%
"Feb. 29, 2008",17.27%
"Nov. 30, 2007",22.16%
"Aug. 31, 2007",15.37%
"May 31, 2007",16.30%
"Feb. 28, 2007",13.60%
"Nov. 30, 2006",8.40%
"Aug. 31, 2006",9.98%
"May 31, 2006",8.38%
"Feb. 28, 2006",9.95%
"Nov. 30, 2005",14.38%
"Aug. 31, 2005",13.36%
"May 31, 2005",9.53%
"Feb. 28, 2005",6.71%
"Nov. 30, 2004",6.72%
"Aug. 31, 2004",3.96%
"May 31, 2004",3.77%
"Feb. 29, 2004",4.29%
"Nov. 30, 2003",7.88%
"Aug. 31, 2003",8.72%
"May 31, 2003",16.67%
"Feb. 28, 2003",21.84%
"Nov. 30, 2002",4.07%
"Aug. 31, 2002",2.05%
"May 31, 2002",0.00%
"Feb. 28, 2002",0.00%
"Nov. 30, 2001",0.00%
"Aug. 31, 2001",0.00%
"May 31, 2001",0.00%
"Feb. 28, 2001",0.00%
"Nov. 30, 2000",0.00%
"Aug. 31, 2000",0.00%
"May 31, 2000",0.00%
"Feb. 29, 2000",0.00%
"Nov. 30, 1999",0.00%
"Aug. 31, 1999",0.00%
"May 31, 1999",0.00%
"Feb. 28, 1999",0.00%
"Nov. 30, 1998",0.00%
"Aug. 31, 1998",0.00%
"May 31, 1998",0.00%
"Feb. 28, 1998",0.00%
"Nov. 30, 1997",0.00%
"Aug. 31, 1997",0.00%
"May 31, 1997",0.00%
"Feb. 28, 1997",0.00%
"Nov. 30, 1996",0.00%
"Aug. 31, 1996",0.00%
"May 31, 1996",0.00%
"Feb. 29, 1996",0.00%
"Nov. 30, 1995",0.00%
"Aug. 31, 1995",0.00%
"May 31, 1995",0.00%
"Feb. 28, 1995",0.00%
"Nov. 30, 1994",0.00%
"Aug. 31, 1994",0.00%
"May 31, 1994",0.00%
"Feb. 28, 1994",0.00%
"Nov. 30, 1993",0.00%
"Aug. 31, 1993",0.00%
"May 31, 1993",0.00%
"Feb. 28, 1993",0.00%
"Nov. 30, 1992",0.00%
"Aug. 31, 1992",0.00%
"May 31, 1992",0.00%
"Feb. 29, 1992",0.00%
"Nov. 30, 1991",0.00%
"Aug. 31, 1991",0.00%
"May 31, 1991",0.00%
"Feb. 28, 1991",0.00%
"Nov. 30, 1990",0.00%
"Aug. 31, 1990",0.00%
"May 31, 1990",0.00%
