date,kz_index
"May 31, 2019",0.9555
"May 31, 2018",1.097
"May 31, 2017",1.230
"May 31, 2016",1.476
"May 31, 2015",1.027
"May 31, 2014",0.5938
"May 31, 2013",-0.1461
"May 31, 2012",-0.0783
"May 31, 2011",-0.0283
"May 31, 2010",
"May 31, 2009",
"May 31, 2008",0.1217
"May 31, 2007",0.3493
"May 31, 2006",0.3294
"May 31, 2005",0.6294
"May 31, 2004",0.9947
"May 31, 2003",0.7542
"May 31, 2002",1.036
"May 31, 2001",1.092
"May 31, 2000",1.136
"May 31, 1999",1.338
"May 31, 1998",1.196
"May 31, 1997",0.9385
"May 31, 1996",0.5915
"May 31, 1995",1.296
"May 31, 1994",1.777
"May 31, 1993",1.895
"May 31, 1992",
"May 31, 1991",1.855
"May 31, 1990",1.959
"May 31, 1989",2.059
"May 31, 1988",1.589
"May 31, 1987",2.076
"May 31, 1986",1.692
"May 31, 1985",1.971
