date,return_on_invested_capital
"Feb. 29, 2020",-0.94%
"Nov. 30, 2019",0.20%
"Aug. 31, 2019",1.23%
"May 31, 2019",1.48%
"Feb. 28, 2019",9.91%
"Nov. 30, 2018",13.99%
"Aug. 31, 2018",13.92%
"May 31, 2018",13.63%
"Feb. 28, 2018",13.81%
"Nov. 30, 2017",9.63%
"Aug. 31, 2017",9.67%
"May 31, 2017",10.37%
"Feb. 28, 2017",6.99%
"Nov. 30, 2016",7.13%
"Aug. 31, 2016",7.41%
"May 31, 2016",7.67%
"Feb. 29, 2016",4.36%
"Nov. 30, 2015",4.99%
"Aug. 31, 2015",5.03%
"May 31, 2015",4.97%
"Feb. 28, 2015",14.03%
"Nov. 30, 2014",13.17%
"Aug. 31, 2014",12.32%
"May 31, 2014",11.44%
"Feb. 28, 2014",14.14%
"Nov. 30, 2013",14.37%
"Aug. 31, 2013",14.54%
"May 31, 2013",15.06%
"Feb. 28, 2013",10.27%
"Nov. 30, 2012",11.27%
"Aug. 31, 2012",11.67%
"May 31, 2012",11.75%
"Feb. 29, 2012",11.77%
"Nov. 30, 2011",10.31%
"Aug. 31, 2011",9.20%
"May 31, 2011",8.88%
"Feb. 28, 2011",8.08%
"Nov. 30, 2010",8.17%
"Aug. 31, 2010",8.62%
"May 31, 2010",7.38%
"Feb. 28, 2010",-0.67%
"Nov. 30, 2009",-1.50%
"Aug. 31, 2009",-0.62%
"May 31, 2009",0.57%
"Feb. 28, 2009",4.26%
"Nov. 30, 2008",6.18%
"Aug. 31, 2008",6.25%
"May 31, 2008",7.09%
"Feb. 29, 2008",12.50%
"Nov. 30, 2007",12.74%
"Aug. 31, 2007",13.05%
"May 31, 2007",13.17%
"Feb. 28, 2007",13.23%
"Nov. 30, 2006",13.87%
"Aug. 31, 2006",14.22%
"May 31, 2006",13.80%
"Feb. 28, 2006",13.17%
"Nov. 30, 2005",12.51%
"Aug. 31, 2005",11.79%
"May 31, 2005",11.91%
"Feb. 28, 2005",11.78%
"Nov. 30, 2004",11.42%
"Aug. 31, 2004",9.60%
"May 31, 2004",8.13%
"Feb. 29, 2004",7.21%
"Nov. 30, 2003",7.01%
"Aug. 31, 2003",8.88%
"May 31, 2003",9.44%
"Feb. 28, 2003",9.12%
"Nov. 30, 2002",8.95%
"Aug. 31, 2002",9.04%
"May 31, 2002",8.57%
"Feb. 28, 2002",7.06%
"Nov. 30, 2001",7.11%
"Aug. 31, 2001",6.72%
"May 31, 2001",7.83%
"Feb. 28, 2001",9.93%
"Nov. 30, 2000",10.51%
"Aug. 31, 2000",10.55%
"May 31, 2000",10.67%
"Feb. 29, 2000",10.50%
"Nov. 30, 1999",10.12%
"Aug. 31, 1999",10.64%
"May 31, 1999",10.68%
"Feb. 28, 1999",9.99%
"Nov. 30, 1998",9.35%
"Aug. 31, 1998",9.25%
"May 31, 1998",9.65%
"Feb. 28, 1998",5.88%
"Nov. 30, 1997",7.17%
"Aug. 31, 1997",6.40%
"May 31, 1997",4.27%
"Feb. 28, 1997",7.76%
"Nov. 30, 1996",7.07%
"Aug. 31, 1996",6.79%
"May 31, 1996",7.18%
"Feb. 29, 1996",7.24%
"Nov. 30, 1995",8.32%
"Aug. 31, 1995",8.29%
"May 31, 1995",7.97%
"Feb. 28, 1995",7.85%
"Nov. 30, 1994",6.96%
"Aug. 31, 1994",6.22%
"May 31, 1994",5.49%
"Feb. 28, 1994",3.14%
"Nov. 30, 1993",2.57%
"Aug. 31, 1993",2.01%
"May 31, 1993",1.46%
"Feb. 28, 1993",2.61%
"Nov. 30, 1992",-2.93%
"Aug. 31, 1992",-3.23%
"May 31, 1992",-3.08%
"Feb. 29, 1992",-3.12%
"Nov. 30, 1991",-0.80%
"Aug. 31, 1991",-0.51%
"May 31, 1991",0.15%
"Feb. 28, 1991",0.46%
"Nov. 30, 1990",3.38%
"Aug. 31, 1990",3.47%
"May 31, 1990",3.15%
"Feb. 28, 1990",3.13%
"Nov. 30, 1989",3.71%
