date,capex_ttm
"Feb. 29, 2020",6.438B
"Nov. 30, 2019",6.122B
"Aug. 31, 2019",5.729B
"May 31, 2019",5.49B
"Feb. 28, 2019",5.426B
"Nov. 30, 2018",5.676B
"Aug. 31, 2018",5.798B
"May 31, 2018",5.663B
"Feb. 28, 2018",5.32B
"Nov. 30, 2017",5.056B
"Aug. 31, 2017",4.945B
"May 31, 2017",5.116B
"Feb. 28, 2017",5.046B
"Nov. 30, 2016",4.937B
"Aug. 31, 2016",4.824B
"May 31, 2016",4.818B
"Feb. 29, 2016",4.94B
"Nov. 30, 2015",5.019B
"Aug. 31, 2015",4.836B
"May 31, 2015",4.347B
"Feb. 28, 2015",3.948B
"Nov. 30, 2014",3.733B
"Aug. 31, 2014",3.681B
"May 31, 2014",3.533B
"Feb. 28, 2014",3.499B
"Nov. 30, 2013",3.177B
"Aug. 31, 2013",2.975B
"May 31, 2013",3.375B
"Feb. 28, 2013",3.491B
"Nov. 30, 2012",3.678B
"Aug. 31, 2012",3.869B
"May 31, 2012",4.007B
"Feb. 29, 2012",3.677B
"Nov. 30, 2011",3.592B
"Aug. 31, 2011",3.532B
"May 31, 2011",3.434B
"Feb. 28, 2011",3.538B
"Nov. 30, 2010",3.326B
"Aug. 31, 2010",2.948B
"May 31, 2010",2.816B
"Feb. 28, 2010",2.453B
"Nov. 30, 2009",2.621B
"Aug. 31, 2009",2.703B
"May 31, 2009",2.459B
"Feb. 28, 2009",2.769B
"Nov. 30, 2008",2.812B
"Aug. 31, 2008",2.808B
"May 31, 2008",2.947B
"Feb. 29, 2008",2.935B
"Nov. 30, 2007",2.945B
"Aug. 31, 2007",2.958B
"May 31, 2007",2.882B
"Feb. 28, 2007",2.774B
"Nov. 30, 2006",2.651B
"Aug. 31, 2006",2.546B
"May 31, 2006",2.518B
"Feb. 28, 2006",2.431B
"Nov. 30, 2005",2.387B
"Aug. 31, 2005",2.512B
"May 31, 2005",2.236B
"Feb. 28, 2005",2.04B
"Nov. 30, 2004",1.838B
"Aug. 31, 2004",1.366B
"May 31, 2004",1.271B
"Feb. 29, 2004",1.229B
"Nov. 30, 2003",1.231B
"Aug. 31, 2003",1.275B
"May 31, 2003",1.511B
"Feb. 28, 2003",1.488B
"Nov. 30, 2002",1.566B
"Aug. 31, 2002",1.651B
"May 31, 2002",1.615B
"Feb. 28, 2002",1.922B
"Nov. 30, 2001",2.011B
"Aug. 31, 2001",2.052B
"May 31, 2001",1.893B
"Feb. 28, 2001",1.413B
"Nov. 30, 2000",1.492B
"Aug. 31, 2000",1.610B
"May 31, 2000",1.627B
"Feb. 29, 2000",1.920B
"Nov. 30, 1999",1.760B
"Aug. 31, 1999",1.633B
"May 31, 1999",1.770B
"Feb. 28, 1999",1.958B
"Nov. 30, 1998",2.020B
"Aug. 31, 1998",1.987B
"May 31, 1998",1.880B
"Feb. 28, 1998",1.706B
"Nov. 30, 1997",1.848B
"Aug. 31, 1997",1.879B
"May 31, 1997",1.763B
"Feb. 28, 1997",2.012B
"Nov. 30, 1996",1.751B
"Aug. 31, 1996",1.646B
"May 31, 1996",1.700B
"Feb. 29, 1996",1.360B
"Nov. 30, 1995",1.271B
"Aug. 31, 1995",1.144B
"May 31, 1995",1.061B
"Feb. 28, 1995",877.20M
"Nov. 30, 1994",804.60M
"Aug. 31, 1994",937.00M
"May 31, 1994",1.088B
"Feb. 28, 1994",1.101B
"Nov. 30, 1993",1.104B
"Aug. 31, 1993",1.237B
"May 31, 1993",1.024B
"Feb. 28, 1993",1.034B
"Nov. 30, 1992",1.049B
"Aug. 31, 1992",794.20M
"May 31, 1992",915.90M
"Feb. 29, 1992",941.60M
"Nov. 30, 1991",966.90M
"Aug. 31, 1991",1.019B
"May 31, 1991",1.028B
"Feb. 28, 1991",1.133B
"Nov. 30, 1990",1.260B
"Aug. 31, 1990",1.239B
"May 31, 1990",1.164B
"Feb. 28, 1990",836.20M
"Nov. 30, 1989",514.20M
"Aug. 31, 1989",236.10M
