date,operating_margin_ttm
"Feb. 29, 2020",5.22%
"Nov. 30, 2019",5.99%
"Aug. 31, 2019",6.73%
"May 31, 2019",6.87%
"Feb. 28, 2019",7.03%
"Nov. 30, 2018",6.99%
"Aug. 31, 2018",7.07%
"May 31, 2018",7.11%
"Feb. 28, 2018",6.35%
"Nov. 30, 2017",6.77%
"Aug. 31, 2017",7.01%
"May 31, 2017",7.57%
"Feb. 28, 2017",5.88%
"Nov. 30, 2016",5.84%
"Aug. 31, 2016",6.06%
"May 31, 2016",6.11%
"Feb. 29, 2016",4.24%
"Nov. 30, 2015",4.68%
"Aug. 31, 2015",4.63%
"May 31, 2015",4.52%
"Feb. 28, 2015",10.05%
"Nov. 30, 2014",9.29%
"Aug. 31, 2014",8.83%
"May 31, 2014",8.37%
"Feb. 28, 2014",11.61%
"Nov. 30, 2013",11.69%
"Aug. 31, 2013",11.52%
"May 31, 2013",11.46%
"Feb. 28, 2013",7.04%
"Nov. 30, 2012",7.51%
"Aug. 31, 2012",7.74%
"May 31, 2012",10.91%
"Feb. 29, 2012",1.48%
"Nov. 30, 2011",3.77%
"Aug. 31, 2011",6.69%
"May 31, 2011",6.28%
"Feb. 28, 2011",19.63%
"Nov. 30, 2010",19.84%
"Aug. 31, 2010",20.03%
"May 31, 2010",19.70%
"Feb. 28, 2010",19.33%
"Nov. 30, 2009",19.17%
"Aug. 31, 2009",19.64%
"May 31, 2009",19.95%
"Feb. 28, 2009",20.22%
"Nov. 30, 2008",20.77%
"Aug. 31, 2008",20.84%
"May 31, 2008",21.44%
"Feb. 29, 2008",31.82%
"Nov. 30, 2007",28.96%
"Aug. 31, 2007",25.78%
"May 31, 2007",22.81%
"Feb. 28, 2007",19.80%
"Nov. 30, 2006",20.36%
"Aug. 31, 2006",20.72%
"May 31, 2006",20.64%
"Feb. 28, 2006",8.97%
"Nov. 30, 2005",8.64%
"Aug. 31, 2005",4.39%
"May 31, 2005",6.13%
"Feb. 28, 2005",3.69%
"Nov. 30, 2004",1.26%
"Aug. 31, 2004",3.17%
"May 31, 2004",1.15%
"Feb. 29, 2004",-10.47%
"Nov. 30, 2003",-7.31%
"Aug. 31, 2003",-12.77%
"May 31, 2003",-21.34%
"Feb. 28, 2003",3.84%
"Nov. 30, 2002",-5.52%
"Aug. 31, 2002",2.02%
"May 31, 2002",2.04%
"Feb. 28, 2002",2.11%
"Nov. 30, 2001",1.87%
"Aug. 31, 2001",-0.48%
"May 31, 2001",0.14%
"Feb. 28, 2001",-4.89%
"Nov. 30, 2000",-4.24%
"Aug. 31, 2000",-10.18%
"May 31, 2000",-10.02%
"Feb. 29, 2000",-7.02%
"Nov. 30, 1999",-7.46%
"Aug. 31, 1999",-6.63%
"May 31, 1999",2.01%
"Feb. 28, 1999",-6.84%
"Nov. 30, 1998",2.53%
"Aug. 31, 1998",2.59%
"May 31, 1998",-5.24%
"Feb. 28, 1998",-18.71%
"Nov. 30, 1997",-27.43%
"Aug. 31, 1997",-28.58%
"May 31, 1997",-30.89%
"Feb. 28, 1997",-26.23%
"Nov. 30, 1996",-27.43%
"Aug. 31, 1996",-27.21%
"May 31, 1996",-26.75%
"Feb. 29, 1996",1.02%
"Nov. 30, 1995",2.92%
"Aug. 31, 1995",4.65%
"May 31, 1995",6.29%
"Feb. 28, 1995",-41.07%
"Nov. 30, 1994",-36.97%
"Aug. 31, 1994",-32.98%
"May 31, 1994",-29.25%
"Feb. 28, 1994",-8.66%
"Nov. 30, 1993",-4.05%
"Aug. 31, 1993",0.38%
"May 31, 1993",4.83%
"Feb. 28, 1993",4.52%
"Nov. 30, 1992",3.78%
"Aug. 31, 1992",3.56%
"May 31, 1992",3.67%
"Feb. 29, 1992",3.92%
"Nov. 30, 1991",4.31%
"Aug. 31, 1991",4.63%
"May 31, 1991",5.21%
"Feb. 28, 1991",5.23%
"Nov. 30, 1990",5.72%
"Aug. 31, 1990",5.96%
"May 31, 1990",5.90%
"Feb. 28, 1990",-41.00%
"Nov. 30, 1989",-24.57%
"Aug. 31, 1989",-9.51%
"May 31, 1989",8.22%
"Feb. 28, 1989",23.02%
"Nov. 30, 1988",17.46%
"Aug. 31, 1988",13.54%
"May 31, 1988",9.77%
"Feb. 29, 1988",23.96%
"Nov. 30, 1987",20.11%
"Aug. 31, 1987",16.31%
"May 31, 1987",11.48%
"Feb. 28, 1987",21.03%
"Nov. 30, 1986",17.47%
"Aug. 31, 1986",12.71%
"May 31, 1986",8.13%
"Feb. 28, 1986",23.50%
"Nov. 30, 1985",18.41%
"Aug. 31, 1985",13.16%
"May 31, 1985",6.74%
"Feb. 28, 1985",31.34%
"Nov. 30, 1984",25.78%
