date,fulmer_h_score
"Feb. 29, 2020",1.708
"Nov. 30, 2019",3.424
"Aug. 31, 2019",4.067
"May 31, 2019",4.651
"Feb. 28, 2019",6.190
"Nov. 30, 2018",6.135
"Aug. 31, 2018",6.040
"May 31, 2018",6.012
"Feb. 28, 2018",5.782
"Nov. 30, 2017",5.763
"Aug. 31, 2017",5.823
"May 31, 2017",5.904
"Feb. 28, 2017",5.499
"Nov. 30, 2016",5.697
"Aug. 31, 2016",5.661
"May 31, 2016",5.725
"Feb. 29, 2016",6.305
"Nov. 30, 2015",6.482
"Aug. 31, 2015",6.737
"May 31, 2015",6.611
"Feb. 28, 2015",8.394
"Nov. 30, 2014",9.179
"Aug. 31, 2014",9.031
"May 31, 2014",8.314
"Feb. 28, 2014",9.322
"Nov. 30, 2013",11.16
"Aug. 31, 2013",11.43
"May 31, 2013",11.43
"Feb. 28, 2013",12.36
"Nov. 30, 2012",11.95
"Aug. 31, 2012",12.33
"May 31, 2012",14.04
"Feb. 29, 2012",11.40
"Nov. 30, 2011",11.57
"Aug. 31, 2011",11.14
"May 31, 2011",
"Feb. 28, 2011",11.38
"Nov. 30, 2010",10.45
"Aug. 31, 2010",10.08
"May 31, 2010",10.04
"Feb. 28, 2010",
"Nov. 30, 2009",
"Aug. 31, 2009",
"May 31, 2009",8.060
"Feb. 28, 2009",8.764
"Nov. 30, 2008",10.02
"Aug. 31, 2008",9.830
"May 31, 2008",9.712
"Feb. 29, 2008",11.05
"Nov. 30, 2007",10.58
"Aug. 31, 2007",10.87
