date,assets
"Feb. 29, 2020",70.01B
"Nov. 30, 2019",69.95B
"Aug. 31, 2019",68.45B
"May 31, 2019",54.40B
"Feb. 28, 2019",54.46B
"Nov. 30, 2018",53.29B
"Aug. 31, 2018",51.90B
"May 31, 2018",52.33B
"Feb. 28, 2018",51.85B
"Nov. 30, 2017",50.28B
"Aug. 31, 2017",49.35B
"May 31, 2017",48.55B
"Feb. 28, 2017",46.78B
"Nov. 30, 2016",46.35B
"Aug. 31, 2016",45.58B
"May 31, 2016",45.96B
"Feb. 29, 2016",37.82B
"Nov. 30, 2015",38.37B
"Aug. 31, 2015",37.24B
"May 31, 2015",36.53B
"Feb. 28, 2015",36.11B
"Nov. 30, 2014",32.98B
"Aug. 31, 2014",32.59B
"May 31, 2014",33.07B
"Feb. 28, 2014",32.73B
"Nov. 30, 2013",33.54B
"Aug. 31, 2013",33.67B
"May 31, 2013",33.57B
"Feb. 28, 2013",31.83B
"Nov. 30, 2012",31.31B
"Aug. 31, 2012",30.69B
"May 31, 2012",29.90B
"Feb. 29, 2012",28.75B
"Nov. 30, 2011",28.45B
"Aug. 31, 2011",27.84B
"May 31, 2011",27.38B
"Feb. 28, 2011",26.20B
"Nov. 30, 2010",26.09B
"Aug. 31, 2010",25.21B
"May 31, 2010",24.90B
"Feb. 28, 2010",24.88B
"Nov. 30, 2009",24.59B
"Aug. 31, 2009",23.86B
"May 31, 2009",24.24B
"Feb. 28, 2009",27.01B
"Nov. 30, 2008",26.38B
"Aug. 31, 2008",26.14B
"May 31, 2008",25.63B
"Feb. 29, 2008",24.60B
"Nov. 30, 2007",24.35B
"Aug. 31, 2007",23.91B
"May 31, 2007",24.00B
"Feb. 28, 2007",24.97B
"Nov. 30, 2006",24.71B
"Aug. 31, 2006",23.88B
"May 31, 2006",22.69B
"Feb. 28, 2006",21.54B
"Nov. 30, 2005",21.21B
"Aug. 31, 2005",20.59B
"May 31, 2005",20.40B
"Feb. 28, 2005",20.38B
"Nov. 30, 2004",20.04B
"Aug. 31, 2004",19.38B
"May 31, 2004",19.13B
"Feb. 29, 2004",18.35B
"Nov. 30, 2003",16.21B
"Aug. 31, 2003",15.46B
"May 31, 2003",15.38B
"Feb. 28, 2003",14.85B
"Nov. 30, 2002",14.48B
"Aug. 31, 2002",14.00B
"May 31, 2002",13.81B
"Feb. 28, 2002",13.70B
"Nov. 30, 2001",13.69B
"Aug. 31, 2001",13.48B
"May 31, 2001",13.39B
"Feb. 28, 2001",13.52B
"Nov. 30, 2000",12.49B
"Aug. 31, 2000",11.76B
"May 31, 2000",11.53B
"Feb. 29, 2000",11.52B
"Nov. 30, 1999",11.54B
"Aug. 31, 1999",10.80B
"May 31, 1999",10.65B
"Feb. 28, 1999",10.20B
"Nov. 30, 1998",10.55B
"Aug. 31, 1998",9.849B
"May 31, 1998",9.686B
"Feb. 28, 1998",9.353B
"Nov. 30, 1997",8.126B
"Aug. 31, 1997",8.019B
"May 31, 1997",9.044B
"Feb. 28, 1997",7.362B
"Nov. 30, 1996",7.082B
"Aug. 31, 1996",6.830B
"May 31, 1996",6.699B
"Feb. 29, 1996",6.693B
"Nov. 30, 1995",6.635B
"Aug. 31, 1995",6.494B
"May 31, 1995",6.433B
"Feb. 28, 1995",6.136B
"Nov. 30, 1994",6.052B
"Aug. 31, 1994",6.073B
"May 31, 1994",5.992B
"Feb. 28, 1994",5.852B
"Nov. 30, 1993",5.959B
"Aug. 31, 1993",5.831B
"May 31, 1993",5.793B
"Feb. 28, 1993",5.697B
"Nov. 30, 1992",5.792B
"Aug. 31, 1992",5.573B
"May 31, 1992",5.463B
"Feb. 29, 1992",5.721B
"Nov. 30, 1991",5.806B
"Aug. 31, 1991",5.788B
"May 31, 1991",5.672B
"Feb. 28, 1991",6.071B
"Nov. 30, 1990",6.164B
"Aug. 31, 1990",5.779B
"May 31, 1990",5.675B
"Feb. 28, 1990",5.348B
"Nov. 30, 1989",5.152B
"Aug. 31, 1989",5.118B
"May 31, 1989",5.293B
"May 31, 1988",3.008B
"May 31, 1987",2.500B
"May 31, 1986",2.276B
"May 31, 1985",1.900B
"May 31, 1984",1.526B
